Set;Base #;Carta;Surge #;Surge Low €;Surge Avg 30d €;Traditional Foil Low €
HOB;199;Troop of Ponies;;;;
HOB;200;Rage into the Valley;;;;
HOB;201;The Great Goblin;;;;
HOB;202;Thorin Oakenshield;;;;
HOB;203;Gandalf, Spark Starter;;;;
HOB;204;Glamdring, Foe-hammer;;;;
HOB;205;The Eagles Are Coming!;;;;
HOB;206;Dreaded Bat-Cloud;;;;
HOB;207;The Lonely Mountain;;;;
HOB;208;Chief Warg's Company;;;;
HOB;209;Thorin's Last Stand;;;;
HOB;210;Bard's Company;;;;
HOB;211;Bolg's Company;;;;
HOB;212;Dain's Company;;;;
HOB;213;Thranduil's Company;;;;
HOB;214;Belladonna Took;250;18,00;26,77;2,50
HOB;215;Bofur, Reliable Guardian;251;0,89;;0,02
HOB;216;Iron Hills Blacksmith;252;0,85;2,17;
HOB;217;The Queen of Dale;253;;;20,00
HOB;218;Bilbo, Luckwearer;254;;;0,02
HOB;219;Bilbo, Thief in the Night;255;84,99;125,00;14,99
HOB;220;Fateful Discovery;256;28,00;;5,00
HOB;221;Most Decrepit Old Bird;257;3,00;;0,10
HOB;222;Azog, Moria's Ruin;258;;;
HOB;223;Great Ugly-Looking Goblin;259;0,70;;0,02
HOB;224;Head of the Hunt;260;7,00;;0,38
HOB;225;Desert Were-Worm;261;6,00;;0,30
HOB;226;Desolation of Smaug;262;7,49;13,91;
HOB;227;Gloin the Mighty;263;1,00;;0,02
HOB;228;Last Light of Durin's Day;264;;;
HOB;229;Smaug the Magnificent;265;24999,99;10100,00;33,00
HOB;230;Beorn the Fierce;266;;;
HOB;231;Dancing from Dark to Dawn;267;24,00;32,37;6,00
HOB;232;The Notary Hobbits;268;8,99;;0,40
HOB;233;Thranduil, Sindarin Liege;269;2,00;;0,02
HOB;234;The Arkenstone;270;;;
HOB;235;My Precious;271;;;2,00
HOB;236;Orcrist, Goblin-cleaver;272;;;
HOB;237;Sting, Bilbo's Sword;273;;;
HOB;238;Elven Passage;274;14,99;;0,97
HOB;239;Gleaming Splendor;275;370,00;539,78;65,93
HOB;240;The Lord of the Eagles;276;;;3,50
HOB;241;Gollum, Riddle Master;277;77,00;123,94;
HOB;242;Gandalf, Goblins' Bane;278;;;
HOB;243;Thorin, Mountain-king;279;;;
HOB;244;Bard, King of Dale;280;;;9,99
HOB;245;Smaug, Wicked Worm;281;83,50;121,82;9,98
HOB;246;Thranduil, the Elvenking;282;;;
HOB;247;The Arkenstone;283;;;
HOB;248;The Lonely Mountain;284;11,50;13,92;4,00
HOC;001;Fíli and Kíli, Joyous;;;;
HOC;002;Gandalf, Party Guest;;;;
HOC;003;Thorin, King of Durin's Folk;;;;
HOC;004;Bilbo, Fellow Conspirator;;;;
HOC;005;Bag End Banquet;;;;
HOC;006;Ori, Plate Stacker;;;;
HOC;007;Long-Lost Lances;;;;
HOC;008;Dragon-Cursed Halls;;;;
HOC;009;Smaug the Impenetrable;;;;
HOC;010;Bilbo's Burglaring;;;;
HOC;011;Dragon's Desire;;;;
HOC;012;Necklace of Girion;;;;
HOC;013;Dawn of a New Age;053;;;
HOC;014;Flowering of the White Tree;054;44,00;61,92;
HOC;015;The Gaffer;055;24,99;34,76;
HOC;016;Galadriel's Dismissal;056;91,00;106,26;
HOC;017;Reprieve;057;;;
HOC;018;Raise the Palisade;058;25,00;35,78;
HOC;019;Orcish Bowmasters;059;140,00;194,18;
HOC;020;Witch-king of Angmar;060;49,99;72,58;
HOC;021;Witch-king, Bringer of Ruin;061;;;
HOC;022;Call Forth the Tempest;062;;;
HOC;023;Cavern-Hoard Dragon;063;;;
HOC;024;Arwen, Weaver of Hope;064;;;
HOC;025;Delighted Halfling;065;;;
HOC;026;Elven Chorus;066;22,99;27,12;
HOC;027;Last March of the Ents;067;;;
HOC;028;Aragorn and Arwen, Wed;068;;;
HOC;029;Aragorn, the Uniter;069;38,88;56,10;7,00
HOC;030;Arwen, Mortal Queen;070;25,79;33,87;
HOC;031;Flame of Anor;071;25,99;33,12;
HOC;032;Galadriel, Light of Valinor;072;;;
HOC;033;Gríma, Saruman's Footman;073;;;
HOC;034;Lotho, Corrupt Shirriff;074;;;
HOC;035;Saruman of Many Colors;075;30,00;40,15;4,00
HOC;036;Sauron, the Dark Lord;076;119,90;147,79;
HOC;037;Sauron, the Lidless Eye;077;25,00;44,76;
HOC;038;Tom Bombadil;078;;;
HOC;039;Andúril, Flame of the West;079;;;
HOC;040;Andúril, Narsil Reforged;080;;;
HOC;041;Bilbo's Ring;081;;;
HOC;042;Glamdring;082;;;
HOC;043;Mithril Coat;083;;;
HOC;044;The One Ring;084;560,00;614,94;99,98
HOC;045;Palantír of Orthanc;085;;;
HOC;046;Relic of Sauron;086;;;
HOC;047;The Black Gate;087;;;
HOC;048;Minas Morgul, Dark Fortress;088;;;
HOC;049;Minas Tirith;089;29,00;36,15;7,49
HOC;050;Mount Doom;090;;;
HOC;051;Rivendell;091;;;
HOC;052;The Shire;092;;;
HOC;093;Dwarven Warriors;;;;
HOC;094;The Reaver Cleaver;;;;
HOC;095;Arcane Signet;;;;
HOC;096;Mox Amber;;;;
HOC;097;Treasure Vault;;;;
HOC;098;Bilbo, Unexpected Adventurer;;;;
HOC;099;Gandalf, Shadow's Foe;;;;
HOC;100;Thorin, Company's Leader;;;;
HOC;101;Bard, Heir of Girion;;;;
HOC;102;Bolg, Erebor's Reckoning;;;;
HOC;103;Chief of the Wilds;;;;
HOC;104;Dáin of the Ancient Halls;;;;
HOC;105;Great Goblin, Foul-Hearted;;;;
HOC;106;Thranduil the Strategist;;;;
