set,collector_number,language,finish,treatment,object_type,name,variant,source
ART SERIES,1,English,nonfoil,Standard Art Card,art_card,Troop of Ponies,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,1,English,nonfoil,Gold-Stamped,art_card,Troop of Ponies,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,2,English,nonfoil,Standard Art Card,art_card,Belladonna Took,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,2,English,nonfoil,Gold-Stamped,art_card,Belladonna Took,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,3,English,nonfoil,Standard Art Card,art_card,The Eagles Are Coming!,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,3,English,nonfoil,Gold-Stamped,art_card,The Eagles Are Coming!,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,4,English,nonfoil,Standard Art Card,art_card,Gleaming Splendor,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,4,English,nonfoil,Gold-Stamped,art_card,Gleaming Splendor,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,5,English,nonfoil,Standard Art Card,art_card,Magnificent End,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,5,English,nonfoil,Gold-Stamped,art_card,Magnificent End,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,6,English,nonfoil,Standard Art Card,art_card,An Unexpected Party,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,6,English,nonfoil,Gold-Stamped,art_card,An Unexpected Party,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,7,English,nonfoil,Standard Art Card,art_card,"Bilbo, Thief in the Night",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,7,English,nonfoil,Gold-Stamped,art_card,"Bilbo, Thief in the Night",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,8,English,nonfoil,Standard Art Card,art_card,Confusticate and Bebother,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,8,English,nonfoil,Gold-Stamped,art_card,Confusticate and Bebother,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,9,English,nonfoil,Standard Art Card,art_card,"Elrond, Moon-Reader",unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,9,English,nonfoil,Gold-Stamped,art_card,"Elrond, Moon-Reader",gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,10,English,nonfoil,Standard Art Card,art_card,Mirkwood Meditator,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,10,English,nonfoil,Gold-Stamped,art_card,Mirkwood Meditator,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,11,English,nonfoil,Standard Art Card,art_card,Ravenhill Flock,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,11,English,nonfoil,Gold-Stamped,art_card,Ravenhill Flock,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,12,English,nonfoil,Standard Art Card,art_card,Riddles in the Dark,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,12,English,nonfoil,Gold-Stamped,art_card,Riddles in the Dark,gold_stamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
ART SERIES,13,English,nonfoil,Standard Art Card,art_card,Uncover the Moon-Letters,unstamped,"Wizards official The Hobbit Art Cards gallery; 54 numbered art cards; stamped is a treatment, not foil finish"
