set,collector_number,language,treatment,object_type,name,scryfall_id,layout,type_line,frame_effects,promo_types,source_finish_options,finish,physical_pairing,finish_detail
HOB,1,English,Default,card,Long-Bodied Grey Dog,d1a1e520-1fe2-4529-8afb-c187bb80da3c,normal,Creature — Dog,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,1,English,Default,card,Long-Bodied Grey Dog,d1a1e520-1fe2-4529-8afb-c187bb80da3c,normal,Creature — Dog,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,2,English,Default,card,Old Thrush,3ad02b56-13ec-46ef-92bd-ae078b8bb517,normal,Creature — Bird,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,2,English,Default,card,Old Thrush,3ad02b56-13ec-46ef-92bd-ae078b8bb517,normal,Creature — Bird,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,3,English,Default,card,Troop of Ponies,0b4b1c59-bcec-4779-9e27-0e6f9feb4e11,normal,Creature — Horse,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,3,English,Default,card,Troop of Ponies,0b4b1c59-bcec-4779-9e27-0e6f9feb4e11,normal,Creature — Horse,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,4,English,Default,card,Belladonna Took,88f0c189-c9ed-4ea3-ae62-3d8ac6c7fecf,normal,Legendary Creature — Halfling Citizen,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,4,English,Default,card,Belladonna Took,88f0c189-c9ed-4ea3-ae62-3d8ac6c7fecf,normal,Legendary Creature — Halfling Citizen,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,5,English,Default,card,Bilbo's Gambit,45ad01f0-cda8-4931-82bb-cb4949e56ae9,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,5,English,Default,card,Bilbo's Gambit,45ad01f0-cda8-4931-82bb-cb4949e56ae9,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,6,English,Default,card,"Bofur, Reliable Guardian // Concerted Care",6b8e6435-7de4-41d5-bc7d-8e24c11897d0,adventure,Legendary Creature — Dwarf Scout // Instant — Adventure,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,6,English,Default,card,"Bofur, Reliable Guardian // Concerted Care",6b8e6435-7de4-41d5-bc7d-8e24c11897d0,adventure,Legendary Creature — Dwarf Scout // Instant — Adventure,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,7,English,Default,card,Celebrate the Mountain-king,42fbd61d-e1a6-465d-b1a3-f5ee0869d3af,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,7,English,Default,card,Celebrate the Mountain-king,42fbd61d-e1a6-465d-b1a3-f5ee0869d3af,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,8,English,Default,card,"Dáin, Lord of the Iron Hills",99d27749-d16c-45e9-accc-6a01351c17f9,normal,Legendary Creature — Dwarf Noble,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,8,English,Default,card,"Dáin, Lord of the Iron Hills",99d27749-d16c-45e9-accc-6a01351c17f9,normal,Legendary Creature — Dwarf Noble,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,9,English,Default,card,Dwarven Provisioner,1f9a61a1-454e-4d5b-a6dd-1a79fe9dedf3,normal,Creature — Dwarf Citizen,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,9,English,Default,card,Dwarven Provisioner,1f9a61a1-454e-4d5b-a6dd-1a79fe9dedf3,normal,Creature — Dwarf Citizen,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,10,English,Default,card,Dwarven Shortsword,f2341cf3-4d2c-4a4f-9aea-8834104a8910,normal,Artifact — Equipment,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,10,English,Default,card,Dwarven Shortsword,f2341cf3-4d2c-4a4f-9aea-8834104a8910,normal,Artifact — Equipment,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,11,English,Default,card,Eagle of the Great Shelf,3feca644-5f65-4477-bbc8-d505cec6f3a5,normal,Creature — Bird Soldier,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,11,English,Default,card,Eagle of the Great Shelf,3feca644-5f65-4477-bbc8-d505cec6f3a5,normal,Creature — Bird Soldier,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,12,English,Default,card,The Eagles Are Coming!,0bda1b62-47fc-42c2-a841-ccad8ea0db48,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,12,English,Default,card,The Eagles Are Coming!,0bda1b62-47fc-42c2-a841-ccad8ea0db48,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,13,English,Default,card,Esgaroth Garrison,573f67b0-6ce8-4857-a703-4a5728640736,normal,Creature — Human Soldier,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,13,English,Default,card,Esgaroth Garrison,573f67b0-6ce8-4857-a703-4a5728640736,normal,Creature — Human Soldier,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,14,English,Default,card,Fíli the Pathfinder,b02142f3-5e55-40dc-a02c-9113fb7d763c,normal,Legendary Creature — Dwarf Scout,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,14,English,Default,card,Fíli the Pathfinder,b02142f3-5e55-40dc-a02c-9113fb7d763c,normal,Legendary Creature — Dwarf Scout,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,15,English,Default,card,Gleaming Splendor,3b087bd4-bbb7-4963-bdb6-0a700ff19a04,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
