cardmarket_product_id,source_product_name,source_expansion_name,source_expansion_id,source_category,source_collector_number,source_rarity,source_version,source_metacard_id,source_date_added,normalized_collector_number,normalized_card_name,detected_finish,detected_variant,detected_rarity,is_reverse_holo,is_holo,is_normal,is_promo,is_stamped,language_hint,price_guide_join_count,price_join_status,price_low,price_trend,price_avg1,price_avg7,price_avg30,price_low_holo,price_trend_holo,price_avg1_holo,price_avg7_holo,price_avg30_holo,available_items,source_currency,classification_method,classification_confidence,classification_notes
719442,Bulbasaur [Leech Seed | 151],,5328,Pokémon Single,,,,421079,2023-06-20 11:10:03,,Bulbasaur,,,,,,,,,,1,exact_single,0.02,0.4,2.03,0.35,0.18,0.1,8.33,1.45,8.87,6.54,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719444,Ivysaur [Leech Seed | Vine Whip | 151],,5328,Pokémon Single,,,,421081,2023-06-20 11:11:35,,Ivysaur,,,,,,,,,,1,exact_single,0.02,0.2,0.75,0.26,0.22,0.05,4.1,1.52,3.93,2.97,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719445,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],,5328,Pokémon Single,,,,421082,2023-06-20 11:12:25,,Venusaur ex,,,,,,,,,,1,exact_single,0.08,0.64,0.79,0.83,0.64,,0,,,,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719446,Charmander [Blazing Destruction | Steady Firebreathing],,5328,Pokémon Single,,,,421083,2023-06-20 11:13:23,,Charmander,,,,,,,,,,1,exact_single,0.02,1.57,0.1,0.06,1.44,0.59,6.72,1.95,1.46,6.52,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719447,Charmeleon [Combustion | Fire Blast],,5328,Pokémon Single,,,,421084,2023-06-20 11:14:21,,Charmeleon,,,,,,,,,,1,exact_single,0.02,0.39,0.23,0.16,0.4,0.05,1.38,1.45,1.26,2.8,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719448,Charizard ex [Brave Wing | Explosive Vortex],,5328,Pokémon Single,,,,421085,2023-06-20 11:15:03,,Charizard ex,,,,,,,,,,1,exact_single,0.5,1.84,1.59,1.35,2.03,,0,,,,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719449,Squirtle [Withdraw | Skull Bash],,5328,Pokémon Single,,,,421086,2023-06-20 11:15:53,,Squirtle,,,,,,,,,,1,exact_single,0.02,0.02,0.54,0.21,0.45,0.05,1.24,1.8,1.25,3.17,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719450,Wartortle [Free Diving | Spinning Attack],,5328,Pokémon Single,,,,421087,2023-06-20 11:16:30,,Wartortle,,,,,,,,,,1,exact_single,0.02,0.02,0.07,0.28,0.51,0.1,4.88,1.9,3.52,3.91,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719451,Blastoise ex [Solid Shell | Twin Cannons],,5328,Pokémon Single,,,,421088,2023-06-20 11:17:17,,Blastoise ex,,,,,,,,,,1,exact_single,0.1,0.7,1.32,0.68,0.65,,0,,,,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
719452,Caterpie [Leaf Munch],,5328,Pokémon Single,,,,421089,2023-06-20 11:18:15,,Caterpie,,,,,,,,,,1,exact_single,0.02,0.07,0.04,0.04,0.3,0.15,5.97,0.49,5.03,3.17,,,source_field_audit; normalized_card_name=remove_final_bracket_only,unresolved,"collector number, rarity, version, finish and language are absent from the Product Catalogue record; idMetacard is retained as a Cardmarket source identity/grouping key, not treated as official card identity; ex and attack text in the product name are not interpreted as rarity or finish"
