collector_number,card_name,source_metacard_id,product_count,cardmarket_product_ids,product_names,detected_variants,detected_finishes,rarities,has_reverse_holo,has_holo,has_normal,has_price_low,ambiguity_status,notes
,Abra,421142,1,719505,Abra [Psyshot],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Aerodactyl,421221,1,719595,Aerodactyl [Glide | Devolution Ray],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Alakazam ex,421144,3,"719507, 719643, 719656",Alakazam ex [Mind Jack | Dimensional Hand] || Alakazam ex [Mind Jack | Dimensional Hand] || Alakazam ex [Mind Jack | Dimensional Hand],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Antique Dome Fossil,421234,1,719608,Antique Dome Fossil [Domed Armor],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Antique Helix Fossil,421233,1,719607,Antique Helix Fossil [Helical Swell],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Antique Old Amber,421235,1,719609,Antique Old Amber [Amber Protection],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Arbok ex,421103,2,"719466, 719640",Arbok ex [Bind Down | Menacing Fangs] || Arbok ex [Bind Down | Menacing Fangs],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Arcanine,421138,1,719501,Arcanine [Torrid Torrent | Dynamite Fang],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Articuno,421223,1,719597,Articuno [Ice Float | Blizzard],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Basic Psychic Energy,439732,1,719663,Basic Psychic Energy,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
