cardmarket_product_id,product_name,collector_number,reason_unresolved,possible_interpretations,recommended_manual_review
719442,Bulbasaur [Leech Seed | 151],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719444,Ivysaur [Leech Seed | Vine Whip | 151],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719445,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719446,Charmander [Blazing Destruction | Steady Firebreathing],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719447,Charmeleon [Combustion | Fire Blast],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719448,Charizard ex [Brave Wing | Explosive Vortex],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719449,Squirtle [Withdraw | Skull Bash],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719450,Wartortle [Free Diving | Spinning Attack],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719451,Blastoise ex [Solid Shell | Twin Cannons],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719452,Caterpie [Leaf Munch],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719453,Metapod [Tackle | Defensive Posture],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719454,Butterfree [Whirlwind | Bye Bye Flight],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719455,Weedle [Ram | Bug Bite],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719456,Kakuna [Cocoon Cover | Zzzt],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
719457,Beedrill [Nadir Needle | Pierce],,"collector_number, rarity, finish, version and language are not source fields; variant cannot be classified safely",normal/reverse holo/holo/other printing or a source-level duplicate; no distinguishing evidence in these files,Do not import as a Pokémon printing until official number and finish/variant evidence are obtained.
