idProduct,idMetacard,product_name,candidate_1_collector_number,candidate_1_card_name,candidate_1_rarity,candidate_1_image,candidate_2_collector_number,candidate_2_card_name,candidate_2_rarity,candidate_2_image,candidate_3_collector_number,candidate_3_card_name,candidate_3_rarity,candidate_3_image,ambiguity_reason,evidence_available,recommended_candidate,recommendation_confidence,approved,approved_collector_number,review_notes
719442,421079,Bulbasaur [Leech Seed | 151],001,Bulbasaur,,https://assets.tcgdex.net/en/sv/sv03.5/001/high.webp,166,Bulbasaur,,https://assets.tcgdex.net/en/sv/sv03.5/166/high.webp,,,,,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,001,LOW,false,,
719444,421081,Ivysaur [Leech Seed | Vine Whip | 151],002,Ivysaur,,https://assets.tcgdex.net/en/sv/sv03.5/002/high.webp,167,Ivysaur,,https://assets.tcgdex.net/en/sv/sv03.5/167/high.webp,,,,,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,002,LOW,false,,
719445,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],003,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/003/high.webp,182,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/182/high.webp,198,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/198/high.webp,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,003,LOW,false,,
719446,421083,Charmander [Blazing Destruction | Steady Firebreathing],004,Charmander,,https://assets.tcgdex.net/en/sv/sv03.5/004/high.webp,168,Charmander,,https://assets.tcgdex.net/en/sv/sv03.5/168/high.webp,,,,,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,004,LOW,false,,
719447,421084,Charmeleon [Combustion | Fire Blast],005,Charmeleon,,https://assets.tcgdex.net/en/sv/sv03.5/005/high.webp,169,Charmeleon,,https://assets.tcgdex.net/en/sv/sv03.5/169/high.webp,,,,,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,005,LOW,false,,
719448,421085,Charizard ex [Brave Wing | Explosive Vortex],006,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/006/high.webp,183,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/183/high.webp,199,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/199/high.webp,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,006,LOW,false,,
719449,421086,Squirtle [Withdraw | Skull Bash],007,Squirtle,,https://assets.tcgdex.net/en/sv/sv03.5/007/high.webp,170,Squirtle,,https://assets.tcgdex.net/en/sv/sv03.5/170/high.webp,,,,,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,007,LOW,false,,
719450,421087,Wartortle [Free Diving | Spinning Attack],008,Wartortle,,https://assets.tcgdex.net/en/sv/sv03.5/008/high.webp,171,Wartortle,,https://assets.tcgdex.net/en/sv/sv03.5/171/high.webp,,,,,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,008,LOW,false,,
719451,421088,Blastoise ex [Solid Shell | Twin Cannons],009,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/009/high.webp,184,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/184/high.webp,200,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/200/high.webp,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,009,LOW,false,,
719452,421089,Caterpie [Leaf Munch],010,Caterpie,,https://assets.tcgdex.net/en/sv/sv03.5/010/high.webp,172,Caterpie,,https://assets.tcgdex.net/en/sv/sv03.5/172/high.webp,,,,,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,010,LOW,false,,
719466,421103,Arbok ex [Bind Down | Menacing Fangs],024,Arbok ex,,https://assets.tcgdex.net/en/sv/sv03.5/024/high.webp,185,Arbok ex,,https://assets.tcgdex.net/en/sv/sv03.5/185/high.webp,,,,,name_signature=arbok ex; attack_signature=bind down | menacing fangs; no_direct_external_id_match,name_signature=arbok ex; attack_signature=bind down | menacing fangs; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,024,LOW,false,,
719467,421104,Pikachu [Charge | Pika Punch],025,Pikachu,,https://assets.tcgdex.net/en/sv/sv03.5/025/high.webp,173,Pikachu,,https://assets.tcgdex.net/en/sv/sv03.5/173/high.webp,,,,,name_signature=pikachu; attack_signature=charge | pika punch; no_direct_external_id_match,name_signature=pikachu; attack_signature=charge | pika punch; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,025,LOW,false,,
719476,421113,Nidoking [Enthusiastic King | Venom Impact],034,Nidoking,,https://assets.tcgdex.net/en/sv/sv03.5/034/high.webp,174,Nidoking,,https://assets.tcgdex.net/en/sv/sv03.5/174/high.webp,,,,,name_signature=nidoking; attack_signature=enthusiastic king | venom impact; no_direct_external_id_match,name_signature=nidoking; attack_signature=enthusiastic king | venom impact; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,034,LOW,false,,
719480,421117,Ninetales ex [Heat Wave | Mirrored Flames],038,Ninetales ex,,https://assets.tcgdex.net/en/sv/sv03.5/038/high.webp,186,Ninetales ex,,https://assets.tcgdex.net/en/sv/sv03.5/186/high.webp,,,,,name_signature=ninetales ex; attack_signature=heat wave | mirrored flames; no_direct_external_id_match,name_signature=ninetales ex; attack_signature=heat wave | mirrored flames; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,038,LOW,false,,
719482,421119,Wigglytuff ex [Expanding Body | Friend Tackle],040,Wigglytuff ex,,https://assets.tcgdex.net/en/sv/sv03.5/040/high.webp,187,Wigglytuff ex,,https://assets.tcgdex.net/en/sv/sv03.5/187/high.webp,,,,,name_signature=wigglytuff ex; attack_signature=expanding body | friend tackle; no_direct_external_id_match,name_signature=wigglytuff ex; attack_signature=expanding body | friend tackle; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,040,LOW,false,,
