idProduct,idMetacard,product_name,candidate_1_collector_number,candidate_1_card_name,candidate_1_rarity,candidate_1_image,candidate_2_collector_number,candidate_2_card_name,candidate_2_rarity,candidate_2_image,candidate_3_collector_number,candidate_3_card_name,candidate_3_rarity,candidate_3_image,ambiguity_reason,evidence_available,recommended_candidate,recommendation_confidence,approved,approved_collector_number,review_notes
719442,421079,Bulbasaur [Leech Seed | 151],001,Bulbasaur,,https://assets.tcgdex.net/en/sv/sv03.5/001,166,Bulbasaur,,https://assets.tcgdex.net/en/sv/sv03.5/166,,,,,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719444,421081,Ivysaur [Leech Seed | Vine Whip | 151],002,Ivysaur,,https://assets.tcgdex.net/en/sv/sv03.5/002,167,Ivysaur,,https://assets.tcgdex.net/en/sv/sv03.5/167,,,,,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719445,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],003,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/003,182,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/182,198,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/198,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719446,421083,Charmander [Blazing Destruction | Steady Firebreathing],004,Charmander,,https://assets.tcgdex.net/en/sv/sv03.5/004,168,Charmander,,https://assets.tcgdex.net/en/sv/sv03.5/168,,,,,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719447,421084,Charmeleon [Combustion | Fire Blast],005,Charmeleon,,https://assets.tcgdex.net/en/sv/sv03.5/005,169,Charmeleon,,https://assets.tcgdex.net/en/sv/sv03.5/169,,,,,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719448,421085,Charizard ex [Brave Wing | Explosive Vortex],006,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/006,183,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/183,199,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/199,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719449,421086,Squirtle [Withdraw | Skull Bash],007,Squirtle,,https://assets.tcgdex.net/en/sv/sv03.5/007,170,Squirtle,,https://assets.tcgdex.net/en/sv/sv03.5/170,,,,,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719450,421087,Wartortle [Free Diving | Spinning Attack],008,Wartortle,,https://assets.tcgdex.net/en/sv/sv03.5/008,171,Wartortle,,https://assets.tcgdex.net/en/sv/sv03.5/171,,,,,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719451,421088,Blastoise ex [Solid Shell | Twin Cannons],009,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/009,184,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/184,200,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/200,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
719452,421089,Caterpie [Leaf Munch],010,Caterpie,,https://assets.tcgdex.net/en/sv/sv03.5/010,172,Caterpie,,https://assets.tcgdex.net/en/sv/sv03.5/172,,,,,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match; no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity; exact internal TCGdex images; structured Pokémon metadata,,NONE,false,,
