idProduct,previous_status,approved,approved_collector_number,recommendation_status,recommended_candidate,validation_status,would_apply,reason
719442,AMBIGUOUS,true,001,RECOMMENDED,001,VALID,True,APPROVED_MANUAL_REVIEW
719444,AMBIGUOUS,true,002,RECOMMENDED,002,VALID,True,APPROVED_MANUAL_REVIEW
719445,AMBIGUOUS,true,003,RECOMMENDED,003,VALID,True,APPROVED_MANUAL_REVIEW
719446,AMBIGUOUS,true,004,RECOMMENDED,004,VALID,True,APPROVED_MANUAL_REVIEW
719447,AMBIGUOUS,true,005,RECOMMENDED,005,VALID,True,APPROVED_MANUAL_REVIEW
719448,AMBIGUOUS,true,006,RECOMMENDED,006,VALID,True,APPROVED_MANUAL_REVIEW
719449,AMBIGUOUS,true,007,RECOMMENDED,007,VALID,True,APPROVED_MANUAL_REVIEW
719450,AMBIGUOUS,true,008,RECOMMENDED,008,VALID,True,APPROVED_MANUAL_REVIEW
719451,AMBIGUOUS,true,009,RECOMMENDED,009,VALID,True,APPROVED_MANUAL_REVIEW
719452,AMBIGUOUS,true,010,RECOMMENDED,010,VALID,True,APPROVED_MANUAL_REVIEW
719466,AMBIGUOUS,true,024,RECOMMENDED,024,VALID,True,APPROVED_MANUAL_REVIEW
719467,AMBIGUOUS,true,025,RECOMMENDED,025,VALID,True,APPROVED_MANUAL_REVIEW
719476,AMBIGUOUS,true,034,RECOMMENDED,034,VALID,True,APPROVED_MANUAL_REVIEW
719480,AMBIGUOUS,true,038,RECOMMENDED,038,VALID,True,APPROVED_MANUAL_REVIEW
719482,AMBIGUOUS,true,040,RECOMMENDED,040,VALID,True,APPROVED_MANUAL_REVIEW
719496,AMBIGUOUS,true,054,RECOMMENDED,054,VALID,True,APPROVED_MANUAL_REVIEW
719503,AMBIGUOUS,true,061,RECOMMENDED,061,VALID,True,APPROVED_MANUAL_REVIEW
719507,AMBIGUOUS,true,065,RECOMMENDED,065,VALID,True,APPROVED_MANUAL_REVIEW
719509,AMBIGUOUS,true,067,RECOMMENDED,067,VALID,True,APPROVED_MANUAL_REVIEW
719518,AMBIGUOUS,true,076,RECOMMENDED,076,VALID,True,APPROVED_MANUAL_REVIEW
719567,AMBIGUOUS,true,114,RECOMMENDED,114,VALID,True,APPROVED_MANUAL_REVIEW
719568,AMBIGUOUS,true,115,RECOMMENDED,115,VALID,True,APPROVED_MANUAL_REVIEW
719575,AMBIGUOUS,true,122,RECOMMENDED,122,VALID,True,APPROVED_MANUAL_REVIEW
719577,AMBIGUOUS,true,124,RECOMMENDED,124,VALID,True,APPROVED_MANUAL_REVIEW
719591,AMBIGUOUS,true,138,RECOMMENDED,138,VALID,True,APPROVED_MANUAL_REVIEW
719598,AMBIGUOUS,true,145,RECOMMENDED,145,VALID,True,APPROVED_MANUAL_REVIEW
719601,AMBIGUOUS,true,148,RECOMMENDED,148,VALID,True,APPROVED_MANUAL_REVIEW
719604,AMBIGUOUS,true,151,RECOMMENDED,151,VALID,True,APPROVED_MANUAL_REVIEW
719614,AMBIGUOUS,true,160,RECOMMENDED,160,VALID,True,APPROVED_MANUAL_REVIEW
719615,AMBIGUOUS,true,161,RECOMMENDED,161,VALID,True,APPROVED_MANUAL_REVIEW
719616,AMBIGUOUS,true,158,RECOMMENDED,158,VALID,True,APPROVED_MANUAL_REVIEW
719617,AMBIGUOUS,true,156,RECOMMENDED,156,VALID,True,APPROVED_MANUAL_REVIEW
719619,AMBIGUOUS,true,166,RECOMMENDED,166,VALID,True,APPROVED_MANUAL_REVIEW
719620,AMBIGUOUS,true,167,NEEDS_REVIEW,,VALID,True,APPROVED_MANUAL_REVIEW
719621,AMBIGUOUS,true,168,RECOMMENDED,168,VALID,True,APPROVED_MANUAL_REVIEW
719622,AMBIGUOUS,true,169,RECOMMENDED,169,VALID,True,APPROVED_MANUAL_REVIEW
719623,AMBIGUOUS,true,170,RECOMMENDED,170,VALID,True,APPROVED_MANUAL_REVIEW
