idProduct,product_name,remaining_candidates,reason,recommended_next_action
719442,Bulbasaur [Leech Seed | 151],"001,166",PENDING_HUMAN_APPROVAL,Human approval required
719444,Ivysaur [Leech Seed | Vine Whip | 151],"002,167",PENDING_HUMAN_APPROVAL,Human approval required
719445,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],"003,182,198",PENDING_HUMAN_APPROVAL,Human approval required
719446,Charmander [Blazing Destruction | Steady Firebreathing],"004,168",PENDING_HUMAN_APPROVAL,Human approval required
719447,Charmeleon [Combustion | Fire Blast],"005,169",PENDING_HUMAN_APPROVAL,Human approval required
719448,Charizard ex [Brave Wing | Explosive Vortex],"006,183,199",PENDING_HUMAN_APPROVAL,Human approval required
719449,Squirtle [Withdraw | Skull Bash],"007,170",PENDING_HUMAN_APPROVAL,Human approval required
719450,Wartortle [Free Diving | Spinning Attack],"008,171",PENDING_HUMAN_APPROVAL,Human approval required
719451,Blastoise ex [Solid Shell | Twin Cannons],"009,184,200",PENDING_HUMAN_APPROVAL,Human approval required
719452,Caterpie [Leaf Munch],"010,172",PENDING_HUMAN_APPROVAL,Human approval required
719466,Arbok ex [Bind Down | Menacing Fangs],"024,185",PENDING_HUMAN_APPROVAL,Human approval required
719467,Pikachu [Charge | Pika Punch],"025,173",PENDING_HUMAN_APPROVAL,Human approval required
719476,Nidoking [Enthusiastic King | Venom Impact],"034,174",PENDING_HUMAN_APPROVAL,Human approval required
719480,Ninetales ex [Heat Wave | Mirrored Flames],"038,186",PENDING_HUMAN_APPROVAL,Human approval required
719482,Wigglytuff ex [Expanding Body | Friend Tackle],"040,187",PENDING_HUMAN_APPROVAL,Human approval required
719496,Psyduck [Overthinking | Water Gun],"054,175",PENDING_HUMAN_APPROVAL,Human approval required
719503,Poliwhirl [Wave Splash | Frog Hop],"061,176",PENDING_HUMAN_APPROVAL,Human approval required
719507,Alakazam ex [Mind Jack | Dimensional Hand],"065,188,201",PENDING_HUMAN_APPROVAL,Human approval required
719509,Machoke [Mountain Ramming],"067,177",PENDING_HUMAN_APPROVAL,Human approval required
719518,Golem ex [Dynamic Roll | Rock Blaster],"076,189",PENDING_HUMAN_APPROVAL,Human approval required
719567,Tangela [Tactful Tangling],"114,178",PENDING_HUMAN_APPROVAL,Human approval required
719568,Kangaskhan ex [Triple Draw | Incessant Punching],"115,190",PENDING_HUMAN_APPROVAL,Human approval required
719575,Mr. Mime [Mimic Barrier | Psypower],"122,179",PENDING_HUMAN_APPROVAL,Human approval required
719577,Jynx ex [Heart-Stopping Kiss | Icy Wind],"124,191",PENDING_HUMAN_APPROVAL,Human approval required
719591,Omanyte [Tentacular Return],"138,180",PENDING_HUMAN_APPROVAL,Human approval required
719598,Zapdos ex [Voltaic Float | Multishot Lightning],"145,192,202",PENDING_HUMAN_APPROVAL,Human approval required
719601,Dragonair [Beat | Aqua Slash],"148,181",PENDING_HUMAN_APPROVAL,Human approval required
719604,Mew ex [Restart | Genome Hacking],"151,193,205",PENDING_HUMAN_APPROVAL,Human approval required
719614,Erika's Invitation,"160,196,203",PENDING_HUMAN_APPROVAL,Human approval required
719615,Giovanni's Charisma,"161,197,204",PENDING_HUMAN_APPROVAL,Human approval required
719616,Daisy's Help,"158,195",PENDING_HUMAN_APPROVAL,Human approval required
719617,Bill's Transfer,"156,194",PENDING_HUMAN_APPROVAL,Human approval required
719619,Bulbasaur [Leech Seed | 151],"001,166",PENDING_HUMAN_APPROVAL,Human approval required
719620,Ivysaur [Leech Seed | Vine Whip | 151],"002,167",PENDING_HUMAN_APPROVAL,Human approval required
719621,Charmander [Blazing Destruction | Steady Firebreathing],"004,168",PENDING_HUMAN_APPROVAL,Human approval required
719622,Charmeleon [Combustion | Fire Blast],"005,169",PENDING_HUMAN_APPROVAL,Human approval required
719623,Squirtle [Withdraw | Skull Bash],"007,170",PENDING_HUMAN_APPROVAL,Human approval required
719624,Wartortle [Free Diving | Spinning Attack],"008,171",PENDING_HUMAN_APPROVAL,Human approval required
719625,Caterpie [Leaf Munch],"010,172",PENDING_HUMAN_APPROVAL,Human approval required
719626,Pikachu [Charge | Pika Punch],"025,173",PENDING_HUMAN_APPROVAL,Human approval required
719627,Nidoking [Enthusiastic King | Venom Impact],"034,174",PENDING_HUMAN_APPROVAL,Human approval required
719628,Psyduck [Overthinking | Water Gun],"054,175",PENDING_HUMAN_APPROVAL,Human approval required
719629,Poliwhirl [Wave Splash | Frog Hop],"061,176",PENDING_HUMAN_APPROVAL,Human approval required
719630,Machoke [Mountain Ramming],"067,177",PENDING_HUMAN_APPROVAL,Human approval required
719631,Tangela [Tactful Tangling],"114,178",PENDING_HUMAN_APPROVAL,Human approval required
719632,Mr. Mime [Mimic Barrier | Psypower],"122,179",PENDING_HUMAN_APPROVAL,Human approval required
