review_number,idProduct,confidence,candidate_count,highest_evidence_score,recommended_candidate,suggested_action,product_name
1,719442,NONE,2,4,,LEAVE UNRESOLVED,Bulbasaur [Leech Seed | 151]
2,719444,NONE,2,4,,LEAVE UNRESOLVED,Ivysaur [Leech Seed | Vine Whip | 151]
3,719446,NONE,2,4,,LEAVE UNRESOLVED,Charmander [Blazing Destruction | Steady Firebreathing]
4,719447,NONE,2,4,,LEAVE UNRESOLVED,Charmeleon [Combustion | Fire Blast]
5,719449,NONE,2,4,,LEAVE UNRESOLVED,Squirtle [Withdraw | Skull Bash]
6,719450,NONE,2,4,,LEAVE UNRESOLVED,Wartortle [Free Diving | Spinning Attack]
7,719452,NONE,2,4,,LEAVE UNRESOLVED,Caterpie [Leaf Munch]
8,719466,NONE,2,4,,LEAVE UNRESOLVED,Arbok ex [Bind Down | Menacing Fangs]
9,719467,NONE,2,4,,LEAVE UNRESOLVED,Pikachu [Charge | Pika Punch]
10,719476,NONE,2,3,,LEAVE UNRESOLVED,Nidoking [Enthusiastic King | Venom Impact]
11,719480,NONE,2,4,,LEAVE UNRESOLVED,Ninetales ex [Heat Wave | Mirrored Flames]
12,719482,NONE,2,4,,LEAVE UNRESOLVED,Wigglytuff ex [Expanding Body | Friend Tackle]
13,719496,NONE,2,4,,LEAVE UNRESOLVED,Psyduck [Overthinking | Water Gun]
14,719503,NONE,2,4,,LEAVE UNRESOLVED,Poliwhirl [Wave Splash | Frog Hop]
15,719509,NONE,2,4,,LEAVE UNRESOLVED,Machoke [Mountain Ramming]
16,719518,NONE,2,4,,LEAVE UNRESOLVED,Golem ex [Dynamic Roll | Rock Blaster]
17,719567,NONE,2,4,,LEAVE UNRESOLVED,Tangela [Tactful Tangling]
18,719568,NONE,2,4,,LEAVE UNRESOLVED,Kangaskhan ex [Triple Draw | Incessant Punching]
19,719575,NONE,2,4,,LEAVE UNRESOLVED,Mr. Mime [Mimic Barrier | Psypower]
20,719577,NONE,2,4,,LEAVE UNRESOLVED,Jynx ex [Heart-Stopping Kiss | Icy Wind]
21,719591,NONE,2,4,,LEAVE UNRESOLVED,Omanyte [Tentacular Return]
22,719601,NONE,2,4,,LEAVE UNRESOLVED,Dragonair [Beat | Aqua Slash]
23,719616,NONE,2,3,,LEAVE UNRESOLVED,Daisy's Help
24,719617,NONE,2,3,,LEAVE UNRESOLVED,Bill's Transfer
25,719619,NONE,2,4,,LEAVE UNRESOLVED,Bulbasaur [Leech Seed | 151]
26,719620,NONE,2,4,,LEAVE UNRESOLVED,Ivysaur [Leech Seed | Vine Whip | 151]
27,719621,NONE,2,4,,LEAVE UNRESOLVED,Charmander [Blazing Destruction | Steady Firebreathing]
28,719622,NONE,2,4,,LEAVE UNRESOLVED,Charmeleon [Combustion | Fire Blast]
29,719623,NONE,2,4,,LEAVE UNRESOLVED,Squirtle [Withdraw | Skull Bash]
30,719624,NONE,2,4,,LEAVE UNRESOLVED,Wartortle [Free Diving | Spinning Attack]
31,719625,NONE,2,4,,LEAVE UNRESOLVED,Caterpie [Leaf Munch]
32,719626,NONE,2,4,,LEAVE UNRESOLVED,Pikachu [Charge | Pika Punch]
33,719627,NONE,2,3,,LEAVE UNRESOLVED,Nidoking [Enthusiastic King | Venom Impact]
34,719628,NONE,2,4,,LEAVE UNRESOLVED,Psyduck [Overthinking | Water Gun]
35,719629,NONE,2,4,,LEAVE UNRESOLVED,Poliwhirl [Wave Splash | Frog Hop]
36,719630,NONE,2,4,,LEAVE UNRESOLVED,Machoke [Mountain Ramming]
37,719631,NONE,2,4,,LEAVE UNRESOLVED,Tangela [Tactful Tangling]
38,719632,NONE,2,4,,LEAVE UNRESOLVED,Mr. Mime [Mimic Barrier | Psypower]
39,719633,NONE,2,4,,LEAVE UNRESOLVED,Omanyte [Tentacular Return]
40,719635,NONE,2,4,,LEAVE UNRESOLVED,Dragonair [Beat | Aqua Slash]
41,719640,NONE,2,4,,LEAVE UNRESOLVED,Arbok ex [Bind Down | Menacing Fangs]
42,719641,NONE,2,4,,LEAVE UNRESOLVED,Ninetales ex [Heat Wave | Mirrored Flames]
43,719642,NONE,2,4,,LEAVE UNRESOLVED,Wigglytuff ex [Expanding Body | Friend Tackle]
44,719644,NONE,2,4,,LEAVE UNRESOLVED,Golem ex [Dynamic Roll | Rock Blaster]
45,719645,NONE,2,4,,LEAVE UNRESOLVED,Kangaskhan ex [Triple Draw | Incessant Punching]
46,719646,NONE,2,4,,LEAVE UNRESOLVED,Jynx ex [Heart-Stopping Kiss | Icy Wind]
47,719651,NONE,2,3,,LEAVE UNRESOLVED,Daisy's Help
48,719652,NONE,2,3,,LEAVE UNRESOLVED,Bill's Transfer
49,719445,NONE,3,4,,LEAVE UNRESOLVED,Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
50,719448,NONE,3,4,,LEAVE UNRESOLVED,Charizard ex [Brave Wing | Explosive Vortex]
51,719451,NONE,3,4,,LEAVE UNRESOLVED,Blastoise ex [Solid Shell | Twin Cannons]
52,719507,NONE,3,4,,LEAVE UNRESOLVED,Alakazam ex [Mind Jack | Dimensional Hand]
53,719598,NONE,3,4,,LEAVE UNRESOLVED,Zapdos ex [Voltaic Float | Multishot Lightning]
54,719604,NONE,3,4,,LEAVE UNRESOLVED,Mew ex [Restart | Genome Hacking]
55,719614,NONE,3,3,,LEAVE UNRESOLVED,Erika's Invitation
56,719615,NONE,3,3,,LEAVE UNRESOLVED,Giovanni's Charisma
57,719637,NONE,3,4,,LEAVE UNRESOLVED,Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
58,719638,NONE,3,4,,LEAVE UNRESOLVED,Charizard ex [Brave Wing | Explosive Vortex]
59,719639,NONE,3,4,,LEAVE UNRESOLVED,Blastoise ex [Solid Shell | Twin Cannons]
60,719643,NONE,3,4,,LEAVE UNRESOLVED,Alakazam ex [Mind Jack | Dimensional Hand]
61,719647,NONE,3,4,,LEAVE UNRESOLVED,Zapdos ex [Voltaic Float | Multishot Lightning]
62,719648,NONE,3,4,,LEAVE UNRESOLVED,Mew ex [Restart | Genome Hacking]
63,719649,NONE,3,3,,LEAVE UNRESOLVED,Erika's Invitation
64,719650,NONE,3,3,,LEAVE UNRESOLVED,Giovanni's Charisma
65,719653,NONE,3,4,,LEAVE UNRESOLVED,Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
66,719654,NONE,3,4,,LEAVE UNRESOLVED,Charizard ex [Brave Wing | Explosive Vortex]
67,719655,NONE,3,4,,LEAVE UNRESOLVED,Blastoise ex [Solid Shell | Twin Cannons]
68,719656,NONE,3,4,,LEAVE UNRESOLVED,Alakazam ex [Mind Jack | Dimensional Hand]
69,719657,NONE,3,4,,LEAVE UNRESOLVED,Zapdos ex [Voltaic Float | Multishot Lightning]
70,719658,NONE,3,4,,LEAVE UNRESOLVED,Mew ex [Restart | Genome Hacking]
71,719659,NONE,3,3,,LEAVE UNRESOLVED,Erika's Invitation
72,719660,NONE,3,3,,LEAVE UNRESOLVED,Giovanni's Charisma
73,719661,NONE,3,4,,LEAVE UNRESOLVED,Mew ex [Restart | Genome Hacking]
