idProduct,idMetacard,product_name,ambiguity_reason,cardmarket_low,cardmarket_trend,cardmarket_avg7,price_tier,status,recommended_candidate,recommendation_confidence,candidate_count,recommendation_reason,approved,approved_collector_number
719442,421079,Bulbasaur [Leech Seed | 151],name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match,0.02,0.24,0.07,LOW,RECOMMENDED,001,LOW,2,Cardmarket Low is low and points to the only main set candidate; review manually.,true,001
719444,421081,Ivysaur [Leech Seed | Vine Whip | 151],name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match,0.02,0.14,0.07,LOW,RECOMMENDED,002,LOW,2,Cardmarket Low is low and points to the only main set candidate; review manually.,true,002
719445,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,0.08,0.64,0.61,LOW,RECOMMENDED,003,LOW,3,Cardmarket Low is low and points to the only main set candidate; review manually.,true,003
719446,421083,Charmander [Blazing Destruction | Steady Firebreathing],name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match,0.02,2.58,0.05,LOW,RECOMMENDED,004,LOW,2,Cardmarket Low is low and points to the only main set candidate; review manually.,true,004
719447,421084,Charmeleon [Combustion | Fire Blast],name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match,0.02,0.52,0.99,LOW,RECOMMENDED,005,LOW,2,Cardmarket Low is low and points to the only main set candidate; review manually.,true,005
719448,421085,Charizard ex [Brave Wing | Explosive Vortex],name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,0.5,2.58,2.05,LOW,RECOMMENDED,006,LOW,3,Cardmarket Low is low and points to the only main set candidate; review manually.,true,006
719449,421086,Squirtle [Withdraw | Skull Bash],name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match,0.02,0.18,0.09,LOW,RECOMMENDED,007,LOW,2,Cardmarket Low is low and points to the only main set candidate; review manually.,true,007
719450,421087,Wartortle [Free Diving | Spinning Attack],name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match,0.02,0.13,0.07,LOW,RECOMMENDED,008,LOW,2,Cardmarket Low is low and points to the only main set candidate; review manually.,true,008
719451,421088,Blastoise ex [Solid Shell | Twin Cannons],name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,0.1,0.66,0.68,LOW,RECOMMENDED,009,LOW,3,Cardmarket Low is low and points to the only main set candidate; review manually.,true,009
719452,421089,Caterpie [Leaf Munch],name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match,0.02,0.42,0.05,LOW,RECOMMENDED,010,LOW,2,Cardmarket Low is low and points to the only main set candidate; review manually.,true,010
