idProduct,collector_number,canonical_id,compatible_physical_printing_ids,compatible_finishes,finish_scope,evidence,confidence
719453,011,23366,"[25184,25185]","[""normal"",""reverse_holo""]",multiple,name_signature=metapod; attack_signature=tackle | defensive posture; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719454,012,23367,"[25186,25187]","[""normal"",""reverse_holo""]",multiple,name_signature=butterfree; attack_signature=whirlwind | bye bye flight; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719455,013,23368,"[25188,25189]","[""normal"",""reverse_holo""]",multiple,name_signature=weedle; attack_signature=ram | bug bite; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719456,014,23369,"[25190,25191]","[""normal"",""reverse_holo""]",multiple,name_signature=kakuna; attack_signature=cocoon cover | zzzt; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719457,015,23370,"[25192,25193]","[""holo"",""reverse_holo""]",multiple,name_signature=beedrill; attack_signature=nadir needle | pierce; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719458,016,23371,"[25194,25195]","[""normal"",""reverse_holo""]",multiple,name_signature=pidgey; attack_signature=call for family | tackle; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719459,017,23372,"[25196,25197]","[""normal"",""reverse_holo""]",multiple,name_signature=pidgeotto; attack_signature=flap; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719460,018,23373,"[25198,25199]","[""normal"",""reverse_holo""]",multiple,name_signature=pidgeot; attack_signature=flap | fly; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719461,019,23374,"[25200,25201]","[""normal"",""reverse_holo""]",multiple,name_signature=rattata; attack_signature=gnaw the wound; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719462,020,23375,"[25202,25203]","[""normal"",""reverse_holo""]",multiple,name_signature=raticate; attack_signature=second bite; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719463,021,23376,"[25204,25205]","[""normal"",""reverse_holo""]",multiple,name_signature=spearow; attack_signature=evolutionary advantage | speed dive; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719464,022,23377,"[25206,25207]","[""normal"",""reverse_holo""]",multiple,name_signature=fearow; attack_signature=beak catch | speed dive; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719465,023,23378,"[25208,25209]","[""normal"",""reverse_holo""]",multiple,name_signature=ekans; attack_signature=acid spray; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719468,026,23381,"[25213,25214]","[""holo"",""reverse_holo""]",multiple,name_signature=raichu; attack_signature=electrical grounding | thunder; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719469,027,23382,"[25215,25216]","[""normal"",""reverse_holo""]",multiple,name_signature=sandshrew; attack_signature=sand screen | scratch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719470,028,23383,"[25217,25218]","[""normal"",""reverse_holo""]",multiple,name_signature=sandslash; attack_signature=rumble | spike rend; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719471,029,23384,"[25219,25220]","[""normal"",""reverse_holo""]",multiple,name_signature=nidoran f; attack_signature=poison horn; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719472,030,23385,"[25221,25222]","[""normal"",""reverse_holo""]",multiple,name_signature=nidorina; attack_signature=fetch family | sharp fang; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719473,031,23386,"[25223,25224]","[""normal"",""reverse_holo""]",multiple,name_signature=nidoqueen; attack_signature=queen press | lunge out; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719474,032,23387,"[25225,25226]","[""normal"",""reverse_holo""]",multiple,name_signature=nidoran m; attack_signature=horn attack; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719475,033,23388,"[25227,25228]","[""normal"",""reverse_holo""]",multiple,name_signature=nidorino; attack_signature=sharp fang | superpowered horns; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719477,035,23390,"[25231,25232]","[""normal"",""reverse_holo""]",multiple,name_signature=clefairy; attack_signature=moon viewing invitation | smack; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719478,036,23391,"[25233,25234]","[""normal"",""reverse_holo""]",multiple,name_signature=clefable; attack_signature=follow me | more moon; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719479,037,23392,"[25235,25236]","[""normal"",""reverse_holo""]",multiple,name_signature=vulpix; attack_signature=super singe; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719481,039,23394,"[25238,25239]","[""normal"",""reverse_holo""]",multiple,name_signature=jigglypuff; attack_signature=lead | stompy stomp; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719483,041,23396,"[25241,25242]","[""normal"",""reverse_holo""]",multiple,name_signature=zubat; attack_signature=revealing echo | bite; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719484,042,23397,"[25243,25244]","[""normal"",""reverse_holo""]",multiple,name_signature=golbat; attack_signature=skill dive; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719485,043,23398,"[25245,25246]","[""normal"",""reverse_holo""]",multiple,name_signature=oddish; attack_signature=razor leaf; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719486,044,23399,"[25247,25248]","[""normal"",""reverse_holo""]",multiple,name_signature=gloom; attack_signature=semi blooming energy | drool; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719487,045,23400,"[25249,25250]","[""holo"",""reverse_holo""]",multiple,name_signature=vileplume; attack_signature=fully blooming energy | solar beam; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719488,046,23401,"[25251,25252]","[""normal"",""reverse_holo""]",multiple,name_signature=paras; attack_signature=stampede | spore ball; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719489,047,23402,"[25253,25254]","[""normal"",""reverse_holo""]",multiple,name_signature=parasect; attack_signature=spread filaments | claw slash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719490,048,23403,"[25255,25256]","[""normal"",""reverse_holo""]",multiple,name_signature=venonat; attack_signature=gnaw | beam; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719491,049,23404,"[25257,25258]","[""normal"",""reverse_holo""]",multiple,name_signature=venomoth; attack_signature=perplexing powder | speed wing; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719492,050,23405,"[25259,25260]","[""normal"",""reverse_holo""]",multiple,name_signature=diglett; attack_signature=headbutt bounce | mud slap; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719493,051,23406,"[25261,25262]","[""normal"",""reverse_holo""]",multiple,name_signature=dugtrio; attack_signature=headbutt bounce | mud bomb; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719494,052,23407,"[25263,25264]","[""normal"",""reverse_holo""]",multiple,name_signature=meowth; attack_signature=come here right meow | dig claws; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719495,053,23408,"[25265,25266]","[""normal"",""reverse_holo""]",multiple,name_signature=persian; attack_signature=rocket call | slash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719497,055,23410,"[25269,25270]","[""normal"",""reverse_holo""]",multiple,name_signature=golduck; attack_signature=aquatic rescue | super splash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719498,056,23411,"[25271,25272]","[""normal"",""reverse_holo""]",multiple,name_signature=mankey; attack_signature=thrash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719499,057,23412,"[25273,25274]","[""normal"",""reverse_holo""]",multiple,name_signature=primeape; attack_signature=rant and rave | raging smash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719500,058,23413,"[25275,25276]","[""normal"",""reverse_holo""]",multiple,name_signature=growlithe; attack_signature=vaporize; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719501,059,23414,"[25277,25278]","[""normal"",""reverse_holo""]",multiple,name_signature=arcanine; attack_signature=torrid torrent | dynamite fang; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719502,060,23415,"[25279,25280]","[""normal"",""reverse_holo""]",multiple,name_signature=poliwag; attack_signature=bubble; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719504,062,23417,"[25283,25284]","[""normal"",""reverse_holo""]",multiple,name_signature=poliwrath; attack_signature=bubble beam | heroic punch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719505,063,23418,"[25285,25286]","[""normal"",""reverse_holo""]",multiple,name_signature=abra; attack_signature=psyshot; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719506,064,23419,"[25287,25288]","[""normal"",""reverse_holo""]",multiple,name_signature=kadabra; attack_signature=teleportation attack; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719508,066,23421,"[25290,25291]","[""normal"",""reverse_holo""]",multiple,name_signature=machop; attack_signature=mountain mashing | punch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719510,068,23423,"[25294,25295]","[""holo"",""reverse_holo""]",multiple,name_signature=machamp; attack_signature=guts | mountain chopping; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719511,069,23424,"[25296,25297]","[""normal"",""reverse_holo""]",multiple,name_signature=bellsprout; attack_signature=cut | bind down; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719512,070,23425,"[25298,25299]","[""normal"",""reverse_holo""]",multiple,name_signature=weepinbell; attack_signature=cut | spray fluid; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719513,071,23426,"[25300,25301]","[""normal"",""reverse_holo""]",multiple,name_signature=victreebel; attack_signature=spit up | slow acting acid; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719514,072,23427,"[25302,25303]","[""normal"",""reverse_holo""]",multiple,name_signature=tentacool; attack_signature=tingle | watering; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719515,073,23428,"[25304,25305]","[""normal"",""reverse_holo""]",multiple,name_signature=tentacruel; attack_signature=poisonous whip | tentacular panic; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719516,074,23429,"[25306,25307]","[""normal"",""reverse_holo""]",multiple,name_signature=geodude; attack_signature=stiffen | knuckle punch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719517,075,23430,"[25308,25309]","[""normal"",""reverse_holo""]",multiple,name_signature=graveler; attack_signature=rock cannon | heavy impact; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719519,077,23432,"[25311,25312]","[""normal"",""reverse_holo""]",multiple,name_signature=ponyta; attack_signature=collect | flop; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719520,078,23433,"[25313,25314]","[""normal"",""reverse_holo""]",multiple,name_signature=rapidash; attack_signature=singe | mach turn; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719521,079,23434,"[25315,25316]","[""normal"",""reverse_holo""]",multiple,name_signature=slowpoke; attack_signature=sea bathing | headbutt; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719522,080,23435,"[25317,25318]","[""normal"",""reverse_holo""]",multiple,name_signature=slowbro; attack_signature=big yawn | laid back tackle; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719523,081,23436,"[25319,25320]","[""normal"",""reverse_holo""]",multiple,name_signature=magnemite; attack_signature=tiny charge | big explosion; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719524,082,23437,"[25321,25322]","[""normal"",""reverse_holo""]",multiple,name_signature=magneton; attack_signature=junk magnet | head bolt; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719525,083,23438,"[25323,25324]","[""normal"",""reverse_holo""]",multiple,name_signature=farfetch d; attack_signature=package deal | leek clobber; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719526,084,23439,"[25325,25326]","[""normal"",""reverse_holo""]",multiple,name_signature=doduo; attack_signature=reckless charge; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719527,085,23440,"[25327,25328]","[""holo"",""reverse_holo""]",multiple,name_signature=dodrio; attack_signature=zooming draw | ballistic beak; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719528,086,23441,"[25329,25330]","[""normal"",""reverse_holo""]",multiple,name_signature=seel; attack_signature=chilly; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719529,087,23442,"[25331,25332]","[""normal"",""reverse_holo""]",multiple,name_signature=dewgong; attack_signature=dual splash | aurora beam; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719530,088,23443,"[25333,25334]","[""normal"",""reverse_holo""]",multiple,name_signature=grimer; attack_signature=gummy press; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719531,089,23444,"[25335,25336]","[""normal"",""reverse_holo""]",multiple,name_signature=muk; attack_signature=sticky jail | sludge bomb; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719543,090,23445,"[25337,25338]","[""normal"",""reverse_holo""]",multiple,name_signature=shellder; attack_signature=shell press; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719544,091,23446,"[25339,25340]","[""normal"",""reverse_holo""]",multiple,name_signature=cloyster; attack_signature=protect charge; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719545,092,23447,"[25341,25342]","[""normal"",""reverse_holo""]",multiple,name_signature=gastly; attack_signature=suffocating gas; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719546,093,23448,"[25343,25344]","[""normal"",""reverse_holo""]",multiple,name_signature=haunter; attack_signature=spirit return | mumble; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719547,094,23449,"[25345,25346]","[""holo"",""reverse_holo""]",multiple,name_signature=gengar; attack_signature=poltergeist | hollow dive; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719548,095,23450,"[25347,25348]","[""normal"",""reverse_holo""]",multiple,name_signature=onix; attack_signature=thumpalanche | heavy impact; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719549,096,23451,"[25349,25350]","[""normal"",""reverse_holo""]",multiple,name_signature=drowzee; attack_signature=zen headbutt; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719550,097,23452,"[25351,25352]","[""normal"",""reverse_holo""]",multiple,name_signature=hypno; attack_signature=here for hypnosis | super psy bolt; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719551,098,23453,"[25353,25354]","[""normal"",""reverse_holo""]",multiple,name_signature=krabby; attack_signature=salt water | crabhammer; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719552,099,23454,"[25355,25356]","[""normal"",""reverse_holo""]",multiple,name_signature=kingler; attack_signature=hammer arm | guillotine; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719553,100,23455,"[25357,25358]","[""normal"",""reverse_holo""]",multiple,name_signature=voltorb; attack_signature=tumbling attack; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719554,101,23456,"[25359,25360]","[""holo"",""reverse_holo""]",multiple,name_signature=electrode; attack_signature=bang boom chain | electro ball; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719555,102,23457,"[25361,25362]","[""normal"",""reverse_holo""]",multiple,name_signature=exeggcute; attack_signature=ball roll; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719556,103,23458,"[25363,25364]","[""normal"",""reverse_holo""]",multiple,name_signature=exeggutor; attack_signature=psychic | hammer in; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719557,104,23459,"[25365,25366]","[""normal"",""reverse_holo""]",multiple,name_signature=cubone; attack_signature=cheering bone | hit twice; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719558,105,23460,"[25367,25368]","[""holo"",""reverse_holo""]",multiple,name_signature=marowak; attack_signature=bone throw | boundless power; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719559,106,23461,"[25369,25370]","[""normal"",""reverse_holo""]",multiple,name_signature=hitmonlee; attack_signature=twister kick | low kick; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719560,107,23462,"[25371,25372]","[""normal"",""reverse_holo""]",multiple,name_signature=hitmonchan; attack_signature=counterattack | excited punch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719561,108,23463,"[25373,25374]","[""normal"",""reverse_holo""]",multiple,name_signature=lickitung; attack_signature=tongue tied; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719562,109,23464,"[25375,25376]","[""normal"",""reverse_holo""]",multiple,name_signature=koffing; attack_signature=suspicious gas; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719563,110,23465,"[25377,25378]","[""holo"",""reverse_holo""]",multiple,name_signature=weezing; attack_signature=let s have a blast | spinning fumes; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719564,111,23466,"[25379,25380]","[""normal"",""reverse_holo""]",multiple,name_signature=rhyhorn; attack_signature=push down | boulder crush; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719565,112,23467,"[25381,25382]","[""normal"",""reverse_holo""]",multiple,name_signature=rhydon; attack_signature=wrack down | charismatic drill; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719566,113,23468,"[25383,25384]","[""holo"",""reverse_holo""]",multiple,name_signature=chansey; attack_signature=lucky bonus | gentle slap; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719569,116,23471,"[25388,25389]","[""normal"",""reverse_holo""]",multiple,name_signature=horsea; attack_signature=rain splash | sharp fin; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719570,117,23472,"[25390,25391]","[""normal"",""reverse_holo""]",multiple,name_signature=seadra; attack_signature=blinding ink; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719571,118,23473,"[25392,25393]","[""normal"",""reverse_holo""]",multiple,name_signature=goldeen; attack_signature=triple strike | sprinkle water; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719572,119,23474,"[25394,25395]","[""normal"",""reverse_holo""]",multiple,name_signature=seaking; attack_signature=swim freely | aqua horn; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719573,120,23475,"[25396,25397]","[""normal"",""reverse_holo""]",multiple,name_signature=staryu; attack_signature=swift; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719574,121,23476,"[25398,25399]","[""holo"",""reverse_holo""]",multiple,name_signature=starmie; attack_signature=mysterious comet | speed attack; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,MEDIUM
719576,123,23478,"[25402,25403]","[""normal"",""reverse_holo""]",multiple,name_signature=scyther; attack_signature=helpful slash | slicing blade; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719578,125,23480,"[25405,25406]","[""normal"",""reverse_holo""]",multiple,name_signature=electabuzz; attack_signature=electro combo | light punch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719579,126,23481,"[25407,25408]","[""normal"",""reverse_holo""]",multiple,name_signature=magmar; attack_signature=live coal | flare combo; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719580,127,23482,"[25409,25410]","[""normal"",""reverse_holo""]",multiple,name_signature=pinsir; attack_signature=vise grip | reckless throw; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719581,128,23483,"[25411,25412]","[""normal"",""reverse_holo""]",multiple,name_signature=tauros; attack_signature=gather the crew | rage; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
719582,129,23484,"[25413,25414]","[""normal"",""reverse_holo""]",multiple,name_signature=magikarp; attack_signature=splashy splash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,HIGH
