idProduct,idMetacard,product_name,matched_collector_number,matched_canonical_id,matched_card_name,numbered_identity_status,finish_scope,compatible_finishes,finish_mapping_status,mapping_status,mapping_confidence,mapping_method,mapping_evidence,notes,authoritative_mapping_would_apply,candidate_numbers,available_finishes
719442,421079,Bulbasaur [Leech Seed | 151],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""001"",""166""]",[]
719444,421081,Ivysaur [Leech Seed | Vine Whip | 151],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""002"",""167""]",[]
719445,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""003"",""182"",""198""]",[]
719446,421083,Charmander [Blazing Destruction | Steady Firebreathing],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""004"",""168""]",[]
719447,421084,Charmeleon [Combustion | Fire Blast],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""005"",""169""]",[]
719448,421085,Charizard ex [Brave Wing | Explosive Vortex],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""006"",""183"",""199""]",[]
719449,421086,Squirtle [Withdraw | Skull Bash],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""007"",""170""]",[]
719450,421087,Wartortle [Free Diving | Spinning Attack],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""008"",""171""]",[]
719451,421088,Blastoise ex [Solid Shell | Twin Cannons],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""009"",""184"",""200""]",[]
719452,421089,Caterpie [Leaf Munch],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False,"[""010"",""172""]",[]
