idProduct,matched_collector_number,internal_available_finishes,Cardmarket_base_price_metrics,Cardmarket_foil_price_metrics,finish_scope,compatible_finishes,finish_evidence,finish_confidence
719442,,[],True,True,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719444,,[],True,True,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719445,,[],True,False,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719446,,[],True,True,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719447,,[],True,True,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719448,,[],True,False,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719449,,[],True,True,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719450,,[],True,True,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719451,,[],True,False,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719452,,[],True,True,unknown,[],No deterministic Cardmarket-to-internal finish relationship established.,LOW
719453,011,"[""normal"",""reverse_holo""]",True,True,multiple,"[""normal"",""reverse_holo""]",Cardmarket Price Guide exposes base and foil metric families under one idProduct; internal finishes are listed without assigning numeric prices.,MEDIUM
719454,012,"[""normal"",""reverse_holo""]",True,True,multiple,"[""normal"",""reverse_holo""]",Cardmarket Price Guide exposes base and foil metric families under one idProduct; internal finishes are listed without assigning numeric prices.,MEDIUM
719455,013,"[""normal"",""reverse_holo""]",True,True,multiple,"[""normal"",""reverse_holo""]",Cardmarket Price Guide exposes base and foil metric families under one idProduct; internal finishes are listed without assigning numeric prices.,MEDIUM
719456,014,"[""normal"",""reverse_holo""]",True,True,multiple,"[""normal"",""reverse_holo""]",Cardmarket Price Guide exposes base and foil metric families under one idProduct; internal finishes are listed without assigning numeric prices.,MEDIUM
719457,015,"[""holo"",""reverse_holo""]",True,True,multiple,"[""holo"",""reverse_holo""]",Cardmarket Price Guide exposes base and foil metric families under one idProduct; internal finishes are listed without assigning numeric prices.,MEDIUM
