idProduct,idMetacard,product_name,candidate_collector_number_1,candidate_card_1,candidate_finish_scope_1,candidate_collector_number_2,candidate_card_2,candidate_finish_scope_2,candidate_collector_number_3,candidate_card_3,candidate_finish_scope_3,reason,missing_evidence,recommended_review,approved
719442,421079,Bulbasaur [Leech Seed | 151],001,Bulbasaur,"normal,reverse_holo",166,Bulbasaur,holo,,,,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719444,421081,Ivysaur [Leech Seed | Vine Whip | 151],002,Ivysaur,"normal,reverse_holo",167,Ivysaur,holo,,,,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719445,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],003,Venusaur ex,holo,182,Venusaur ex,holo,198,Venusaur ex,holo,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719446,421083,Charmander [Blazing Destruction | Steady Firebreathing],004,Charmander,"holo,normal,reverse_holo",168,Charmander,holo,,,,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719447,421084,Charmeleon [Combustion | Fire Blast],005,Charmeleon,"holo,normal,reverse_holo",169,Charmeleon,holo,,,,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719448,421085,Charizard ex [Brave Wing | Explosive Vortex],006,Charizard ex,holo,183,Charizard ex,holo,199,Charizard ex,holo,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719449,421086,Squirtle [Withdraw | Skull Bash],007,Squirtle,"normal,reverse_holo",170,Squirtle,holo,,,,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719450,421087,Wartortle [Free Diving | Spinning Attack],008,Wartortle,"normal,reverse_holo",171,Wartortle,holo,,,,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719451,421088,Blastoise ex [Solid Shell | Twin Cannons],009,Blastoise ex,holo,184,Blastoise ex,holo,200,Blastoise ex,holo,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719452,421089,Caterpie [Leaf Munch],010,Caterpie,"normal,reverse_holo",172,Caterpie,holo,,,,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719466,421103,Arbok ex [Bind Down | Menacing Fangs],024,Arbok ex,holo,185,Arbok ex,holo,,,,name_signature=arbok ex; attack_signature=bind down | menacing fangs; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719467,421104,Pikachu [Charge | Pika Punch],025,Pikachu,"normal,reverse_holo",173,Pikachu,holo,,,,name_signature=pikachu; attack_signature=charge | pika punch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719476,421113,Nidoking [Enthusiastic King | Venom Impact],034,Nidoking,"holo,reverse_holo",174,Nidoking,holo,,,,name_signature=nidoking; attack_signature=enthusiastic king | venom impact; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
