idProduct,collector_number,reverse_supported_internally,reverse_filter_present,normal_and_reverse_same_product,reverse_separate_product,unknown,aggregate_changes_when_filtered,offer_list_changes_when_filtered,conclusion,confidence,evidence
719453,011,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Metapod-V1-MEW011
719454,012,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Butterfree-V1-MEW012
719455,013,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Weedle-V1-MEW013
719456,014,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Kakuna-V1-MEW014
719458,016,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgey-V1-MEW016
719459,017,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgeotto-V1-MEW017
719457,015,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Beedrill-V1-MEW015
719468,026,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Raichu-V1-MEW026
719487,045,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Vileplume-V1-MEW045
719510,068,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Machamp-V1-MEW068
719662,206,False,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Switch-V1-MEW206
719663,207,False,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Basic-Energy-V1-MEW207
719460,018,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgeot-V1-MEW018
719461,019,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Rattata-V1-MEW019
719462,020,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Raticate-V1-MEW020
719463,021,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Spearow-V1-MEW021
719464,022,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Fearow-V1-MEW022
719465,023,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Ekans-V1-MEW023
719469,027,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Sandshrew-V1-MEW027
719470,028,True,UNKNOWN,UNKNOWN,UNKNOWN,True,UNKNOWN,UNKNOWN,BLOCKED,LOW,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Sandslash-V1-MEW028
