idProduct,canonical_id,collector_number,metric_family,previous_status,new_status,physical_card_id,physical_finish,pricing_eligible,rule_group,evidence,confidence,reason
719453,23366,011,base,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719453,23366,011,foil,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719454,23367,012,base,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719454,23367,012,foil,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719455,23368,013,base,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719455,23368,013,foil,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719456,23369,014,base,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719456,23369,014,foil,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719457,23370,015,base,AMBIGUOUS,AMBIGUOUS,,,False,holo_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719457,23370,015,foil,AMBIGUOUS,AMBIGUOUS,,,False,holo_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719458,23371,016,base,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719458,23371,016,foil,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
719459,23372,017,base,AMBIGUOUS,AMBIGUOUS,,,False,normal_reverse_holo,Source facts and sampled Cardmarket behavior do not demonstrate metric exclusivity for this physical finish; no global rule promoted this relationship to EXACT. Product-specific evidence status: BLOCKED.,LOW,metric exclusivity not demonstrated
