canonical_id,game,set,collector_number,card_name,rarity,category,artist,image_status,metadata_status,physical_printing_count
23356,pokemon,mew,001,Bulbasaur,Common,Pokemon,Yuu Nishida,resolved,complete,2
23357,pokemon,mew,002,Ivysaur,Uncommon,Pokemon,Yuu Nishida,resolved,complete,2
23358,pokemon,mew,003,Venusaur ex,Double rare,Pokemon,5ban Graphics,resolved,complete,1
23359,pokemon,mew,004,Charmander,Common,Pokemon,GIDORA,resolved,complete,3
23360,pokemon,mew,005,Charmeleon,Uncommon,Pokemon,GIDORA,resolved,complete,3
23361,pokemon,mew,006,Charizard ex,Double rare,Pokemon,PLANETA Mochizuki,resolved,complete,1
23362,pokemon,mew,007,Squirtle,Common,Pokemon,kantaro,resolved,complete,2
23363,pokemon,mew,008,Wartortle,Uncommon,Pokemon,kantaro,resolved,complete,2
23364,pokemon,mew,009,Blastoise ex,Double rare,Pokemon,PLANETA Yamashita,resolved,complete,1
23365,pokemon,mew,010,Caterpie,Common,Pokemon,Tika Matsuno,resolved,complete,2
23366,pokemon,mew,011,Metapod,Common,Pokemon,Tika Matsuno,resolved,complete,2
23367,pokemon,mew,012,Butterfree,Uncommon,Pokemon,Tika Matsuno,resolved,complete,2
23368,pokemon,mew,013,Weedle,Common,Pokemon,nisimono,resolved,complete,2
23369,pokemon,mew,014,Kakuna,Common,Pokemon,nisimono,resolved,complete,2
23370,pokemon,mew,015,Beedrill,Rare,Pokemon,nisimono,resolved,complete,2
23371,pokemon,mew,016,Pidgey,Common,Pokemon,Oswaldo KATO,resolved,complete,2
23372,pokemon,mew,017,Pidgeotto,Common,Pokemon,Oswaldo KATO,resolved,complete,2
23373,pokemon,mew,018,Pidgeot,Uncommon,Pokemon,Oswaldo KATO,resolved,complete,2
23374,pokemon,mew,019,Rattata,Common,Pokemon,sowsow,resolved,complete,2
23375,pokemon,mew,020,Raticate,Uncommon,Pokemon,sowsow,resolved,complete,2
23376,pokemon,mew,021,Spearow,Common,Pokemon,Gemi,resolved,complete,2
23377,pokemon,mew,022,Fearow,Uncommon,Pokemon,Gemi,resolved,complete,2
23378,pokemon,mew,023,Ekans,Common,Pokemon,Kedamahadaitai Yawarakai,resolved,complete,2
23379,pokemon,mew,024,Arbok ex,Double rare,Pokemon,Eske Yoshinob,resolved,complete,1
23380,pokemon,mew,025,Pikachu,Common,Pokemon,Naoyo Kimura,resolved,complete,2
23381,pokemon,mew,026,Raichu,Rare,Pokemon,Naoyo Kimura,resolved,complete,2
23382,pokemon,mew,027,Sandshrew,Common,Pokemon,kodama,resolved,complete,2
23383,pokemon,mew,028,Sandslash,Uncommon,Pokemon,kodama,resolved,complete,2
23384,pokemon,mew,029,Nidoran♀,Common,Pokemon,Teeziro,resolved,complete,2
23385,pokemon,mew,030,Nidorina,Uncommon,Pokemon,Teeziro,resolved,complete,2
23386,pokemon,mew,031,Nidoqueen,Uncommon,Pokemon,Teeziro,resolved,complete,2
23387,pokemon,mew,032,Nidoran♂,Common,Pokemon,Shiburingaru,resolved,complete,2
23388,pokemon,mew,033,Nidorino,Uncommon,Pokemon,Shiburingaru,resolved,complete,2
23389,pokemon,mew,034,Nidoking,Rare,Pokemon,Shiburingaru,resolved,complete,2
23390,pokemon,mew,035,Clefairy,Common,Pokemon,ryoma uratsuka,resolved,complete,2
23391,pokemon,mew,036,Clefable,Uncommon,Pokemon,ryoma uratsuka,resolved,complete,2
23392,pokemon,mew,037,Vulpix,Common,Pokemon,kawayoo,resolved,complete,2
23393,pokemon,mew,038,Ninetales ex,Double rare,Pokemon,kawayoo,resolved,complete,1
23394,pokemon,mew,039,Jigglypuff,Common,Pokemon,saino misaki,resolved,complete,2
