canonical_id,physical_card_id,collector_number,card_name,finish,treatment,variant_status,evidence,source
23356,25165,001,Bulbasaur,normal,,CONFIRMED,"Cardmarket candidate ids=733596,720365; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23356,25166,001,Bulbasaur,reverse_holo,,CONFIRMED,"Cardmarket candidate ids=733596,794908; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23357,25167,002,Ivysaur,normal,,CONFIRMED,Cardmarket candidate ids=733597; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23357,25168,002,Ivysaur,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733597; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23358,25169,003,Venusaur ex,holo,,CONFIRMED,Cardmarket candidate ids=733598; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23359,25171,004,Charmander,holo,,CONFIRMED,Cardmarket candidate ids=791827; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23359,25170,004,Charmander,normal,,CONFIRMED,"Cardmarket candidate ids=733599,720366; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23359,25172,004,Charmander,reverse_holo,,CONFIRMED,"Cardmarket candidate ids=733599,759873,794909; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23360,25174,005,Charmeleon,holo,,CONFIRMED,Cardmarket candidate ids=791828; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23360,25173,005,Charmeleon,normal,,CONFIRMED,Cardmarket candidate ids=733600; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23360,25175,005,Charmeleon,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733600; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23361,25176,006,Charizard ex,holo,,CONFIRMED,Cardmarket candidate ids=733601; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23362,25177,007,Squirtle,normal,,CONFIRMED,"Cardmarket candidate ids=733602,721198; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23362,25178,007,Squirtle,reverse_holo,,CONFIRMED,"Cardmarket candidate ids=733602,794910; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23363,25179,008,Wartortle,normal,,CONFIRMED,Cardmarket candidate ids=733603; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23363,25180,008,Wartortle,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733603; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23364,25181,009,Blastoise ex,holo,,CONFIRMED,"Cardmarket candidate ids=733604,816812; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23365,25182,010,Caterpie,normal,,CONFIRMED,Cardmarket candidate ids=733605; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23365,25183,010,Caterpie,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733605; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23366,25184,011,Metapod,normal,,CONFIRMED,Cardmarket candidate ids=733606; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23366,25185,011,Metapod,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733606; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23367,25186,012,Butterfree,normal,,CONFIRMED,Cardmarket candidate ids=733607; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23367,25187,012,Butterfree,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733607; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
