collector_number,card_name,api_card_id,api_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,cardmarket_low,cardmarket_reverse_low,cardmarket_trend,cardmarket_reverse_trend,cardmarket_avg1,cardmarket_reverse_avg1,cardmarket_avg7,cardmarket_reverse_avg7,cardmarket_avg30,cardmarket_reverse_avg30,cardmarket_reverse_fields_present,cardmarket_reverse_low_available,tcgplayer_normal_low,tcgplayer_normal_market,tcgplayer_holo_low,tcgplayer_holo_market,tcgplayer_reverse_low,tcgplayer_reverse_market,tcgplayer_updated_at,cardmarket_updated_at,cardmarket_currency,tcgplayer_currency,identity_note
001,Bulbasaur,sv3pt5-1,EXACT,True,False,True,True,False,True,79.98,0.0,115.86,0.0,99.99,0.0,78.62,0.0,90.38,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,0.01,0.26,,,0.09,0.41,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
002,Ivysaur,sv3pt5-2,EXACT,True,False,True,True,False,True,0.02,0.02,0.1,0.35,0.11,0.31,0.11,0.3,0.11,0.38,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.04,0.27,,,0.1,0.41,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
003,Venusaur ex,sv3pt5-3,EXACT,False,True,False,False,True,False,0.7,0.0,2.54,0.0,3.9,0.0,2.54,0.0,2.23,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,,,0.55,1.5,,,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
004,Charmander,sv3pt5-4,EXACT,True,False,True,True,False,True,57.99,0.0,140.08,0.0,68.5,0.0,155.02,0.0,84.08,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,0.01,0.24,,,0.1,0.37,2026/09/01,2026/05/01,EUR,USD,set + collector number + name match
005,Charmeleon,sv3pt5-5,EXACT,True,False,True,True,False,True,0.02,0.02,0.08,0.28,0.04,0.15,0.09,0.33,0.09,0.33,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.02,0.23,,,0.1,0.37,2026/09/01,2026/05/01,EUR,USD,set + collector number + name match
006,Charizard ex,sv3pt5-6,EXACT,False,True,False,False,True,False,3.49,0.0,7.3,0.0,7.29,0.0,7.28,0.0,6.85,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,,,4.49,8.57,,,2026/09/01,2026/03/11,EUR,USD,set + collector number + name match
007,Squirtle,sv3pt5-7,EXACT,True,False,True,True,False,True,0.02,0.02,0.09,0.37,0.07,0.5,0.11,0.35,0.1,0.35,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.05,0.24,,,0.1,0.43,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
008,Wartortle,sv3pt5-8,EXACT,True,False,True,True,False,True,0.02,0.02,0.1,0.41,0.12,0.59,0.12,0.43,0.1,0.38,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.09,0.26,,,0.22,0.56,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
009,Blastoise ex,sv3pt5-9,EXACT,False,True,False,False,True,False,0.9,0.0,3.03,0.0,3.62,0.0,2.82,0.0,2.61,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,,,1.0,2.91,,,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
010,Caterpie,sv3pt5-10,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.2,0.03,0.24,0.04,0.2,0.04,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.19,,,0.08,0.31,2026/09/01,2026/03/11,EUR,USD,set + collector number + name match
011,Metapod,sv3pt5-11,EXACT,True,False,True,True,False,True,0.02,1.0,0.12,2.66,0.14,2.77,0.11,2.6,0.1,2.61,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.05,0.23,,,1.65,2.96,2026/09/01,2026/03/11,EUR,USD,set + collector number + name match
012,Butterfree,sv3pt5-12,EXACT,True,False,True,True,False,True,0.02,0.02,0.08,0.24,0.03,0.17,0.07,0.21,0.07,0.24,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.22,,,0.14,0.28,2026/09/01,2026/06/30,EUR,USD,set + collector number + name match
013,Weedle,sv3pt5-13,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.22,0.09,0.38,0.05,0.22,0.04,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.19,,,0.05,0.27,2026/09/01,2026/03/11,EUR,USD,set + collector number + name match
014,Kakuna,sv3pt5-14,EXACT,True,False,True,True,False,True,0.02,0.45,0.11,2.23,0.1,2.4,0.11,2.45,0.11,2.49,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.05,0.2,,,1.19,2.8,2026/09/01,2026/05/01,EUR,USD,set + collector number + name match
015,Beedrill,sv3pt5-15,EXACT,False,True,True,False,True,True,0.02,0.08,0.14,1.19,0.14,0.8,0.14,1.12,0.17,1.03,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,,,0.05,0.27,0.3,0.9,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
016,Pidgey,sv3pt5-16,EXACT,True,False,True,True,False,True,0.02,0.02,0.08,0.18,0.1,0.2,0.08,0.17,0.09,0.22,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.04,0.2,,,0.07,0.29,2026/09/01,2026/06/30,EUR,USD,set + collector number + name match
017,Pidgeotto,sv3pt5-17,EXACT,True,False,True,True,False,True,0.02,0.15,0.27,2.88,0.16,2.85,0.41,3.26,0.23,2.84,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.1,0.35,,,0.94,2.9,2026/09/01,2026/03/11,EUR,USD,set + collector number + name match
018,Pidgeot,sv3pt5-18,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.22,0.06,0.14,0.05,0.18,0.06,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.19,,,0.09,0.27,2026/09/01,2026/02/24,EUR,USD,set + collector number + name match
019,Rattata,sv3pt5-19,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.07,0.38,0.05,0.2,0.04,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.13,,,0.07,0.26,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
020,Raticate,sv3pt5-20,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.05,0.19,0.05,0.17,0.06,0.17,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.17,,,0.06,0.26,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
021,Spearow,sv3pt5-21,EXACT,True,False,True,True,False,True,0.02,0.75,0.05,1.74,0.07,1.05,0.06,1.53,0.06,1.69,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.14,,,0.1,1.26,2026/09/01,2026/06/20,EUR,USD,set + collector number + name match
022,Fearow,sv3pt5-22,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.12,0.04,0.09,0.06,0.14,0.06,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.18,,,0.08,0.2,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
023,Ekans,sv3pt5-23,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.21,0.05,0.3,0.05,0.22,0.05,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.14,,,0.04,0.32,2026/09/01,2026/07/01,EUR,USD,set + collector number + name match
024,Arbok ex,sv3pt5-24,EXACT,False,True,False,False,True,False,0.4,0.0,2.37,0.0,3.38,0.0,2.36,0.0,2.55,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,,,0.57,1.9,,,2026/09/01,2026/06/30,EUR,USD,set + collector number + name match
025,Pikachu,sv3pt5-25,EXACT,True,False,True,True,False,True,0.02,0.03,0.02,0.39,0.11,0.46,0.11,0.41,0.56,0.45,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.29,,,0.2,1.27,2026/09/01,2026/06/30,EUR,USD,set + collector number + name match
026,Raichu,sv3pt5-26,EXACT,False,True,True,False,True,True,0.02,0.02,0.24,1.4,0.12,0.78,0.24,1.42,0.2,1.54,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,,,0.08,0.28,0.48,1.39,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
027,Sandshrew,sv3pt5-27,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.05,0.17,0.04,0.17,0.04,0.16,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.15,,,0.1,0.27,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
028,Sandslash,sv3pt5-28,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.21,0.06,0.16,0.05,0.18,0.06,0.17,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.2,,,0.05,0.28,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
