collector_number,card_name,tcgdex_card_id,tcgdex_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,normal_product_ids,holo_product_ids,reverse_product_ids,cardmarket_variant_product_ids,updated_at,cardmarket_currency,tcgplayer_currency,identity_note
001,Bulbasaur,sv03.5-001,EXACT,True,False,True,True,False,True,[502552],[],[502552],"{""holo"":[],""normal"":[733596,720365],""reverse_holo"":[733596]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
002,Ivysaur,sv03.5-002,EXACT,True,False,True,True,False,True,[502553],[],[502553],"{""holo"":[],""normal"":[733597],""reverse_holo"":[733597]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
003,Venusaur ex,sv03.5-003,EXACT,False,True,False,False,True,False,[],[502554],[],"{""holo"":[733598],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
004,Charmander,sv03.5-004,EXACT,True,False,True,True,False,True,[502555],[],[502555],"{""holo"":[],""normal"":[733599,720366],""reverse_holo"":[733599,759873]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
005,Charmeleon,sv03.5-005,EXACT,True,False,True,True,False,True,[502557],[],[502557],"{""holo"":[],""normal"":[733600],""reverse_holo"":[733600]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
006,Charizard ex,sv03.5-006,EXACT,False,True,False,False,True,False,[],[502558],[],"{""holo"":[733601],""normal"":[],""reverse_holo"":[]}",2026-05-13T16:42:54+01:00,EUR,USD,set + collector number + name match
007,Squirtle,sv03.5-007,EXACT,True,False,True,True,False,True,[502548],[],[502548],"{""holo"":[],""normal"":[733602,721198],""reverse_holo"":[733602]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
008,Wartortle,sv03.5-008,EXACT,True,False,True,True,False,True,[502550],[],[502550],"{""holo"":[],""normal"":[733603],""reverse_holo"":[733603]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
009,Blastoise ex,sv03.5-009,EXACT,False,True,False,False,True,False,[],[502551],[],"{""holo"":[733604,816812],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
010,Caterpie,sv03.5-010,EXACT,True,False,True,True,False,True,[502559],[],[502559],"{""holo"":[],""normal"":[733605],""reverse_holo"":[733605]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
