card_id,collector_number,card_name,finish,rarity,cardmarket_direct_low_available,cardmarket_external_reverse_low_available,pokemon_tcg_api_tcgplayer_exact_finish_available,tcgdex_tcgplayer_exact_finish_available,tcgplayer_exact_finish_available,recommended_source,pricing_confidence,notes
25165,001,Bulbasaur,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25166,001,Bulbasaur,reverse_holo,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25167,002,Ivysaur,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25168,002,Ivysaur,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25169,003,Venusaur ex,holo,Double rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25170,004,Charmander,normal,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25171,004,Charmander,holo,Common,False,False,False,False,False,NULL,LOW,Cardmarket direct finish-specific Low was not demonstrated in this audit.
25172,004,Charmander,reverse_holo,Common,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25173,005,Charmeleon,normal,Uncommon,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
25174,005,Charmeleon,holo,Uncommon,False,False,False,False,False,NULL,LOW,Cardmarket direct finish-specific Low was not demonstrated in this audit.
25175,005,Charmeleon,reverse_holo,Uncommon,False,True,True,True,True,cardmarket_derived_external_reverse_low,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. reverseHoloLow is Cardmarket-derived through Pokémon TCG API; not imported and not yet adopted as dashboard primary. TCGplayer value is USD secondary reference only; never converted to EUR.
25176,006,Charizard ex,holo,Double rare,False,False,True,True,True,tcgplayer_secondary_reference,MEDIUM,Cardmarket direct finish-specific Low was not demonstrated in this audit. TCGplayer value is USD secondary reference only; never converted to EUR.
