collector_number,printed_set_number,card_name,tcgdex_name,category,pokemon_species,dex_number,rarity,rarity_group,hp,pokemon_type,stage,evolves_from,is_ex,artist,regulation_mark,abilities,attacks,weaknesses,retreat,has_normal,has_holo,has_reverse_holo,variant_confidence,official_source,metadata_sources,source_confidence,source_notes,tcgdex_id,pokemon_tcg_api_id,image
001,001,Bulbasaur,Bulbasaur,Pokemon,Bulbasaur,[1],Common,Common,70,"[""Grass""]",Basic,,0,Yuu Nishida,G,[],"[""Leech Seed""]","[{""type"":""Fire"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-001,sv3pt5-1,https://assets.tcgdex.net/en/sv/sv03.5/001
002,002,Ivysaur,Ivysaur,Pokemon,Ivysaur,[2],Uncommon,Uncommon,100,"[""Grass""]",Stage1,Bulbasaur,0,Yuu Nishida,G,[],"[""Leech Seed"",""Vine Whip""]","[{""type"":""Fire"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-002,sv3pt5-2,https://assets.tcgdex.net/en/sv/sv03.5/002
003,003,Venusaur ex,Venusaur ex,Pokemon,Venusaur,[3],Double rare,Double Rare,340,"[""Grass""]",Stage2,Ivysaur,1,5ban Graphics,G,"[""Tranquil Flower""]","[""Dangerous Toxwhip""]","[{""type"":""Fire"",""value"":""×2""}]",4,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-003,sv3pt5-3,https://assets.tcgdex.net/en/sv/sv03.5/003
004,004,Charmander,Charmander,Pokemon,Charmander,[4],Common,Common,70,"[""Fire""]",Basic,,0,GIDORA,G,[],"[""Blazing Destruction"",""Steady Firebreathing""]","[{""type"":""Water"",""value"":""×2""}]",1,1,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-004,sv3pt5-4,https://assets.tcgdex.net/en/sv/sv03.5/004
005,005,Charmeleon,Charmeleon,Pokemon,Charmeleon,[5],Uncommon,Uncommon,100,"[""Fire""]",Stage1,Charmander,0,GIDORA,G,[],"[""Combustion"",""Fire Blast""]","[{""type"":""Water"",""value"":""×2""}]",2,1,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-005,sv3pt5-5,https://assets.tcgdex.net/en/sv/sv03.5/005
006,006,Charizard ex,Charizard ex,Pokemon,Charizard,[6],Double rare,Double Rare,330,"[""Fire""]",Stage2,Charmeleon,1,PLANETA Mochizuki,G,[],"[""Brave Wing"",""Explosive Vortex""]","[{""type"":""Water"",""value"":""×2""}]",2,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-006,sv3pt5-6,https://assets.tcgdex.net/en/sv/sv03.5/006
007,007,Squirtle,Squirtle,Pokemon,Squirtle,[7],Common,Common,60,"[""Water""]",Basic,,0,kantaro,G,[],"[""Withdraw"",""Skull Bash""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-007,sv3pt5-7,https://assets.tcgdex.net/en/sv/sv03.5/007
008,008,Wartortle,Wartortle,Pokemon,Wartortle,[8],Uncommon,Uncommon,100,"[""Water""]",Stage1,Squirtle,0,kantaro,G,[],"[""Free Diving"",""Spinning Attack""]","[{""type"":""Lightning"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-008,sv3pt5-8,https://assets.tcgdex.net/en/sv/sv03.5/008
009,009,Blastoise ex,Blastoise ex,Pokemon,Blastoise,[9],Double rare,Double Rare,330,"[""Water""]",Stage2,Wartortle,1,PLANETA Yamashita,G,"[""Solid Shell""]","[""Twin Cannons""]","[{""type"":""Lightning"",""value"":""×2""}]",3,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-009,sv3pt5-9,https://assets.tcgdex.net/en/sv/sv03.5/009
010,010,Caterpie,Caterpie,Pokemon,Caterpie,[10],Common,Common,50,"[""Grass""]",Basic,,0,Tika Matsuno,G,[],"[""Leaf Munch""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-010,sv3pt5-10,https://assets.tcgdex.net/en/sv/sv03.5/010
