collector_number,card_name,rarity,finish,variant_status,variant_source,variant_confidence,variant_notes,detected_treatment,treatment_source,treatment_confidence
001,Bulbasaur,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733596,720365; local_target_ids=none; finish is separate from rarity.",stamp=set-logo,tcgdex.variants_detailed,SUPPORTED
001,Bulbasaur,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733596,794908; local_target_ids=none; finish is separate from rarity.",foil=cosmos,tcgdex.variants_detailed,SUPPORTED
001,Bulbasaur,Common,normal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=set-logo,tcgdex.variants_detailed,MEDIUM
001,Bulbasaur,Common,reverse_holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
002,Ivysaur,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733597; local_target_ids=none; finish is separate from rarity.,,,
002,Ivysaur,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733597; local_target_ids=none; finish is separate from rarity.,,,
003,Venusaur ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733598; local_target_ids=none; finish is separate from rarity.,,,
004,Charmander,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733599,720366; local_target_ids=none; finish is separate from rarity.",stamp=gamestop,tcgdex.variants_detailed,SUPPORTED
004,Charmander,Common,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=791827; local_target_ids=none; finish is separate from rarity.,foil=cosmos,tcgdex.variants_detailed,SUPPORTED
004,Charmander,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733599,759873,794909; local_target_ids=none; finish is separate from rarity.",foil=cosmos; stamp=eb-games,tcgdex.variants_detailed,SUPPORTED
004,Charmander,Common,normal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=gamestop,tcgdex.variants_detailed,MEDIUM
004,Charmander,Common,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
004,Charmander,Common,reverse_holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=eb-games,tcgdex.variants_detailed,MEDIUM
004,Charmander,Common,reverse_holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
005,Charmeleon,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733600; local_target_ids=none; finish is separate from rarity.,,,
005,Charmeleon,Uncommon,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=791828; local_target_ids=none; finish is separate from rarity.,foil=cosmos,tcgdex.variants_detailed,SUPPORTED
005,Charmeleon,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733600; local_target_ids=none; finish is separate from rarity.,,,
005,Charmeleon,Uncommon,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
006,Charizard ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733601; local_target_ids=none; finish is separate from rarity.,,,
