idMetacard,product_count,product_ids,product_names,matched_numbers,matched_names,matched_finishes,grouping_behavior,mapping_statuses,notes
215862,1,719613,Leftovers,163,Leftovers,,one_product,PROBABLE,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
224028,1,719662,Switch,206,Switch,holo,one_product,PROBABLE,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421079,2,"719442,719619",Bulbasaur [Leech Seed | 151] || Bulbasaur [Leech Seed | 151],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421081,2,"719444,719620",Ivysaur [Leech Seed | Vine Whip | 151] || Ivysaur [Leech Seed | Vine Whip | 151],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421082,3,"719445,719637,719653",Venusaur ex [Tranquil Flower | Dangerous Toxwhip] || Venusaur ex [Tranquil Flower | Dangerous Toxwhip] || Venusaur ex [Tranquil Flower | Dangerous Toxwhip],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421083,2,"719446,719621",Charmander [Blazing Destruction | Steady Firebreathing] || Charmander [Blazing Destruction | Steady Firebreathing],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421084,2,"719447,719622",Charmeleon [Combustion | Fire Blast] || Charmeleon [Combustion | Fire Blast],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421085,3,"719448,719638,719654",Charizard ex [Brave Wing | Explosive Vortex] || Charizard ex [Brave Wing | Explosive Vortex] || Charizard ex [Brave Wing | Explosive Vortex],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421086,2,"719449,719623",Squirtle [Withdraw | Skull Bash] || Squirtle [Withdraw | Skull Bash],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421087,2,"719450,719624",Wartortle [Free Diving | Spinning Attack] || Wartortle [Free Diving | Spinning Attack],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421088,3,"719451,719639,719655",Blastoise ex [Solid Shell | Twin Cannons] || Blastoise ex [Solid Shell | Twin Cannons] || Blastoise ex [Solid Shell | Twin Cannons],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421089,2,"719452,719625",Caterpie [Leaf Munch] || Caterpie [Leaf Munch],,,,multiple_products_unresolved,AMBIGUOUS,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421090,1,719453,Metapod [Tackle | Defensive Posture],011,Metapod,,one_product,PROBABLE,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
421091,1,719454,Butterfree [Whirlwind | Bye Bye Flight],012,Butterfree,,one_product,PROBABLE,"idMetacard is a Cardmarket grouping key, not a catalog card identity; duplicate names/products require finish or numbered evidence."
