product_name,cardmarket_product_id,candidates_1_to_3,reason,missing_evidence,review
Bulbasaur [Leech Seed | 151],719442,"001,166",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Ivysaur [Leech Seed | Vine Whip | 151],719444,"002,167",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Venusaur ex [Tranquil Flower | Dangerous Toxwhip],719445,"003,182,198",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Charmander [Blazing Destruction | Steady Firebreathing],719446,"004,168",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Charmeleon [Combustion | Fire Blast],719447,"005,169",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Charizard ex [Brave Wing | Explosive Vortex],719448,"006,183,199",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Squirtle [Withdraw | Skull Bash],719449,"007,170",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Wartortle [Free Diving | Spinning Attack],719450,"008,171",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Blastoise ex [Solid Shell | Twin Cannons],719451,"009,184,200",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Caterpie [Leaf Munch],719452,"010,172",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Arbok ex [Bind Down | Menacing Fangs],719466,"024,185",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Pikachu [Charge | Pika Punch],719467,"025,173",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Nidoking [Enthusiastic King | Venom Impact],719476,"034,174",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Ninetales ex [Heat Wave | Mirrored Flames],719480,"038,186",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Wigglytuff ex [Expanding Body | Friend Tackle],719482,"040,187",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Psyduck [Overthinking | Water Gun],719496,"054,175",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Poliwhirl [Wave Splash | Frog Hop],719503,"061,176",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Alakazam ex [Mind Jack | Dimensional Hand],719507,"065,188,201",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Machoke [Mountain Ramming],719509,"067,177",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Golem ex [Dynamic Roll | Rock Blaster],719518,"076,189",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Tangela [Tactful Tangling],719567,"114,178",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Kangaskhan ex [Triple Draw | Incessant Punching],719568,"115,190",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Mr. Mime [Mimic Barrier | Psypower],719575,"122,179",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Jynx ex [Heart-Stopping Kiss | Icy Wind],719577,"124,191",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Omanyte [Tentacular Return],719591,"138,180",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Zapdos ex [Voltaic Float | Multishot Lightning],719598,"145,192,202",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Dragonair [Beat | Aqua Slash],719601,"148,181",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Mew ex [Restart | Genome Hacking],719604,"151,193,205",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Erika's Invitation,719614,"160,196,203",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Giovanni's Charisma,719615,"161,197,204",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Daisy's Help,719616,"158,195",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Bill's Transfer,719617,"156,194",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Bulbasaur [Leech Seed | 151],719619,"001,166",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Ivysaur [Leech Seed | Vine Whip | 151],719620,"002,167",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Charmander [Blazing Destruction | Steady Firebreathing],719621,"004,168",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Charmeleon [Combustion | Fire Blast],719622,"005,169",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Squirtle [Withdraw | Skull Bash],719623,"007,170",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Wartortle [Free Diving | Spinning Attack],719624,"008,171",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Caterpie [Leaf Munch],719625,"010,172",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Pikachu [Charge | Pika Punch],719626,"025,173",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Nidoking [Enthusiastic King | Venom Impact],719627,"034,174",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Psyduck [Overthinking | Water Gun],719628,"054,175",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Poliwhirl [Wave Splash | Frog Hop],719629,"061,176",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Machoke [Mountain Ramming],719630,"067,177",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Tangela [Tactful Tangling],719631,"114,178",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Mr. Mime [Mimic Barrier | Psypower],719632,"122,179",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Omanyte [Tentacular Return],719633,"138,180",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Dragonair [Beat | Aqua Slash],719635,"148,181",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Venusaur ex [Tranquil Flower | Dangerous Toxwhip],719637,"003,182,198",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Charizard ex [Brave Wing | Explosive Vortex],719638,"006,183,199",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Blastoise ex [Solid Shell | Twin Cannons],719639,"009,184,200",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Arbok ex [Bind Down | Menacing Fangs],719640,"024,185",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Ninetales ex [Heat Wave | Mirrored Flames],719641,"038,186",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Wigglytuff ex [Expanding Body | Friend Tackle],719642,"040,187",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Alakazam ex [Mind Jack | Dimensional Hand],719643,"065,188,201",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Golem ex [Dynamic Roll | Rock Blaster],719644,"076,189",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Kangaskhan ex [Triple Draw | Incessant Punching],719645,"115,190",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Jynx ex [Heart-Stopping Kiss | Icy Wind],719646,"124,191",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Zapdos ex [Voltaic Float | Multishot Lightning],719647,"145,192,202",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Mew ex [Restart | Genome Hacking],719648,"151,193,205",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Erika's Invitation,719649,"160,196,203",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Giovanni's Charisma,719650,"161,197,204",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Daisy's Help,719651,"158,195",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Bill's Transfer,719652,"156,194",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Venusaur ex [Tranquil Flower | Dangerous Toxwhip],719653,"003,182,198",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Charizard ex [Brave Wing | Explosive Vortex],719654,"006,183,199",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Blastoise ex [Solid Shell | Twin Cannons],719655,"009,184,200",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Alakazam ex [Mind Jack | Dimensional Hand],719656,"065,188,201",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Zapdos ex [Voltaic Float | Multishot Lightning],719657,"145,192,202",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Mew ex [Restart | Genome Hacking],719658,"151,193,205",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Erika's Invitation,719659,"160,196,203",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Giovanni's Charisma,719660,"161,197,204",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
Mew ex [Restart | Genome Hacking],719661,"151,193,205",more than one reasonable numbered-printing candidate after name/attack matching,official-to-Cardmarket product/finish linkage or distinguishing artwork/finish field,Do not force a numbered identity or pricing mapping; require explicit evidence/manual decision.
