card_id,collector_number,card_name,finish,pokemon_tcg_api_card_id,pokemon_tcg_api_variant,api_low,api_market,api_mid,api_high,api_updated_at,tcgdex_card_id,tcgdex_variant,tcgdex_low,tcgdex_market,tcgdex_updated_at,comparison_status,difference_low,difference_market,identity_status,finish_status,eligible,reason
25165,001,Bulbasaur,normal,sv3pt5-1,normal,0.01,0.26,0.25,18.42,2026/09/01,sv03.5-001,normal,0.01,0.26,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25166,001,Bulbasaur,reverse_holo,sv3pt5-1,reverseHolofoil,0.09,0.41,0.4,41.93,2026/09/01,sv03.5-001,reverse-holofoil,0.09,0.39,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.04878048780487796,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25167,002,Ivysaur,normal,sv3pt5-2,normal,0.04,0.27,0.28,19.98,2026/09/01,sv03.5-002,normal,0.04,0.26,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.03703703703703707,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25168,002,Ivysaur,reverse_holo,sv3pt5-2,reverseHolofoil,0.1,0.41,0.44,19.14,2026/09/01,sv03.5-002,reverse-holofoil,0.1,0.41,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25169,003,Venusaur ex,holo,sv3pt5-3,holofoil,0.55,1.5,1.43,17.5,2026/09/01,sv03.5-003,holofoil,0.55,1.5,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25171,004,Charmander,holo,sv3pt5-4,holofoil,,,,,2026/09/01,sv03.5-004,,,,2026-08-14T19:11:56+01:00,IDENTITY_CONFLICT,,,EXACT,CONFLICT,False,TCGdex finish variant is not exact; API finish variant missing
25170,004,Charmander,normal,sv3pt5-4,normal,0.01,0.24,0.25,25.0,2026/09/01,sv03.5-004,normal,0.01,0.23,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.04166666666666659,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25172,004,Charmander,reverse_holo,sv3pt5-4,reverseHolofoil,0.1,0.37,0.42,19.97,2026/09/01,sv03.5-004,reverse-holofoil,0.1,0.38,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.026315789473684233,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25174,005,Charmeleon,holo,sv3pt5-5,holofoil,,,,,2026/09/01,sv03.5-005,,,,2026-08-14T19:11:56+01:00,IDENTITY_CONFLICT,,,EXACT,CONFLICT,False,TCGdex finish variant is not exact; API finish variant missing
25173,005,Charmeleon,normal,sv3pt5-5,normal,0.02,0.23,0.25,19.98,2026/09/01,sv03.5-005,normal,0.02,0.24,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.04166666666666659,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25175,005,Charmeleon,reverse_holo,sv3pt5-5,reverseHolofoil,0.1,0.37,0.4,18.82,2026/09/01,sv03.5-005,reverse-holofoil,0.1,0.37,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25176,006,Charizard ex,holo,sv3pt5-6,holofoil,4.49,8.57,9.4,112.99,2026/09/01,sv03.5-006,holofoil,4.49,8.57,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25177,007,Squirtle,normal,sv3pt5-7,normal,0.05,0.24,0.25,18.94,2026/09/01,sv03.5-007,normal,0.05,0.24,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25178,007,Squirtle,reverse_holo,sv3pt5-7,reverseHolofoil,0.1,0.43,0.45,96.95,2026/09/01,sv03.5-007,reverse-holofoil,0.1,0.43,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25179,008,Wartortle,normal,sv3pt5-8,normal,0.09,0.26,0.29,25.0,2026/09/01,sv03.5-008,normal,0.08,0.25,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.11111111111111106,0.03846153846153849,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25180,008,Wartortle,reverse_holo,sv3pt5-8,reverseHolofoil,0.22,0.56,0.64,40.0,2026/09/01,sv03.5-008,reverse-holofoil,0.22,0.54,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.03571428571428574,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25181,009,Blastoise ex,holo,sv3pt5-9,holofoil,1.0,2.91,2.7,55.55,2026/09/01,sv03.5-009,holofoil,1.0,3.02,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.036423841059602606,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25182,010,Caterpie,normal,sv3pt5-10,normal,0.01,0.19,0.19,19.98,2026/09/01,sv03.5-010,normal,0.01,0.2,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.050000000000000044,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25183,010,Caterpie,reverse_holo,sv3pt5-10,reverseHolofoil,0.08,0.31,0.3,20.0,2026/09/01,sv03.5-010,reverse-holofoil,0.08,0.31,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25184,011,Metapod,normal,sv3pt5-11,normal,0.05,0.23,0.24,19.98,2026/09/01,sv03.5-011,normal,0.05,0.23,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25185,011,Metapod,reverse_holo,sv3pt5-11,reverseHolofoil,1.65,2.96,3.08,96.95,2026/09/01,sv03.5-011,reverse-holofoil,1.65,2.96,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25186,012,Butterfree,normal,sv3pt5-12,normal,0.01,0.22,0.21,990.0,2026/09/01,sv03.5-012,normal,0.01,0.21,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.0454545454545455,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25187,012,Butterfree,reverse_holo,sv3pt5-12,reverseHolofoil,0.14,0.28,0.29,19.98,2026/09/01,sv03.5-012,reverse-holofoil,0.14,0.28,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25188,013,Weedle,normal,sv3pt5-13,normal,0.01,0.19,0.19,19.98,2026/09/01,sv03.5-013,normal,0.01,0.2,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.050000000000000044,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25189,013,Weedle,reverse_holo,sv3pt5-13,reverseHolofoil,0.05,0.27,0.28,15.23,2026/09/01,sv03.5-013,reverse-holofoil,0.05,0.27,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25190,014,Kakuna,normal,sv3pt5-14,normal,0.05,0.2,0.22,20.0,2026/09/01,sv03.5-014,normal,0.05,0.2,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25191,014,Kakuna,reverse_holo,sv3pt5-14,reverseHolofoil,1.19,2.8,3.03,18.2,2026/09/01,sv03.5-014,reverse-holofoil,1.19,2.8,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25192,015,Beedrill,holo,sv3pt5-15,holofoil,0.05,0.27,0.27,31.23,2026/09/01,sv03.5-015,holofoil,0.05,0.27,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
