card_id,collector_number,card_name,finish,source_provider,market,source_variant,low,mid,high,market_price,direct_low,currency,source_updated_at,observed_at,snapshot_key,pricing_status,pricing_eligible,would_insert,would_update,reason
25165,001,Bulbasaur,normal,pokemon_tcg_api,0.26,normal,0.01,0.25,18.42,0.26,0.15,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25166,001,Bulbasaur,reverse_holo,pokemon_tcg_api,0.41,reverseHolofoil,0.09,0.4,41.93,0.41,0.39,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25167,002,Ivysaur,normal,pokemon_tcg_api,0.27,normal,0.04,0.28,19.98,0.27,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25168,002,Ivysaur,reverse_holo,pokemon_tcg_api,0.41,reverseHolofoil,0.1,0.44,19.14,0.41,0.47,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25169,003,Venusaur ex,holo,pokemon_tcg_api,1.5,holofoil,0.55,1.43,17.5,1.5,1.91,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25171,004,Charmander,holo,,,,,,,,,,,,,IDENTITY_CONFLICT,False,False,False,TCGdex finish variant is not exact; API finish variant missing
25170,004,Charmander,normal,pokemon_tcg_api,0.24,normal,0.01,0.25,25.0,0.24,0.24,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25172,004,Charmander,reverse_holo,pokemon_tcg_api,0.37,reverseHolofoil,0.1,0.42,19.97,0.37,0.39,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25174,005,Charmeleon,holo,,,,,,,,,,,,,IDENTITY_CONFLICT,False,False,False,TCGdex finish variant is not exact; API finish variant missing
25173,005,Charmeleon,normal,pokemon_tcg_api,0.23,normal,0.02,0.25,19.98,0.23,,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25175,005,Charmeleon,reverse_holo,pokemon_tcg_api,0.37,reverseHolofoil,0.1,0.4,18.82,0.37,0.38,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25176,006,Charizard ex,holo,pokemon_tcg_api,8.57,holofoil,4.49,9.4,112.99,8.57,7.28,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25177,007,Squirtle,normal,pokemon_tcg_api,0.24,normal,0.05,0.25,18.94,0.24,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25178,007,Squirtle,reverse_holo,pokemon_tcg_api,0.43,reverseHolofoil,0.1,0.45,96.95,0.43,,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25179,008,Wartortle,normal,pokemon_tcg_api,0.26,normal,0.09,0.29,25.0,0.26,0.22,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25180,008,Wartortle,reverse_holo,pokemon_tcg_api,0.56,reverseHolofoil,0.22,0.64,40.0,0.56,,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25181,009,Blastoise ex,holo,pokemon_tcg_api,2.91,holofoil,1.0,2.7,55.55,2.91,5.95,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25182,010,Caterpie,normal,pokemon_tcg_api,0.19,normal,0.01,0.19,19.98,0.19,0.07,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25183,010,Caterpie,reverse_holo,pokemon_tcg_api,0.31,reverseHolofoil,0.08,0.3,20.0,0.31,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25184,011,Metapod,normal,pokemon_tcg_api,0.23,normal,0.05,0.24,19.98,0.23,0.14,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25185,011,Metapod,reverse_holo,pokemon_tcg_api,2.96,reverseHolofoil,1.65,3.08,96.95,2.96,4.18,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25186,012,Butterfree,normal,pokemon_tcg_api,0.22,normal,0.01,0.21,990.0,0.22,0.08,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25187,012,Butterfree,reverse_holo,pokemon_tcg_api,0.28,reverseHolofoil,0.14,0.29,19.98,0.28,,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25188,013,Weedle,normal,pokemon_tcg_api,0.19,normal,0.01,0.19,19.98,0.19,0.07,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25189,013,Weedle,reverse_holo,pokemon_tcg_api,0.27,reverseHolofoil,0.05,0.28,15.23,0.27,0.23,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25190,014,Kakuna,normal,pokemon_tcg_api,0.2,normal,0.05,0.22,20.0,0.2,0.1,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25191,014,Kakuna,reverse_holo,pokemon_tcg_api,2.8,reverseHolofoil,1.19,3.03,18.2,2.8,4.03,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25192,015,Beedrill,holo,pokemon_tcg_api,0.27,holofoil,0.05,0.27,31.23,0.27,0.17,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25193,015,Beedrill,reverse_holo,pokemon_tcg_api,0.9,reverseHolofoil,0.3,1.12,96.95,0.9,1.09,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25194,016,Pidgey,normal,pokemon_tcg_api,0.2,normal,0.04,0.23,19.58,0.2,0.19,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25195,016,Pidgey,reverse_holo,pokemon_tcg_api,0.29,reverseHolofoil,0.07,0.31,19.52,0.29,0.3,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
