card_id,collector_number,card_name,finish,provider,market,metric,value,currency,source_updated_at,snapshot_date,provenance
25165,001,Bulbasaur,normal,pokemon_tcg_api,tcgplayer,direct_low,0.15,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""normal""}}"
25165,001,Bulbasaur,normal,pokemon_tcg_api,tcgplayer,high,18.42,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""normal""}}"
25165,001,Bulbasaur,normal,pokemon_tcg_api,tcgplayer,low,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""normal""}}"
25165,001,Bulbasaur,normal,pokemon_tcg_api,tcgplayer,market,0.26,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""normal""}}"
25165,001,Bulbasaur,normal,pokemon_tcg_api,tcgplayer,mid,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""normal""}}"
25166,001,Bulbasaur,reverse_holo,pokemon_tcg_api,tcgplayer,direct_low,0.39,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.04878048780487796,""variant"":""reverse-holofoil""}}"
25166,001,Bulbasaur,reverse_holo,pokemon_tcg_api,tcgplayer,high,41.93,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.04878048780487796,""variant"":""reverse-holofoil""}}"
25166,001,Bulbasaur,reverse_holo,pokemon_tcg_api,tcgplayer,low,0.09,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.04878048780487796,""variant"":""reverse-holofoil""}}"
25166,001,Bulbasaur,reverse_holo,pokemon_tcg_api,tcgplayer,market,0.41,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.04878048780487796,""variant"":""reverse-holofoil""}}"
25166,001,Bulbasaur,reverse_holo,pokemon_tcg_api,tcgplayer,mid,0.4,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-1"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-001"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.04878048780487796,""variant"":""reverse-holofoil""}}"
25167,002,Ivysaur,normal,pokemon_tcg_api,tcgplayer,direct_low,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.03703703703703707,""variant"":""normal""}}"
25167,002,Ivysaur,normal,pokemon_tcg_api,tcgplayer,high,19.98,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.03703703703703707,""variant"":""normal""}}"
25167,002,Ivysaur,normal,pokemon_tcg_api,tcgplayer,low,0.04,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.03703703703703707,""variant"":""normal""}}"
25167,002,Ivysaur,normal,pokemon_tcg_api,tcgplayer,market,0.27,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.03703703703703707,""variant"":""normal""}}"
25167,002,Ivysaur,normal,pokemon_tcg_api,tcgplayer,mid,0.28,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.03703703703703707,""variant"":""normal""}}"
25168,002,Ivysaur,reverse_holo,pokemon_tcg_api,tcgplayer,direct_low,0.47,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""reverse-holofoil""}}"
25168,002,Ivysaur,reverse_holo,pokemon_tcg_api,tcgplayer,high,19.14,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""reverse-holofoil""}}"
25168,002,Ivysaur,reverse_holo,pokemon_tcg_api,tcgplayer,low,0.1,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""reverse-holofoil""}}"
25168,002,Ivysaur,reverse_holo,pokemon_tcg_api,tcgplayer,market,0.41,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""reverse-holofoil""}}"
25168,002,Ivysaur,reverse_holo,pokemon_tcg_api,tcgplayer,mid,0.44,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-2"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""reverseHolofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-002"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""reverse-holofoil""}}"
25169,003,Venusaur ex,holo,pokemon_tcg_api,tcgplayer,direct_low,1.91,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-3"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""holofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-003"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""holofoil""}}"
25169,003,Venusaur ex,holo,pokemon_tcg_api,tcgplayer,high,17.5,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-3"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""holofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-003"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""holofoil""}}"
25169,003,Venusaur ex,holo,pokemon_tcg_api,tcgplayer,low,0.55,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-3"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""holofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-003"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""holofoil""}}"
25169,003,Venusaur ex,holo,pokemon_tcg_api,tcgplayer,market,1.5,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-3"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""holofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-003"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""holofoil""}}"
25169,003,Venusaur ex,holo,pokemon_tcg_api,tcgplayer,mid,1.43,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-3"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""holofoil"",""tcgdex_cross_check"":{""card_id"":""sv03.5-003"",""comparison_status"":""MATCH"",""difference_low"":0.0,""difference_market"":0.0,""variant"":""holofoil""}}"
25170,004,Charmander,normal,pokemon_tcg_api,tcgplayer,direct_low,0.24,USD,2026/09/01,2026-09-01T13:02:34+00:00,"{""market"":""tcgplayer"",""observed_at"":""2026-09-01T13:02:34+00:00"",""provider"":""pokemon_tcg_api"",""source_card_id"":""sv3pt5-4"",""source_manifest_id"":""2105d80594664a3d41a30819a82713a9d3fe55f1b8e84b4d7b486567bf0fb921"",""source_snapshot_sha256"":""3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2"",""source_variant"":""normal"",""tcgdex_cross_check"":{""card_id"":""sv03.5-004"",""comparison_status"":""MINOR_DIFFERENCE"",""difference_low"":0.0,""difference_market"":0.04166666666666659,""variant"":""normal""}}"
