card_id,collector_number,card_name,finish,comparison_status,difference_low,difference_market,api_low,tcgdex_low,api_market,tcgdex_market,api_updated_at,tcgdex_updated_at,possible_cause,review_recommendation
25166,001,Bulbasaur,reverse_holo,MINOR_DIFFERENCE,0.0,0.04878048780487796,0.09,0.09,0.41,0.39,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
25167,002,Ivysaur,normal,MINOR_DIFFERENCE,0.0,0.03703703703703707,0.04,0.04,0.27,0.26,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
25171,004,Charmander,holo,IDENTITY_CONFLICT,,,,,,,2026/09/01,2026-08-14T19:11:56+01:00,identity/finish evidence conflict,block persistence and review mapping
25170,004,Charmander,normal,MINOR_DIFFERENCE,0.0,0.04166666666666659,0.01,0.01,0.24,0.23,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
25172,004,Charmander,reverse_holo,MINOR_DIFFERENCE,0.0,0.026315789473684233,0.1,0.1,0.37,0.38,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
25174,005,Charmeleon,holo,IDENTITY_CONFLICT,,,,,,,2026/09/01,2026-08-14T19:11:56+01:00,identity/finish evidence conflict,block persistence and review mapping
25173,005,Charmeleon,normal,MINOR_DIFFERENCE,0.0,0.04166666666666659,0.02,0.02,0.23,0.24,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
25179,008,Wartortle,normal,MINOR_DIFFERENCE,0.11111111111111106,0.03846153846153849,0.09,0.08,0.26,0.25,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
25180,008,Wartortle,reverse_holo,MINOR_DIFFERENCE,0.0,0.03571428571428574,0.22,0.22,0.56,0.54,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
25181,009,Blastoise ex,holo,MINOR_DIFFERENCE,0.0,0.036423841059602606,1.0,1.0,2.91,3.02,2026/09/01,2026-09-01T12:00:20.170Z,refresh timing or source rounding,persist API authority and flag
