collection_item_id,game,card_name,card_number,language,set_code,version,promo_family,previous_status,final_candidate_status,cardmarket_id_product,cardmarket_url,resolution_rule,evidence,provenance_gap,physical_check_required,physical_check_instruction,notes
33,Magic,Frodo Baggins,812,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,737031,https://www.cardmarket.com/en/Magic/Products?idProduct=737031,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
34,Magic,"Frodo, Sauron's Bane",304,en,LTR,,,AMBIGUOUS,EXACT,701765,https://www.cardmarket.com/en/Magic/Products?idProduct=701765&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=6d08e637-c2b3-4b38-9b07-5bba1f13efc3; raw set=ltr + collector_number=304 + cardmarket_id=701765; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
35,Magic,Samwise Gamgee,327,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716026,https://www.cardmarket.com/en/Magic/Products?idProduct=716026,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
36,Magic,Samwise the Stouthearted,798,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,736847,https://www.cardmarket.com/en/Magic/Products?idProduct=736847,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
37,Magic,"Merry, Esquire of Rohan",325,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716061,https://www.cardmarket.com/en/Magic/Products?idProduct=716061,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
38,Magic,Meriadoc Brandybuck,806,en,LTR,Showcase Borderless Foil Booster Fun Surge Foil,,EXACT,EXACT,737025,https://www.cardmarket.com/en/Magic/Products?idProduct=737025,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
39,Magic,Peregrin Took,315,en,LTR,Showcase Borderless Foil Booster Fun,,EXACT,EXACT,716070,https://www.cardmarket.com/en/Magic/Products?idProduct=716070,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
40,Magic,"Pippin, Guard of the Citadel",818,en,LTR,Showcase Borderless Foil Surge Foil Booster Fun,,EXACT,EXACT,737037,https://www.cardmarket.com/en/Magic/Products?idProduct=737037,MAGIC_PRE_EXISTING_EXACT,Pre-existing collection audit status EXACT; unique stored/resolved idProduct retained. No price used for identity.,false,false,,Pre-existing exact identity retained without production changes.
41,Magic,"Aragorn, Company Leader",316,en,LTR,,,AMBIGUOUS,EXACT,717763,https://www.cardmarket.com/en/Magic/Products?idProduct=717763&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=142c3004-fe39-4ca3-bf14-f4af8b20fa80; raw set=ltr + collector_number=316 + cardmarket_id=717763; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
42,Magic,"Aragorn, the Uniter",317,en,LTR,,,AMBIGUOUS,EXACT,716022,https://www.cardmarket.com/en/Magic/Products?idProduct=716022&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,MAGIC_PRIOR_EXACT_RECOVERY,Prior provenance audit: EXACT_RECOVERED con unique idProduct. Unique Scryfall printing id=e287844c-a829-4f7f-8c4c-ab856e6815f6; raw set=ltr + collector_number=317 + cardmarket_id=716022; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,false,false,,Historical provenance issue retained; identity resolved; no approval/apply authorized.
