local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_metric,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_item_id,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
12260,magic,Frodo Baggins,812,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,61342840-4d07-41f6-8742-929f92f94c73,737031,737031,737031,Frodo Baggins,5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.1,0,,,,0.1,0.59,0.32,0.53,0.42,Low,0.1,EUR,EUR,cardmarket,737031,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737031, ""history_id"": 374}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 737031, ""stored_ids"": [737031], ""validated_stored_ids"": [737031]}",33,2,0.2,0.2,0.0
12872,magic,"Frodo, Sauron's Bane",304,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,rare,foil,Showcase,353,scryfall_oracle:8be62f5c-0ab2-4869-97a2-d8a69a3fde95,,,6d08e637-c2b3-4b38-9b07-5bba1f13efc3,701765,,701765,"Frodo, Sauron's Bane",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.08,0.49,0.2,0.43,0.6,0.2,0.8,0.95,0.63,0.59,Foil Low,0.2,EUR,EUR,cardmarket,701765,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 701765, ""history_id"": 347}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 701765, ""stored_ids"": [701765], ""validated_stored_ids"": [701765]}",34,1,0.2,,
150,magic,Samwise Gamgee,327,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,cd3ecb73-2720-4c1c-8f67-78983f16e584,716026,716026,716026,Samwise Gamgee,5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.35,1.49,1.52,1.51,1.63,0.8,2.11,3.39,1.73,1.95,Low,0.35,EUR,EUR,cardmarket,716026,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716026, ""history_id"": 356}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-1.1400000000000001,0.7651006711409397,0.2348993288590604,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716026, ""stored_ids"": [716026], ""validated_stored_ids"": [716026]}",35,1,0.35,0.35,0.0
12261,magic,Samwise the Stouthearted,798,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,fbc88c94-adf6-4699-a11e-24ebd16aac0c,736847,736847,736847,Samwise the Stouthearted,5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.02,0,,,,0.02,0.6,0.49,0.49,0.42,Low,0.02,EUR,EUR,cardmarket,736847,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 736847, ""history_id"": 375}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 736847, ""stored_ids"": [736847], ""validated_stored_ids"": [736847]}",36,1,0.02,0.02,0.0
185,magic,"Merry, Esquire of Rohan",325,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,d9d21bce-a381-4c5d-9e0f-b2cdc96a20b6,716061,716061,716061,"Merry, Esquire of Rohan",5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.1,1.01,1.18,0.92,0.85,0.3,1.91,1.48,1.77,1.67,Low,0.1,EUR,EUR,cardmarket,716061,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716061, ""history_id"": 359}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.91,0.900990099009901,0.09900990099009901,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716061, ""stored_ids"": [716061], ""validated_stored_ids"": [716061]}",37,1,0.1,0.1,0.0
12262,magic,Meriadoc Brandybuck,806,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun Surge Foil,,,,,,,,bba5e81d-fcdd-4c26-a83f-3ee48f23ac6f,737025,737025,737025,Meriadoc Brandybuck,5489,The Lord of the Rings: Tales of Middle-earth,,,exact,0.08,0,,,,0.08,0.64,0.08,0.53,0.42,Low,0.08,EUR,EUR,cardmarket,737025,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737025, ""history_id"": 376}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 737025, ""stored_ids"": [737025], ""validated_stored_ids"": [737025]}",38,1,0.08,0.08,0.0
194,magic,Peregrin Took,315,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Booster Fun,,,,,,,,fbbdd288-83ec-4be9-b55f-17771fd5ecc4,716070,716070,716070,Peregrin Took,5308,The Lord of the Rings: Tales of Middle-earth,,,exact,0.02,0.22,0.71,0.21,0.21,0.09,0.53,0.42,0.57,0.48,Low,0.02,EUR,EUR,cardmarket,716070,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716070, ""history_id"": 363}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,-0.2,0.9090909090909092,0.09090909090909091,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 716070, ""stored_ids"": [716070], ""validated_stored_ids"": [716070]}",39,1,0.02,0.02,0.0
12263,magic,"Pippin, Guard of the Citadel",818,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase Borderless Foil Surge Foil Booster Fun,,,,,,,,ccb21a75-52e2-4e59-8704-32e5193fbcd3,737037,737037,737037,"Pippin, Guard of the Citadel",5489,The Lord of the Rings: Tales of Middle-earth,,,exact,5.5,0,,,,5.5,6.56,5.9,6.88,6.19,Low,5.5,EUR,EUR,cardmarket,737037,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737037, ""history_id"": 377}",EXACT,validated scryfall/mapping id,false,false,false,0.0,0.0,0.0,1.0,0.0,0.0,1.0,OK,,,,OK,,,"{""external_provenance"": [], ""scryfall_cardmarket_id"": 737037, ""stored_ids"": [737037], ""validated_stored_ids"": [737037]}",40,1,5.5,5.5,0.0
12896,magic,"Aragorn, Company Leader",316,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,rare,foil,Showcase,72,scryfall_oracle:1b841e8f-9484-4737-bd37-dfa11bd06883,,,142c3004-fe39-4ca3-bf14-f4af8b20fa80,717763,,717763,"Aragorn, Company Leader",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.19,0.95,0.61,0.9,0.84,0.26,1.22,1.3,1.51,1.25,Foil Low,0.26,EUR,EUR,cardmarket,717763,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 717763, ""history_id"": 348}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 717763, ""stored_ids"": [717763], ""validated_stored_ids"": [717763]}",41,1,0.26,,
12898,magic,"Aragorn, the Uniter",317,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,mythic,foil,Showcase,156,scryfall_oracle:3f31c423-d45c-4c3e-b7d4-ca125be0f92c,,,e287844c-a829-4f7f-8c4c-ab856e6815f6,716022,,716022,"Aragorn, the Uniter",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,2.75,13.44,10,10.96,9.54,4.45,15.12,4.45,14.84,15.52,Foil Low,4.45,EUR,EUR,cardmarket,716022,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716022, ""history_id"": 349}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716022, ""stored_ids"": [716022], ""validated_stored_ids"": [716022]}",42,1,4.45,,
