collection_item_id,printing_id,game,card_name,set,card_number,collector_number,language,variant,finish,treatment,candidate_cardmarket_product_id,candidate_product_name,candidate_expansion,evidence,proposed_status,row_hash,approved,selected_cardmarket_product_id,manifest_id
34,12872,magic,"Frodo, Sauron's Bane",ltr,304,304,en,Showcase,foil,Showcase,701765,"Frodo, Sauron's Bane",5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 701765, ""stored_ids"": [701765], ""validated_stored_ids"": [701765]}",AMBIGUOUS,12e61954c532b1317e643c23d7fadce1949fbd63b8e06588be751d32a5c517f0,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
41,12896,magic,"Aragorn, Company Leader",ltr,316,316,en,Showcase,foil,Showcase,717763,"Aragorn, Company Leader",5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 717763, ""stored_ids"": [717763], ""validated_stored_ids"": [717763]}",AMBIGUOUS,fa296ffe87a6f67dd5c272c31dd98389454f0c94949ed49988e9b825c794d450,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
42,12898,magic,"Aragorn, the Uniter",ltr,317,317,en,Showcase,foil,Showcase,716022,"Aragorn, the Uniter",5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716022, ""stored_ids"": [716022], ""validated_stored_ids"": [716022]}",AMBIGUOUS,512097b9d036edda42c3e199b466173e3adbaa812055f5c645b545b85bed0f02,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
46,13804,magic,"Gimli, Mournful Avenger",ltr,815,815,en,Surge Foil,foil,Surge Foil,737034,"Gimli, Mournful Avenger",5489,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 737034, ""stored_ids"": [737034], ""validated_stored_ids"": [737034]}",AMBIGUOUS,6caa810ef5c8141d6a7b5024394c87ce154d480f708c2fe6be44ac0c3ebae75b,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
47,12868,magic,"Boromir, Warden of the Tower",ltr,302,302,en,Showcase,foil,Showcase,716042,"Boromir, Warden of the Tower",5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716042, ""stored_ids"": [716042], ""validated_stored_ids"": [716042]}",AMBIGUOUS,ec99db67f48faf6847bcf1c60d095d6881b3e3d09c060ddeac7c929e0852eee8,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
65,13505,magic,Shortcut to Mushrooms,ltr,638,638,en,Showcase,foil,Showcase,717004|738134,Shortcut to Mushrooms|Shortcut to Mushrooms,5285|5489,"{""external_provenance"": [], ""mapped_ids"": [717004], ""mapping_conflicts_with_scryfall_id"": true, ""scryfall_cardmarket_id"": 738134, ""stored_ids"": [717004, 738134], ""validated_stored_ids"": [717004, 738134]}",MISMATCH,a8253e1afaf0e26237257299995f2fe1b5b9bec1eab914468d67de503c4cfbb5,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
70,13211,magic,The Bath Song,ltr,491,491,en,Showcase,foil,Showcase,716138|737570|737571,The Bath Song|The Bath Song|The Bath Song,5285|5489|5489,"{""external_provenance"": [], ""mapped_ids"": [716138, 737570], ""mapping_conflicts_with_scryfall_id"": true, ""scryfall_cardmarket_id"": 737571, ""stored_ids"": [716138, 737570, 737571], ""validated_stored_ids"": [716138, 737570, 737571]}",MISMATCH,4863a5af184b57920729ab95d1065c411344b96926ae59b5b62a438a41ac774a,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
82,13101,magic,"Gimli, Mournful Avenger",ltr,436,436,en,Scene,foil,Scene,716059,"Gimli, Mournful Avenger",5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716059, ""stored_ids"": [716059], ""validated_stored_ids"": [716059]}",AMBIGUOUS,ac09173cf6f4a18fbf88f96318f78685ef4c7534d0fa23683da9edcdb1006f98,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
84,545,magic,Art Series: Fog on the Barrow-Downs,ltr,ART-2,ART-2,en,Art Series,nonfoil,Art Series Gold-Stamped,718546,Art Series: Fog on the Barrow-Downs,5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718546], ""validated_stored_ids"": [718546]}",AMBIGUOUS,f1bc37b152235cc6d1a2f49672b5e4b244a268c280b083b37513b9d833acb223,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
86,553,magic,"Art Series: Goldberry, River-Daughter",ltr,ART-6,ART-6,en,Art Series,nonfoil,Art Series Gold-Stamped,718554,"Art Series: Goldberry, River-Daughter",5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718554], ""validated_stored_ids"": [718554]}",AMBIGUOUS,68086e426dfe5e2b63de81e58fa345c6acc75d4d0b2eb633e4cf2733b9ebbac4,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
87,554,magic,Art Series: The Watcher in the Water,ltr,ART-7,ART-7,en,Art Series,nonfoil,Art Series Gold-Stamped,718555,Art Series: The Watcher in the Water,5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718555], ""validated_stored_ids"": [718555]}",AMBIGUOUS,d1ad1b85f68f9d9370324ab7f1202311597db5e53e4f27bd1ab94ab1e22d9448,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
88,558,magic,Art Series: Éomer of the Riddermark,ltr,ART-9,ART-9,en,Art Series,nonfoil,Art Series Gold-Stamped,718559,Art Series: Éomer of the Riddermark,5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718559], ""validated_stored_ids"": [718559]}",AMBIGUOUS,7832cc17099a871558d22337ac72da03fab69c4afef358ea76bfa7d951a33af5,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
89,560,magic,"Art Series: Gimli, Counter of Kills",ltr,ART-10,ART-10,en,Gold-Stamped,nonfoil,Art Series Gold-Stamped,718561,"Art Series: Gimli, Counter of Kills",5308,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718561], ""validated_stored_ids"": [718561]}",AMBIGUOUS,0669a47b4e086dd9e4c23ed87689eb3de65015bc506ce2dfb3d7bca4ed86f389,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
