collection_item_id,printing_id,game,card_name,set,card_number,collector_number,language,variant,finish,treatment,candidate_cardmarket_product_id,candidate_product_name,candidate_expansion,evidence,proposed_status,row_hash,approved,selected_cardmarket_product_id,manifest_id
133,17163,one_piece,Borsalino,op05,OP05-051,OP05-051,jp,Base,,,733344|747506,Borsalino (OP05-051)|Borsalino (OP05-051),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733344, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747506, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733344, 747506], ""validated_stored_ids"": [733344, 747506]} Manual approval: validated OPxx=EN and OPxx-JP/Non-English=JP convention; selected JP product 733344; no price used.",EXACT,024f82f87db0459203031d1e0a023d60de7668cdd3b0f428082083d2d8330426,true,733344,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
134,15439,one_piece,Dracule Mihawk,op01,OP01-070,OP01-070,jp,Alternate Art | Fixed Reprint,,,690897|768325,Dracule Mihawk (OP01-070)|Dracule Mihawk (OP01-070),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690897, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768325, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690897, 768325], ""validated_stored_ids"": [690897, 768325]} Manual approval: Blueprint 244585 exact; JP OP01 V2 Alternate Art | Fixed Reprint; selected 768325.",EXACT,b035242a5fc6f6a0a59909c99b90531b4937297b954b93137217f33ed9934286,true,768325,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
135,15437,one_piece,Dracule Mihawk,op01,OP01-070,OP01-070,jp,Fixed Reprint,,,690896|768324,Dracule Mihawk (OP01-070)|Dracule Mihawk (OP01-070),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690896, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768324, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690896, 768324], ""validated_stored_ids"": [690896, 768324]} Manual physical confirmation: JP OP01 V1 base Fixed Reprint; selected 768324.",EXACT,b48a2f52f17118175bc9cfe87881b59e398ab7fbc64ac520e7b58d8ba0be983a,true,768324,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
136,22263,one_piece,Yamato,op13,OP13-054,OP13-054,jp,Base,,,845324|857251,Yamato (OP13-054)|Yamato (OP13-054),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845324, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857251, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845324, 857251], ""validated_stored_ids"": [845324, 857251]} Manual approval: validated OPxx=EN and OPxx-JP/Non-English=JP convention; selected JP product 857251; no price used.",EXACT,1c1abdbf60264719a6847e76be66e4c1aaf40fa08db4fdbd16985e55f7f68048,true,857251,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
137,22215,one_piece,Lilith,op13,OP13-113,OP13-113,jp,Alternate Art,,,845665|857331,Lilith (OP13-113)|Lilith (OP13-113),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845665, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857331, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845665, 857331], ""validated_stored_ids"": [845665, 857331]} Manual approval: validated OPxx=EN and OPxx-JP/Non-English=JP convention; selected JP product 857331; no price used.",EXACT,ee32202adc00b14678fd961d609ffa77819887ef5831b0824d87a35e6b2a4897,true,857331,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
138,21131,one_piece,Monkey.D.Luffy,eb-02,EB02-061A,EB02-061A,jp,Secret Rare | Alternate Art,,,808171|808172|808173|823515|823516|823517|838704|838705|852319|852320,Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061),6018|6018|6018|6028|6028|6028|6233|6233|6242|6242,"{""diagnostic_candidates"": [808171, 808172, 808173, 823515, 823516, 823517, 838704, 838705, 852319, 852320], ""external_provenance"": [{""exact_language"": false, ""id"": 823516, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [823516], ""validated_stored_ids"": [823516]} Manual approval: EB02-061A remains EB02 JP V2; PRB02 rejected; selected 808172.",EXACT,8c7a66d01031dfa7c35caefd80773d568ac07a3e937abf5aee30e4e269a41a91,true,808172,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
139,17143,one_piece,Rob Lucci,op05,OP05-093,OP05-093,jp,093 | Alternate Art,,,733430|747782,Rob Lucci (OP05-093)|Rob Lucci (OP05-093),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733430, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747782, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733430, 747782], ""validated_stored_ids"": [733430, 747782]} Manual approval: validated OPxx=EN and OPxx-JP/Non-English=JP convention; selected JP product 733430; no price used.",EXACT,533359a991fc455f4bc993f1ead70f75eb4c7ee18e30c5e31f2a1347e3f27d36,true,733430,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
140,17185,one_piece,X.Drake,op05,OP05-055,OP05-055,jp,Alternate Art,,,733352|747512,X.Drake (OP05-055)|X.Drake (OP05-055),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733352, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747512, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733352, 747512], ""validated_stored_ids"": [733352, 747512]} Manual approval: validated OPxx=EN and OPxx-JP/Non-English=JP convention; selected JP product 733352; no price used.",EXACT,e29c771815d7af8f9326f420e555dbb45e1dc177caae4340734d2e64b6d06788,true,733352,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
141,15290,one_piece,Cavendish,op01,OP01-008,OP01-008,jp,Box Topper,,,690804|768247,Cavendish (OP01-008)|Cavendish (OP01-008),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690804, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768247, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690804, 768247], ""validated_stored_ids"": [690804, 768247]} Manual physical confirmation: JP OP01 Box Topper V2; selected 768247.",EXACT,5c666693891e7d37079a616686dd69b00c2282e192958034def9858836d54b75,true,768247,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
142,22265,one_piece,Gol.D.Roger,op13,OP13-064,OP13-064,jp,Base,,,845596|857262,Gol.D.Roger (OP13-064)|Gol.D.Roger (OP13-064),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845596, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857262, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845596, 857262], ""validated_stored_ids"": [845596, 857262]} Manual approval: validated OPxx=EN and OPxx-JP/Non-English=JP convention; selected JP product 857262; no price used.",EXACT,ad5a11a8dab068da2a15c643bda5b78333b5f13d1dc585d84a81a7c104401dc5,true,857262,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
