collection_item_id,printing_id,game,card_name,set,card_number,collector_number,language,variant,finish,treatment,candidate_cardmarket_product_id,candidate_product_name,candidate_expansion,evidence,proposed_status,row_hash,approved,selected_cardmarket_product_id,manifest_id
133,17163,one_piece,Borsalino,op05,OP05-051,OP05-051,jp,Base,,,733344|747506,Borsalino (OP05-051)|Borsalino (OP05-051),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733344, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747506, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733344, 747506], ""validated_stored_ids"": [733344, 747506]}",AMBIGUOUS,4a31ae7892e25a9b4b0bc483a551a5c8f62daf013c35140e9b1c48a24b6b0ddd,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
134,15439,one_piece,Dracule Mihawk,op01,OP01-070,OP01-070,jp,Alternate Art | Fixed Reprint,,,690897|768325,Dracule Mihawk (OP01-070)|Dracule Mihawk (OP01-070),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690897, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768325, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690897, 768325], ""validated_stored_ids"": [690897, 768325]}",AMBIGUOUS,dadf9125125dfaf9ec063eb3ce6e61fec684d8d13bf1fd5b3f9fd252b88fe4e5,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
135,15437,one_piece,Dracule Mihawk,op01,OP01-070,OP01-070,jp,Fixed Reprint,,,690896|768324,Dracule Mihawk (OP01-070)|Dracule Mihawk (OP01-070),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690896, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768324, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690896, 768324], ""validated_stored_ids"": [690896, 768324]}",AMBIGUOUS,70071a4ee3a90eb3d29330c92694e426950904e1de41a36290bc549a5889fc70,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
136,22263,one_piece,Yamato,op13,OP13-054,OP13-054,jp,Base,,,845324|857251,Yamato (OP13-054)|Yamato (OP13-054),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845324, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857251, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845324, 857251], ""validated_stored_ids"": [845324, 857251]}",AMBIGUOUS,f747de454d938153912fa9415144e78a3af1da264528c8f994d34c856b4f9d8f,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
137,22215,one_piece,Lilith,op13,OP13-113,OP13-113,jp,Alternate Art,,,845665|857331,Lilith (OP13-113)|Lilith (OP13-113),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845665, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857331, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845665, 857331], ""validated_stored_ids"": [845665, 857331]}",AMBIGUOUS,7132261a76150a5cf01a9408f26a9b045b94bf279597e55c7e4256391dfb4481,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
138,21131,one_piece,Monkey.D.Luffy,eb-02,EB02-061A,EB02-061A,jp,Secret Rare | Alternate Art,,,808171|808172|808173|823515|823516|823517|838704|838705|852319|852320,Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061)|Monkey.D.Luffy (EB02-061),6018|6018|6018|6028|6028|6028|6233|6233|6242|6242,"{""diagnostic_candidates"": [808171, 808172, 808173, 823515, 823516, 823517, 838704, 838705, 852319, 852320], ""external_provenance"": [{""exact_language"": false, ""id"": 823516, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [823516], ""validated_stored_ids"": [823516]}",MISMATCH,72e8b6b671a1aca79f8dac4e524de6680415e3f40ed648598eafaf1800a6836a,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
139,17143,one_piece,Rob Lucci,op05,OP05-093,OP05-093,jp,093 | Alternate Art,,,733430|747782,Rob Lucci (OP05-093)|Rob Lucci (OP05-093),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733430, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747782, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733430, 747782], ""validated_stored_ids"": [733430, 747782]}",AMBIGUOUS,6033e3588dd7b73d478c1364ecca3d36fddcd66e87ea488ae7b58b00177ea6d1,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
140,17185,one_piece,X.Drake,op05,OP05-055,OP05-055,jp,Alternate Art,,,733352|747512,X.Drake (OP05-055)|X.Drake (OP05-055),5481|5426,"{""external_provenance"": [{""exact_language"": false, ""id"": 733352, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747512, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733352, 747512], ""validated_stored_ids"": [733352, 747512]}",AMBIGUOUS,4b84446ab7ff7259afb1fa7fbf6691ace6eca9c7422c5827a01eee63219ffe2a,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
141,15290,one_piece,Cavendish,op01,OP01-008,OP01-008,jp,Box Topper,,,690804|768247,Cavendish (OP01-008)|Cavendish (OP01-008),5229|5484,"{""external_provenance"": [{""exact_language"": false, ""id"": 690804, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768247, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690804, 768247], ""validated_stored_ids"": [690804, 768247]}",AMBIGUOUS,48f8b8c410091bf2a028bb60958bf36d43c6303d406939932296672b8eb4b8c8,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
142,22265,one_piece,Gol.D.Roger,op13,OP13-064,OP13-064,jp,Base,,,845596|857262,Gol.D.Roger (OP13-064)|Gol.D.Roger (OP13-064),6277|6187,"{""external_provenance"": [{""exact_language"": false, ""id"": 845596, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857262, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845596, 857262], ""validated_stored_ids"": [845596, 857262]}",AMBIGUOUS,bf4e9607f97cd6207374fce9920235f64a45bf97199b71279220967c3da36770,false,,54189435f777e9746d116ff2e4e83ab5071dc63465a645a923edce2b1307fb2c
