collection_item_id,game,card,current_status,classification,recovered_cardmarket_id,candidate_cardmarket_ids,original_import_evidence,legacy_evidence,external_id_evidence,scryfall_evidence,cardtrader_evidence,historical_url_evidence,provenance_gap,lost_fields,original_value,current_value,confidence_reason,remaining_blocker,next_action,magic_category
34,Magic,"Frodo, Sauron's Bane",AMBIGUOUS,EXACT_RECOVERED,701765,701765,collection-ambiguous-review.done.csv source_row=31; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Frodo-Saurons-Bane-V2 || collection-ambiguous-review.done.csv source_row=31; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Frodo-Saurons-Bane-V2 || collection-ambiguous-review.done.csv source_row=31; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Frodo-Saurons-Bane-V2 || collection-ambiguous-review.done.csv source_row=31; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Frodo-Saurons-Bane-V2,cards.id=12872; collection_items.card_id=12872; printing_variant=normal; variant_label=Showcase; finish=foil; treatment=Showcase; source_variant=6d08e637-c2b3-4b38-9b07-5bba1f13efc3:foil; release_kind=original; art_kind=alternate_art; catalog_status=active,cardmarket_product_mappings current=701765; status=mapped,"scryfall_id=6d08e637-c2b3-4b38-9b07-5bba1f13efc3; scryfall_raw={""booster"":false,""border_color"":""borderless"",""cardmarket_id"":701765,""collector_number"":""304"",""finishes"":[""nonfoil"",""foil""],""frame_effects"":[""legendary"",""showcase""],""full_art"":false,""id"":""6d08e637-c2b3-4b38-9b07-5bba1f13efc3"",""promo_types"":[""universesbeyond"",""boosterfun""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Frodo-Saurons-Bane-V2 || https://www.cardmarket.com/en/Magic/Products?idProduct=701765&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=6d08e637-c2b3-4b38-9b07-5bba1f13efc3; raw set=ltr + collector_number=304 + cardmarket_id=701765; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 701765 as audit evidence; do not modify the review CSV or approve this row.,Showcase
41,Magic,"Aragorn, Company Leader",AMBIGUOUS,EXACT_RECOVERED,717763,717763,coleccion-a-cargar.numbers exists as historical source; no matching row-level record is present in the derived review CSV.,cards.id=12896; collection_items.card_id=12896; printing_variant=normal; variant_label=Showcase; finish=foil; treatment=Showcase; source_variant=142c3004-fe39-4ca3-bf14-f4af8b20fa80:foil; release_kind=original; art_kind=alternate_art; catalog_status=active,cardmarket_product_mappings current=717763; status=mapped,"scryfall_id=142c3004-fe39-4ca3-bf14-f4af8b20fa80; scryfall_raw={""booster"":false,""border_color"":""borderless"",""cardmarket_id"":717763,""collector_number"":""316"",""finishes"":[""nonfoil"",""foil""],""frame_effects"":[""legendary"",""showcase""],""full_art"":false,""id"":""142c3004-fe39-4ca3-bf14-f4af8b20fa80"",""promo_types"":[""universesbeyond"",""boosterfun""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products?idProduct=717763&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=142c3004-fe39-4ca3-bf14-f4af8b20fa80; raw set=ltr + collector_number=316 + cardmarket_id=717763; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 717763 as audit evidence; do not modify the review CSV or approve this row.,Showcase
42,Magic,"Aragorn, the Uniter",AMBIGUOUS,EXACT_RECOVERED,716022,716022,coleccion-a-cargar.numbers exists as historical source; no matching row-level record is present in the derived review CSV.,cards.id=12898; collection_items.card_id=12898; printing_variant=normal; variant_label=Showcase; finish=foil; treatment=Showcase; source_variant=e287844c-a829-4f7f-8c4c-ab856e6815f6:foil; release_kind=original; art_kind=alternate_art; catalog_status=active,cardmarket_product_mappings current=716022; status=mapped,"scryfall_id=e287844c-a829-4f7f-8c4c-ab856e6815f6; scryfall_raw={""booster"":false,""border_color"":""borderless"",""cardmarket_id"":716022,""collector_number"":""317"",""finishes"":[""nonfoil"",""foil""],""frame_effects"":[""legendary"",""showcase""],""full_art"":false,""id"":""e287844c-a829-4f7f-8c4c-ab856e6815f6"",""promo_types"":[""universesbeyond"",""boosterfun""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products?idProduct=716022&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=e287844c-a829-4f7f-8c4c-ab856e6815f6; raw set=ltr + collector_number=317 + cardmarket_id=716022; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 716022 as audit evidence; do not modify the review CSV or approve this row.,Showcase
46,Magic,"Gimli, Mournful Avenger",AMBIGUOUS,EXACT_RECOVERED,737034,737034,collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2,cards.id=13804; collection_items.card_id=13804; printing_variant=normal; variant_label=Surge Foil; finish=foil; treatment=Surge Foil; source_variant=44f74a7c-9bf1-4bd9-ac56-8a186ac140f0:foil; release_kind=original; art_kind=base; catalog_status=active collection notes=sin candidatas en cards (producto fuera del catalogo importado) | Version Surge Foil | link: https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Holiday-Release/Gimli-Mournful-Avenger-V3,cardmarket_product_mappings current=737034; status=mapped,"scryfall_id=44f74a7c-9bf1-4bd9-ac56-8a186ac140f0; scryfall_raw={""booster"":false,""border_color"":""borderless"",""cardmarket_id"":737034,""collector_number"":""815"",""finishes"":[""foil""],""frame_effects"":[""showcase"",""legendary""],""full_art"":false,""id"":""44f74a7c-9bf1-4bd9-ac56-8a186ac140f0"",""promo_types"":[""surgefoil"",""universesbeyond"",""boosterfun""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Holiday-Release/Gimli-Mournful-Avenger-V3 || https://www.cardmarket.com/en/Magic/Products?idProduct=737034&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=44f74a7c-9bf1-4bd9-ac56-8a186ac140f0; raw set=ltr + collector_number=815 + cardmarket_id=737034; finish=foil is present; treatment=Surge Foil is compatible because promo_types contains surgefoil; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 737034 as audit evidence; do not modify the review CSV or approve this row.,Surge Foil
47,Magic,"Boromir, Warden of the Tower",AMBIGUOUS,EXACT_RECOVERED,716042,716042,coleccion-a-cargar.numbers exists as historical source; no matching row-level record is present in the derived review CSV.,cards.id=12868; collection_items.card_id=12868; printing_variant=normal; variant_label=Showcase; finish=foil; treatment=Showcase; source_variant=e186ef93-f369-4b4d-a683-36f338b6ce3f:foil; release_kind=original; art_kind=alternate_art; catalog_status=active,cardmarket_product_mappings current=716042; status=mapped,"scryfall_id=e186ef93-f369-4b4d-a683-36f338b6ce3f; scryfall_raw={""booster"":false,""border_color"":""borderless"",""cardmarket_id"":716042,""collector_number"":""302"",""finishes"":[""nonfoil"",""foil""],""frame_effects"":[""legendary"",""showcase""],""full_art"":false,""id"":""e186ef93-f369-4b4d-a683-36f338b6ce3f"",""promo_types"":[""universesbeyond"",""boosterfun""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products?idProduct=716042&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=e186ef93-f369-4b4d-a683-36f338b6ce3f; raw set=ltr + collector_number=302 + cardmarket_id=716042; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 716042 as audit evidence; do not modify the review CSV or approve this row.,Showcase
65,Magic,Shortcut to Mushrooms,MISMATCH,EXACT_RECOVERED,738134,717004|738134,coleccion-a-cargar.numbers exists as historical source; no matching row-level record is present in the derived review CSV.,cards.id=13505; collection_items.card_id=13505; printing_variant=normal; variant_label=Showcase; finish=foil; treatment=Showcase; source_variant=aab671b7-afb3-4d99-8f6d-3240f31508d7:foil; release_kind=original; art_kind=alternate_art; catalog_status=active,cardmarket_product_mappings current=717004; status=mapped,"scryfall_id=aab671b7-afb3-4d99-8f6d-3240f31508d7; scryfall_raw={""booster"":false,""border_color"":""black"",""cardmarket_id"":738134,""collector_number"":""638"",""finishes"":[""nonfoil"",""foil""],""frame_effects"":[""showcase""],""full_art"":false,""id"":""aab671b7-afb3-4d99-8f6d-3240f31508d7"",""promo_types"":[""silverfoil"",""scroll"",""universesbeyond"",""boosterfun""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products?idProduct=738134&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=aab671b7-afb3-4d99-8f6d-3240f31508d7; raw set=ltr + collector_number=638 + cardmarket_id=738134; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 738134 as audit evidence; do not modify the review CSV or approve this row.,Showcase
70,Magic,The Bath Song,MISMATCH,EXACT_RECOVERED,737571,716138|737570|737571,No row-level match in derived review CSV; preserved manual-entry provenance: sin candidatas en cards (producto fuera del catalogo importado) | link: https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Holiday-Release/The-Bath-Song-V1,cards.id=13211; collection_items.card_id=13211; printing_variant=normal; variant_label=Showcase; finish=foil; treatment=Showcase; source_variant=9dc2521f-d9a5-4ae7-b5dc-bf0504e66345:foil; release_kind=original; art_kind=alternate_art; catalog_status=active collection notes=sin candidatas en cards (producto fuera del catalogo importado) | link: https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Holiday-Release/The-Bath-Song-V1,cardmarket_product_mappings current=716138; status=mapped || cardmarket_product_mappings current=737570; status=mapped,"scryfall_id=9dc2521f-d9a5-4ae7-b5dc-bf0504e66345; scryfall_raw={""booster"":false,""border_color"":""black"",""cardmarket_id"":737571,""collector_number"":""491"",""finishes"":[""nonfoil"",""foil""],""frame_effects"":[""showcase""],""full_art"":false,""id"":""9dc2521f-d9a5-4ae7-b5dc-bf0504e66345"",""promo_types"":[""silverfoil"",""scroll"",""universesbeyond"",""boosterfun""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Holiday-Release/The-Bath-Song-V1 || https://www.cardmarket.com/en/Magic/Products?idProduct=737571&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=9dc2521f-d9a5-4ae7-b5dc-bf0504e66345; raw set=ltr + collector_number=491 + cardmarket_id=737571; finish=foil is present; treatment=Showcase is compatible because frame_effects contains showcase; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 737571 as audit evidence; do not modify the review CSV or approve this row.,Showcase
82,Magic,"Gimli, Mournful Avenger",AMBIGUOUS,EXACT_RECOVERED,716059,716059,collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || collection-ambiguous-review.done.csv source_row=42; variant=borderless; set_hint=LTR; card_number=NULL; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2,cards.id=13101; collection_items.card_id=13101; printing_variant=normal; variant_label=Scene; finish=foil; treatment=Scene; source_variant=3a8bd920-5e70-4c3d-bd15-ccb8d1c87e2e:foil; release_kind=original; art_kind=base; catalog_status=active,cardmarket_product_mappings current=716059; status=mapped,"scryfall_id=3a8bd920-5e70-4c3d-bd15-ccb8d1c87e2e; scryfall_raw={""booster"":true,""border_color"":""borderless"",""cardmarket_id"":716059,""collector_number"":""436"",""finishes"":[""nonfoil"",""foil""],""frame_effects"":[""legendary"",""inverted""],""full_art"":true,""id"":""3a8bd920-5e70-4c3d-bd15-ccb8d1c87e2e"",""promo_types"":[""boosterfun"",""universesbeyond""],""set"":""ltr"",""variation"":false}",No relevant CardTrader Blueprint/image provenance.,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Gimli-Mournful-Avenger-V2 || https://www.cardmarket.com/en/Magic/Products?idProduct=716059&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,false,NULL,NULL,Not detected,Unique Scryfall printing id=3a8bd920-5e70-4c3d-bd15-ccb8d1c87e2e; raw set=ltr + collector_number=436 + cardmarket_id=716059; finish=foil is present; treatment=Scene is compatible because full_art=true and frame_effects contains inverted; scalar raw cardmarket_id is the unique recovered product.,None for identity recovery; this report does not authorize pricing/apply/approval.,Retain idProduct 716059 as audit evidence; do not modify the review CSV or approve this row.,Scene
84,Magic,Art Series: Fog on the Barrow-Downs,AMBIGUOUS,EXACT_RECOVERED,718546,718545|718546,collection-ambiguous-review.done.csv source_row=45; variant=gold_stamp; set_hint=LTR; card_number=2.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2 || collection-ambiguous-review.done.csv source_row=45; variant=gold_stamp; set_hint=LTR; card_number=2.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2 || collection-ambiguous-review.done.csv source_row=45; variant=gold_stamp; set_hint=LTR; card_number=2.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2,cards.id=545; collection_items.card_id=545; printing_variant=normal; variant_label=Art Series; finish=nonfoil; treatment=Art Series Gold-Stamped; source_variant=art_series_gold_stamped; release_kind=special; art_kind=special; catalog_status=active,cardmarket_product_mappings current=718546; status=mapped,No scryfall_raw evidence.,card_images source_card_id=250713; source_variant=NULL; source_collector_number=A02; image_language_scope=en; fallback=0 || CONFLICT: CardTrader image collector=A02 vs collection=ART-2,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2,true,cardmarket_link,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2,NULL: no Cardmarket URL/provenance-link field in collection_items/cards,"Cardmarket V.2, original gold_stamp + ART-A2 + EN + LTR, and local catalog identify one compatible Gold-Stamped product: idProduct=718546; provenance_gap=true.",None for identity recovery; provenance_gap=true; no mapping/apply performed.,Retain idProduct 718546 as final audit evidence; do not modify mappings or approve the review CSV.,Art Series Gold-Stamped
86,Magic,"Art Series: Goldberry, River-Daughter",AMBIGUOUS,EXACT_RECOVERED,718554,718553|718554,collection-ambiguous-review.done.csv source_row=47; variant=gold_stamp; set_hint=LTR; card_number=6.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2 || collection-ambiguous-review.done.csv source_row=47; variant=gold_stamp; set_hint=LTR; card_number=6.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2 || collection-ambiguous-review.done.csv source_row=47; variant=gold_stamp; set_hint=LTR; card_number=6.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2 || collection-ambiguous-review.done.csv source_row=47; variant=gold_stamp; set_hint=LTR; card_number=6.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2 || collection-ambiguous-review.done.csv source_row=47; variant=gold_stamp; set_hint=LTR; card_number=6.0; language=en; notes=NULL; cardmarket_link=https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2,cards.id=553; collection_items.card_id=553; printing_variant=normal; variant_label=Art Series; finish=nonfoil; treatment=Art Series Gold-Stamped; source_variant=art_series_gold_stamped; release_kind=special; art_kind=special; catalog_status=active,cardmarket_product_mappings current=718554; status=mapped,No scryfall_raw evidence.,card_images source_card_id=250762; source_variant=NULL; source_collector_number=A06; image_language_scope=en; fallback=0 || CONFLICT: CardTrader image collector=A06 vs collection=ART-6,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2,true,cardmarket_link,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2,NULL: no Cardmarket URL/provenance-link field in collection_items/cards,"Cardmarket V.2, original gold_stamp + ART-A6 + EN + LTR, and local catalog identify one compatible Gold-Stamped product: idProduct=718554; provenance_gap=true.",None for identity recovery; provenance_gap=true; no mapping/apply performed.,Retain idProduct 718554 as final audit evidence; do not modify mappings or approve the review CSV.,Art Series Gold-Stamped
