local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_metric,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_item_id,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
12872,magic,"Frodo, Sauron's Bane",304,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,rare,foil,Showcase,353,scryfall_oracle:8be62f5c-0ab2-4869-97a2-d8a69a3fde95,,,6d08e637-c2b3-4b38-9b07-5bba1f13efc3,701765,,701765,"Frodo, Sauron's Bane",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.08,0.49,0.2,0.43,0.6,0.2,0.8,0.95,0.63,0.59,Foil Low,0.2,EUR,EUR,cardmarket,701765,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 701765, ""history_id"": 347}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 701765, ""stored_ids"": [701765], ""validated_stored_ids"": [701765]}",34,1,0.2,,
12896,magic,"Aragorn, Company Leader",316,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,rare,foil,Showcase,72,scryfall_oracle:1b841e8f-9484-4737-bd37-dfa11bd06883,,,142c3004-fe39-4ca3-bf14-f4af8b20fa80,717763,,717763,"Aragorn, Company Leader",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.19,0.95,0.61,0.9,0.84,0.26,1.22,1.3,1.51,1.25,Foil Low,0.26,EUR,EUR,cardmarket,717763,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 717763, ""history_id"": 348}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 717763, ""stored_ids"": [717763], ""validated_stored_ids"": [717763]}",41,1,0.26,,
12898,magic,"Aragorn, the Uniter",317,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,mythic,foil,Showcase,156,scryfall_oracle:3f31c423-d45c-4c3e-b7d4-ca125be0f92c,,,e287844c-a829-4f7f-8c4c-ab856e6815f6,716022,,716022,"Aragorn, the Uniter",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,2.75,13.44,10,10.96,9.54,4.45,15.12,4.45,14.84,15.52,Foil Low,4.45,EUR,EUR,cardmarket,716022,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716022, ""history_id"": 349}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716022, ""stored_ids"": [716022], ""validated_stored_ids"": [716022]}",42,1,4.45,,
13804,magic,"Gimli, Mournful Avenger",815,ltr,The Lord of the Rings: Tales of Middle-earth,en,Surge Foil,rare,foil,Surge Foil,406,scryfall_oracle:9f3941d8-b4d2-4faf-881a-f15973b4368d,,,44f74a7c-9bf1-4bd9-ac56-8a186ac140f0,737034,,737034,"Gimli, Mournful Avenger",5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,2.5,0,,,,2.5,2.82,2.6,2.63,2.67,Foil Low,2.5,EUR,EUR,cardmarket,737034,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 737034, ""history_id"": 352}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 737034, ""stored_ids"": [737034], ""validated_stored_ids"": [737034]}",46,2,5.0,,
12868,magic,"Boromir, Warden of the Tower",302,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,rare,foil,Showcase,547,scryfall_oracle:d72b57e5-1c6e-4f02-968f-7e2dd24f0d3c,,,e186ef93-f369-4b4d-a683-36f338b6ce3f,716042,,716042,"Boromir, Warden of the Tower",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,3.39,6.19,6.27,6.1,5.86,3.99,6.97,7.49,6.2,6.61,Foil Low,3.99,EUR,EUR,cardmarket,716042,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716042, ""history_id"": 346}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716042, ""stored_ids"": [716042], ""validated_stored_ids"": [716042]}",47,1,3.99,,
13101,magic,"Gimli, Mournful Avenger",436,ltr,The Lord of the Rings: Tales of Middle-earth,en,Scene,rare,foil,Scene,406,scryfall_oracle:9f3941d8-b4d2-4faf-881a-f15973b4368d,,,3a8bd920-5e70-4c3d-bd15-ccb8d1c87e2e,716059,,716059,"Gimli, Mournful Avenger",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.9,1.76,1.43,1.49,2.02,1.2,3.3,3.75,2.98,3.33,Foil Low,1.2,EUR,EUR,cardmarket,716059,high,Foil Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 716059, ""history_id"": 350}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": 716059, ""stored_ids"": [716059], ""validated_stored_ids"": [716059]}",82,1,1.2,,
545,magic,Art Series: Fog on the Barrow-Downs,ART-2,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718546,,718546,Art Series: Fog on the Barrow-Downs,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.11,0.15,0.07,0.13,,0,,,,Low,0.02,EUR,EUR,cardmarket,718546,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718546, ""history_id"": 295}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718546], ""validated_stored_ids"": [718546]}",84,1,0.02,,
553,magic,"Art Series: Goldberry, River-Daughter",ART-6,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718554,,718554,"Art Series: Goldberry, River-Daughter",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.15,0.05,0.16,0.17,1.2,0,,,,Low,0.02,EUR,EUR,cardmarket,718554,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718554, ""history_id"": 297}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718554], ""validated_stored_ids"": [718554]}",86,1,0.02,,
554,magic,Art Series: The Watcher in the Water,ART-7,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718555,,718555,Art Series: The Watcher in the Water,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.14,0.1,0.14,0.15,0.05,0.04,0.04,0.05,0.05,Low,0.02,EUR,EUR,cardmarket,718555,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718555, ""history_id"": 298}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718555], ""validated_stored_ids"": [718555]}",87,1,0.02,,
558,magic,Art Series: Éomer of the Riddermark,ART-9,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718559,,718559,Art Series: Éomer of the Riddermark,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.09,0.11,0.06,0.1,0.15,0.15,0.15,0.15,0.15,Low,0.02,EUR,EUR,cardmarket,718559,high,Low,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718559, ""history_id"": 299}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718559], ""validated_stored_ids"": [718559]}",88,1,0.02,,
