collection_item_id,card_name,art_number,original_variant,cardmarket_version,cardmarket_id_product,cardmarket_url,name_match,art_number_match,v2_match,unique_product,result,evidence,blocker
84,Art Series: Fog on the Barrow-Downs,A2,gold_stamp,V2,718546,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Fog-on-the-Barrow-Downs-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-2, Gold-Stamped, idProduct 718546. Provenance original: gold_stamp, EN, ART-2.",
86,"Art Series: Goldberry, River-Daughter",A6,gold_stamp,V2,718554,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Goldberry-River-Daughter-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-6, Gold-Stamped, idProduct 718554. Provenance original: gold_stamp, EN, ART-6.",
87,Art Series: The Watcher in the Water,A7,gold_stamp,V2,718555,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-The-Watcher-in-the-Water-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-7, Gold-Stamped, idProduct 718555. Provenance original: gold_stamp, EN, ART-7.",
88,Art Series: Éomer of the Riddermark,A9,gold_stamp,V2,718559,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Eomer-of-the-Riddermark-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-9, Gold-Stamped, idProduct 718559. Provenance original: gold_stamp, EN, ART-9.",
89,"Art Series: Gimli, Counter of Kills",A10,gold_stamp,V2,718561,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Gimli-Counter-of-Kills-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-10, Gold-Stamped, idProduct 718561. Provenance original: gold_stamp, EN, ART-10.",
90,Art Series: Generous Ent,A11,gold_stamp,V2,718563,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Generous-Ent-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-11, Gold-Stamped, idProduct 718563. Provenance original: gold_stamp, EN, ART-11.",
92,"Art Series: Bilbo, Retired Burglar",A14,gold_stamp,V2,718575,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Bilbo-Retired-Burglar-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-14, Gold-Stamped, idProduct 718575. Provenance original: gold_stamp, EN, ART-14.",
93,"Art Series: Legolas, Counter of Kills",A17,gold_stamp,V2,718582,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Legolas-Counter-of-Kills-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-17, Gold-Stamped, idProduct 718582. Provenance original: gold_stamp, EN, ART-17.",
94,Art Series: Saruman of Many Colors,A20,gold_stamp,V2,718601,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Saruman-of-Many-Colors-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-20, Gold-Stamped, idProduct 718601. Provenance original: gold_stamp, EN, ART-20.",
95,"Art Series: Sharkey, Tyrant of the Shire",A22,gold_stamp,V2,718605,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Sharkey-Tyrant-of-the-Shire-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-22, Gold-Stamped, idProduct 718605. Provenance original: gold_stamp, EN, ART-22.",
96,"Art Series: Shelob, Child of Ungoliant",A23,gold_stamp,V2,718606,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Shelob-Child-of-Ungoliant-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-23, Gold-Stamped, idProduct 718606. Provenance original: gold_stamp, EN, ART-23.",
97,"Art Series: Théoden, King of Rohan",A25,gold_stamp,V2,718610,https://www.cardmarket.com/en/Magic/Products/Singles/The-Lord-of-the-Rings-Tales-of-Middle-earth-Extras/Art-Series-Theoden-King-of-Rohan-V2,true,true,true,true,EXACT_RECOVERED,"Cardmarket V.2 / LOTR Extras confirmado por página pública indexada; catálogo local readonly: único candidato compatible ART-25, Gold-Stamped, idProduct 718610. Provenance original: gold_stamp, EN, ART-25.",
