local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_metric,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_item_id,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
17163,one_piece,Borsalino,OP05-051,op05,OP-05: Awakening of the New Era,jp,Base,Common,,,2326,one_piece:OP05-051,268604,268604,,"733344,747506",,"733344,747506",Borsalino (OP05-051),5481,,,OP05-051,mixed/unknown,0.08,0.39,0.16,0.31,0.43,,0,,,,Low,0.2,EUR,EUR,cardtrader,268604,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""1bc70b638e5f72e44eadf4a01ad28a6adcca97049f8effe170864d3c07827e3c\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 733344, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747506, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733344, 747506], ""validated_stored_ids"": [733344, 747506]}",133,1,0.2,,
15439,one_piece,Dracule Mihawk,OP01-070,op01,OP-01: Romance Dawn,jp,Alternate Art | Fixed Reprint,Alternate Art,,,1319,one_piece:OP01-070,244585,244585,,"690897,768325",,"690897,768325",Dracule Mihawk (OP01-070),5229,,,OP01-070,mixed/unknown,40,64.99,55,59.94,57.2,,0,,,,Low,20.27,EUR,EUR,cardtrader,244585,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""ed63f1149851e6bc56cd82046b8e8e14437baff5486bccf530f81e7986c3589e\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690897, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768325, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690897, 768325], ""validated_stored_ids"": [690897, 768325]}",134,1,20.27,,
15437,one_piece,Dracule Mihawk,OP01-070,op01,OP-01: Romance Dawn,jp,Fixed Reprint,Super Rare,,,1319,one_piece:OP01-070,244584,244584,,"690896,768324",,"690896,768324",Dracule Mihawk (OP01-070),5229,,,OP01-070,mixed/unknown,0.15,0.71,0.94,0.53,0.7,,0,,,,Low,0.33,EUR,EUR,cardtrader,244584,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""92e8017393fdf46722e6939861834c2a24bb2d61f8f044ccd0ecdb9815c645aa\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690896, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768324, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690896, 768324], ""validated_stored_ids"": [690896, 768324]}",135,1,0.33,,
22263,one_piece,Yamato,OP13-054,op13,OP-13: Carrying on his Will,jp,Base,Super Rare,,,5901,one_piece:OP13-054,354348,354348,,"845324,857251",,"845324,857251",Yamato (OP13-054),6277,,,OP13-054,mixed/unknown,0.02,0.22,0.06,0.14,0.17,,0,,,,Low,0.24,EUR,EUR,cardtrader,354348,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""f140c9f06ae149287b63588b650b00ffb6b392672def9fb67474bf8a3073c3f5\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 845324, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857251, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845324, 857251], ""validated_stored_ids"": [845324, 857251]}",136,1,0.24,,
22215,one_piece,Lilith,OP13-113,op13,OP-13: Carrying on his Will,jp,Alternate Art,Alternate Art,,,5932,one_piece:OP13-113,354323,354323,,"845665,857331",,"845665,857331",Lilith (OP13-113),6277,,,OP13-113,mixed/unknown,1.48,2.43,1.4,2.53,2.58,,0,,,,Low,6.89,EUR,EUR,cardtrader,354323,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""4dc37fcf8a52ec8214bcaeacd115a174a4282f633be8c939411b4b6cf4fd4f88\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 845665, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857331, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845665, 857331], ""validated_stored_ids"": [845665, 857331]}",137,1,6.89,,
21131,one_piece,Monkey.D.Luffy,EB02-061A,eb-02,EB-02: Anime 25th Collection,jp,Secret Rare | Alternate Art,Alternate Art,,,5201,one_piece:EB02-061A,330432,330432,,823516,,"808171,808172,808173,823515,823516,823517,838704,838705,852319,852320",,,,,,,,,,,,,,,,,Low,200.64,EUR,EUR,cardtrader,330432,low,Low,2026-08-28T15:00:15.994637+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""f977bead1032ce74feda6ef56ab04c70cbb0c35aa5f7e77dd29f972b411c587c\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""diagnostic_candidates"": [808171, 808172, 808173, 823515, 823516, 823517, 838704, 838705, 852319, 852320], ""external_provenance"": [{""exact_language"": false, ""id"": 823516, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [823516], ""validated_stored_ids"": [823516]}",138,1,200.64,,
17143,one_piece,Rob Lucci,OP05-093,op05,OP-05: Awakening of the New Era,jp,093 | Alternate Art,Alternate Art,,,744,one_piece:OP05-093,268464,268464,,"733430,747782",,"733430,747782",Rob Lucci (OP05-093),5481,,,OP05-093,mixed/unknown,2.95,4.23,3,3.63,3.98,,0,,,,Low,4.9,EUR,EUR,cardtrader,268464,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""a7795c069cf959cb1f622804d9832b61a3feda75c910feb3d580005acb1bac77\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 733430, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747782, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733430, 747782], ""validated_stored_ids"": [733430, 747782]}",139,1,4.9,,
17185,one_piece,X.Drake,OP05-055,op05,OP-05: Awakening of the New Era,jp,Alternate Art,Alternate Art,,,2338,one_piece:OP05-055,269569,269569,,"733352,747512",,"733352,747512",X.Drake (OP05-055),5481,,,OP05-055,mixed/unknown,1.89,4.28,1,4.58,3.07,,0,,,,Low,1.99,EUR,EUR,cardtrader,269569,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""3c143b17998a365e5fb3b2a2543ec817daefb69f3de1c914d6b98664d3988453\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 733352, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 747512, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [733352, 747512], ""validated_stored_ids"": [733352, 747512]}",140,1,1.99,,
15290,one_piece,Cavendish,OP01-008,op01,OP-01: Romance Dawn,jp,Box Topper,Alternate Art,,,1244,one_piece:OP01-008,244478,244478,,"690804,768247",,"690804,768247",Cavendish (OP01-008),5229,,,OP01-008,mixed/unknown,3,6.77,5,6.1,6.01,,0,,,,Low,3.84,EUR,EUR,cardtrader,244478,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""3515ccc17c77db15cabc75b28f516f1a2d9d974ac494556692da037eebaf6633\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690804, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 768247, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690804, 768247], ""validated_stored_ids"": [690804, 768247]}",141,1,3.84,,
22265,one_piece,Gol.D.Roger,OP13-064,op13,OP-13: Carrying on his Will,jp,Base,Super Rare,,,5893,one_piece:OP13-064,354349,354349,,"845596,857262",,"845596,857262",Gol.D.Roger (OP13-064),6277,,,OP13-064,mixed/unknown,0.02,0.1,0.3,0.17,0.16,,0,,,,Low,0.34,EUR,EUR,cardtrader,354349,high,Low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""ec9aab8ed8e2d8c93816de913033d242c7a86cbcc65d42dfa60cca26cc741379\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 845596, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}, {""exact_language"": false, ""id"": 857262, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [845596, 857262], ""validated_stored_ids"": [845596, 857262]}",142,1,0.34,,
