collection_item_id,card_name,card_number,collection_set,collection_language,conflict_type,candidate_count,candidate_1_id,candidate_1_url,candidate_1_identity,candidate_2_id,candidate_2_url,candidate_2_identity,candidate_3_id,candidate_3_url,candidate_3_identity,local_evidence,distinguishing_attribute,diagnostic_category,proposed_rule,physical_check_needed,notes
133,Borsalino,OP05-051,op05,jp,LANGUAGE,2,733344,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Borsalino-OP05-051-V1,"OP05-JP / Awakening of the New Era (Non-English), V.1",747506,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era/Borsalino-OP05-051-V1,"OP05 / Awakening of the New Era, V.1",,"","", "CardTrader Blueprint 268604 exact jp; Cardmarket 733344 and 747506 both mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: for an OP05 JP printing, prefer the OP05-JP/Non-English family over OP05 English; still require exact-language evidence before production use.",YES,"No price used. Cardmarket version evidence: https://www.cardmarket.com/en/OnePiece/Cards/Borsalino-OP05-051/Versions"
134,Dracule Mihawk,OP01-070,op01,jp,MULTIPLE_FACTORS,2,690897,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/Dracule-Mihawk-OP01-070-V2,"OP01 / Romance Dawn, V.2; alternate-art/fixed-reprint family",768325,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/Dracule-Mihawk-OP01-070-V2,"OP01-JP / Romance Dawn (Japanese), V.2; alternate-art/fixed-reprint family",,"","", "CardTrader Blueprint 244585 exact jp; local variant=Alternate Art | Fixed Reprint; Cardmarket IDs are mixed-language",language family plus V.2,WEB_RULE_CANDIDATE,"Candidate rule: use the OP01-JP family and V.2 only when the fixed-reprint/alternate-art attribute is independently confirmed.",YES,"V.2 is visible on Cardmarket; language scope remains broader than JP in local provenance."
135,Dracule Mihawk,OP01-070,op01,jp,VERSION,4,690896,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/Dracule-Mihawk-OP01-070-V1,"OP01 / Romance Dawn, V.1",768324,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/Dracule-Mihawk-OP01-070-V1,"OP01-JP / Romance Dawn (Japanese), V.1",690930,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/Dracule-Mihawk-OP01-070-V2,"OP01 / Romance Dawn, V.2", "CardTrader Blueprint 244584 exact jp; local variant=Fixed Reprint; stored candidates are V.1 families",Cardmarket V.1/V.2 plus language,LIKELY_PHYSICAL_CONFIRMATION,"Do not infer Fixed Reprint from card number alone; map only after physical reprint/errata marker is confirmed and then select the JP family.",YES,"Additional candidate 768359 is the OP01-JP V.2 URL counterpart."
136,Yamato,OP13-054,op13,jp,LANGUAGE,2,857251,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/Yamato-OP13-054-V1,"OP13-JP / Carrying on his Will (Non-English), V.1",845324,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will/Yamato-OP13-054-V1,"OP13 / Carrying on his Will, V.1",,"","", "CardTrader Blueprint 354348 exact jp; Cardmarket IDs 857251 and 845324 mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: for OP13 JP, prefer OP13-JP/Non-English V.1 over OP13 English V.1; exact JP scope remains to be validated.",YES,"Cardmarket versions page reports four OP13 identities: English/Non-English x V.1/V.2."
137,Lilith,OP13-113,op13,jp,LANGUAGE,2,857331,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/Lilith-OP13-113-V2,"OP13-JP / Carrying on his Will (Non-English), V.2",845665,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will/Lilith-OP13-113-V2,"OP13 / Carrying on his Will, V.2",,"","", "CardTrader Blueprint 354323 exact jp; local variant=Alternate Art; Cardmarket IDs mixed-language",Cardmarket language family / V.2,WEB_RULE_CANDIDATE,"Candidate rule: local Alternate Art plus OP13-JP family corresponds to Cardmarket V.2; do not apply without exact-language validation.",YES,"V.2 is a repeatable Cardmarket convention for the alternate-art product family."
138,Monkey.D.Luffy,EB02-061A,eb-02,jp,MULTIPLE_FACTORS,10,808172,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection-Japanese/MonkeyDLuffy-EB02-061-V2,"EB02-JP / Anime 25th Collection (Non-English), V.2",823516,https://www.cardmarket.com/en/OnePiece/Products/Singles/Anime-25th-Collection/MonkeyDLuffy-EB02-061-V2,"EB02 / Anime 25th Collection, V.2",838705,https://www.cardmarket.com/en/OnePiece/Products/Singles/The-Best-Vol-2-Non-English/MonkeyDLuffy-EB02-061-V2,"PRB02-JP / The Best Vol. 2 (Non-English), V.2", "CardTrader Blueprint 330432 exact jp; local number=EB02-061A; stored Cardmarket id 823516 mixed",set/reprint + language + V.1/V.2/V.3,INDIVIDUAL_WEB_RESOLUTION,"Diagnostic rule candidate only: EB02-061A => EB02-JP V.2; reject PRB02 and any V.1/V.3. Validate this mapping manually before production.",NO,"Additional plausible V.2 candidate 852320 is PRB02 English. EB02 V.1/V.3 and PRB02-JP V.1/V.3 are also present in the catalogue."
139,Rob Lucci,OP05-093,op05,jp,LANGUAGE,2,733430,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/Rob-Lucci-OP05-093-V2,"OP05-JP / Awakening of the New Era (Non-English), V.2",747782,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era/Rob-Lucci-OP05-093-V2,"OP05 / Awakening of the New Era, V.2",,"","", "CardTrader Blueprint 268464 exact jp; local variant=093 | Alternate Art; Cardmarket IDs mixed-language",Cardmarket language family / V.2,WEB_RULE_CANDIDATE,"Candidate rule: OP05-JP/Non-English V.2 is the repeated family for JP alternate-art rows; exact-language evidence still required.",YES,"Cardmarket versions page also exposes OP09 and Unnumbered Promo reprints; those are excluded from the OP05 local identity."
140,X.Drake,OP05-055,op05,jp,LANGUAGE,2,733352,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/XDrake-OP05-055-V2,"OP05-JP / Awakening of the New Era (Non-English), V.2",747512,https://www.cardmarket.com/en/OnePiece/Products/Singles/Awakening-of-the-New-Era/XDrake-OP05-055-V2,"OP05 / Awakening of the New Era, V.2",,"","", "CardTrader Blueprint 269569 exact jp; local variant=Alternate Art; Cardmarket IDs mixed-language",Cardmarket language family / V.2,WEB_RULE_CANDIDATE,"Candidate rule: OP05-JP/Non-English V.2 is preferred for a JP alternate-art printing after exact-language validation.",YES,"No price used. Cardmarket direct pages explicitly label the two language families."
141,Cavendish,OP01-008,op01,jp,MULTIPLE_FACTORS,2,768247,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn-Japanese/Cavendish-OP01-008-V2,"OP01-JP / Romance Dawn (Japanese), V.2",690804,https://www.cardmarket.com/en/OnePiece/Products/Singles/Romance-Dawn/Cavendish-OP01-008-V2,"OP01 / Romance Dawn, V.2",,"","", "CardTrader Blueprint 244478 exact jp; local variant=Box Topper; Cardmarket V.2 does not expose Box Topper as a separate field",language family plus art/treatment,LIKELY_PHYSICAL_CONFIRMATION,"Use OP01-JP only after confirming that the physical Box Topper artwork is Cardmarket V.2; do not equate Box Topper with V.2 generically.",YES,"Cardmarket lists five versions for this card, including English/Japanese families and other special products."
142,Gol.D.Roger,OP13-064,op13,jp,LANGUAGE,2,857262,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/Gol.D.Roger-OP13-064-V1,"OP13-JP / Carrying on his Will (Non-English), V.1",845596,https://www.cardmarket.com/en/OnePiece/Products/Singles/Carrying-on-his-Will/Gol.D.Roger-OP13-064-V1,"OP13 / Carrying on his Will, V.1",,"","", "CardTrader Blueprint 354349 exact jp; Cardmarket IDs mixed-language",Cardmarket language family / expansion,WEB_RULE_CANDIDATE,"Candidate rule: OP13-JP/Non-English V.1 for JP base printing; exact-language validation remains mandatory.",YES,"No Cardmarket product is approved by this diagnostic."
