local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
13211,magic,The Bath Song,491,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,uncommon,foil,Showcase,481,scryfall_oracle:bc475376-54eb-4846-9cfc-5fa2e7908905,,,9dc2521f-d9a5-4ae7-b5dc-bf0504e66345,"716138,737570,737571",,"716138,737570,737571",The Bath Song,5285,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.11,0.11,0.09,0.11,0.02,0.17,0.18,0.2,0.23,Foil Low,,EUR,EUR,cardmarket,"716138,737570",,,"{""mapped_product_ids"": [716138, 737570]}",MISMATCH,current mapping differs from stored Scryfall Cardmarket id,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [], ""mapped_ids"": [716138, 737570], ""mapping_conflicts_with_scryfall_id"": true, ""scryfall_cardmarket_id"": 737571, ""stored_ids"": [716138, 737570, 737571], ""validated_stored_ids"": [716138, 737570, 737571]}",1,0.0,,
13505,magic,Shortcut to Mushrooms,638,ltr,The Lord of the Rings: Tales of Middle-earth,en,Showcase,uncommon,foil,Showcase,109,scryfall_oracle:2dc6637a-0b51-462b-9f18-571146bb4558,,,aab671b7-afb3-4d99-8f6d-3240f31508d7,"717004,738134",,"717004,738134",Shortcut to Mushrooms,5285,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.1,0.08,0.06,0.08,0.02,0.18,0.09,0.19,0.19,Foil Low,0.02,EUR,EUR,cardmarket,717004,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 717004, ""history_id"": 351}",MISMATCH,current mapping differs from stored Scryfall Cardmarket id,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [], ""mapped_ids"": [717004], ""mapping_conflicts_with_scryfall_id"": true, ""scryfall_cardmarket_id"": 738134, ""stored_ids"": [717004, 738134], ""validated_stored_ids"": [717004, 738134]}",1,0.02,,
14247,magic,The Great Henge,378z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,297,scryfall_oracle:78427103-9543-41fb-b6d4-72963fe87275,,,190ab58b-88cc-4baf-a843-d1b2710c14a8,743271,,743271,The Great Henge,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,7999.98,0,,,,7999.98,3286.55,2999.99,1742.28,1742.28,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743271, ""stored_ids"": [743271], ""validated_stored_ids"": [743271]}",,,,
14249,magic,Cloudstone Curio,379z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,228,scryfall_oracle:5cd2fd32-4da2-40eb-b003-c0b9a9ec91c1,,,5770803f-e3bb-45eb-8859-0ff4d9255b2b,743272,,743272,Cloudstone Curio,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,,0,,,,,2019.39,1999.99,767.85,767.85,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743272, ""stored_ids"": [743272], ""validated_stored_ids"": [743272]}",,,,
14251,magic,Ensnaring Bridge,380z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,558,scryfall_oracle:dade5835-ccaf-45e3-b9a3-46017e0384b3,,,5f24a880-09bf-4a75-a367-23be13dbf4ed,743273,,743273,Ensnaring Bridge,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,,0,,,,,2066.71,1908.77,1649.68,1649.68,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743273, ""stored_ids"": [743273], ""validated_stored_ids"": [743273]}",,,,
14253,magic,The Ozolith,381z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,63,scryfall_oracle:1946ded1-5f53-409f-b0a6-5433bb0357d2,,,1fac900d-c40d-4f33-9ae5-45e31e5ce66c,743274,,743274,The Ozolith,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,15000,0,,,,15000,1420.96,1150,1178.82,1178.82,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743274, ""stored_ids"": [743274], ""validated_stored_ids"": [743274]}",,,,
14255,magic,Rings of Brighthearth,382z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,480,scryfall_oracle:bbf9494c-c4bb-4d36-98fe-8387846b342e,,,ee977d30-f37d-4879-be52-c57d50922465,743275,,743275,Rings of Brighthearth,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,,0,,,,,2563.82,2965,1161,1161,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743275, ""stored_ids"": [743275], ""validated_stored_ids"": [743275]}",,,,
14257,magic,Shadowspear,383z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,348,scryfall_oracle:8b27326f-e7b8-4a4d-b589-df459246d19a,,,9adf5196-41e9-401c-8ccf-abfad0350f87,743276,,743276,Shadowspear,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,,0,,,,,5006.51,4900,2504,2504,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743276, ""stored_ids"": [743276], ""validated_stored_ids"": [743276]}",,,,
14259,magic,Sword of Hearth and Home,384z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,365,scryfall_oracle:913e6182-706a-4872-8c8a-e146b0ae0738,,,3543a80e-251b-498a-bf5e-ee2a2e9166e2,743277,,743277,Sword of Hearth and Home,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,,0,,,,,2122.83,1900,1034,942.25,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743277, ""stored_ids"": [743277], ""validated_stored_ids"": [743277]}",,,,
14261,magic,Sword of the Animist,385z,ltc,Tales of Middle-earth Commander,en,Borderless,mythic,foil,Borderless,549,scryfall_oracle:d79cbc61-6c15-48ea-bbba-3cffb819ccba,,,85ff8012-5d11-43bf-9f77-5d0179dc775e,743278,,743278,Sword of the Animist,5489,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,9000,0,,,,9000,2240.59,2250,1230,1230,Foil Low,,EUR,EUR,,,,,"{""mapped_product_ids"": []}",MISMATCH,stored product identity conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_expansion,,"{""external_provenance"": [], ""mismatch_reasons"": [""unproven_treatment"", ""wrong_expansion""], ""scryfall_cardmarket_id"": 743278, ""stored_ids"": [743278], ""validated_stored_ids"": [743278]}",,,,
