local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
545,magic,Art Series: Fog on the Barrow-Downs,ART-2,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718546,,718546,Art Series: Fog on the Barrow-Downs,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.11,0.15,0.07,0.13,,0,,,,Low,0.02,EUR,EUR,cardmarket,718546,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718546, ""history_id"": 295}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718546], ""validated_stored_ids"": [718546]}",1,0.02,,
546,magic,Art Series: Gandalf the White,ART-3,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718547,,718547,Art Series: Gandalf the White,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.13,0.13,0.11,0.17,,0,,,,Low,0.02,EUR,EUR,cardmarket,718547,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718547, ""history_id"": 296}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718547], ""validated_stored_ids"": [718547]}",1,0.02,,
553,magic,"Art Series: Goldberry, River-Daughter",ART-6,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718554,,718554,"Art Series: Goldberry, River-Daughter",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.15,0.05,0.16,0.17,1.2,0,,,,Low,0.02,EUR,EUR,cardmarket,718554,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718554, ""history_id"": 297}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718554], ""validated_stored_ids"": [718554]}",1,0.02,,
554,magic,Art Series: The Watcher in the Water,ART-7,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718555,,718555,Art Series: The Watcher in the Water,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.14,0.1,0.14,0.15,0.05,0.04,0.04,0.05,0.05,Low,0.02,EUR,EUR,cardmarket,718555,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718555, ""history_id"": 298}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718555], ""validated_stored_ids"": [718555]}",1,0.02,,
558,magic,Art Series: Éomer of the Riddermark,ART-9,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718559,,718559,Art Series: Éomer of the Riddermark,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.09,0.11,0.06,0.1,0.15,0.15,0.15,0.15,0.15,Low,0.02,EUR,EUR,cardmarket,718559,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718559, ""history_id"": 299}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718559], ""validated_stored_ids"": [718559]}",1,0.02,,
560,magic,"Art Series: Gimli, Counter of Kills",ART-10,ltr,The Lord of the Rings: Tales of Middle-earth,en,Gold-Stamped,,nonfoil,Art Series Gold-Stamped,,,,,,718561,,718561,"Art Series: Gimli, Counter of Kills",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.27,0.97,0.5,0.83,0.62,,0.25,0.25,0.63,0.63,Low,0.27,EUR,EUR,cardmarket,718561,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718561, ""history_id"": 300}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718561], ""validated_stored_ids"": [718561]}",1,0.27,,
562,magic,Art Series: Generous Ent,ART-11,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718563,,718563,Art Series: Generous Ent,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.08,0.06,0.08,0.15,0.2,0,,,,Low,0.02,EUR,EUR,cardmarket,718563,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718563, ""history_id"": 301}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718563], ""validated_stored_ids"": [718563]}",1,0.02,,
565,magic,Art Series: Mirrormere Guardian,ART-12,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718566,,718566,Art Series: Mirrormere Guardian,5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.12,0.15,0.08,0.14,0.15,0.15,0.15,0.2,0.2,Low,0.02,EUR,EUR,cardmarket,718566,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718566, ""history_id"": 302}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718566], ""validated_stored_ids"": [718566]}",1,0.02,,
569,magic,"Art Series: Bilbo, Retired Burglar",ART-14,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718575,,718575,"Art Series: Bilbo, Retired Burglar",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.14,0.15,0.14,0.13,0.1,0.2,0.2,0.2,0.2,Low,0.02,EUR,EUR,cardmarket,718575,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718575, ""history_id"": 303}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718575], ""validated_stored_ids"": [718575]}",1,0.02,,
570,magic,"Art Series: Éowyn, Fearless Knight",ART-15,ltr,The Lord of the Rings: Tales of Middle-earth,en,Art Series,,nonfoil,Art Series Gold-Stamped,,,,,,718577,,718577,"Art Series: Éowyn, Fearless Knight",5308,The Lord of the Rings: Tales of Middle-earth,,,mixed/unknown,0.02,0.1,0.02,0.08,0.15,0.25,0,,,,Low,0.02,EUR,EUR,cardmarket,718577,high,2026-08-29T02:41:58+0200,"{""cardmarket_product_id"": 718577, ""history_id"": 304}",AMBIGUOUS,Cardmarket bulk data does not prove finish/treatment,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""ambiguity_reasons"": [""unproven_treatment""], ""external_provenance"": [], ""scryfall_cardmarket_id"": null, ""stored_ids"": [718577], ""validated_stored_ids"": [718577]}",1,0.02,,
