local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
765,one_piece,Monkey.D.Luffy,P-001,promo,One Piece Promos,en,"Promotion Pack 2022 | ""."" after ""[Rush]""",,,,641,one_piece:P-001,374656,374656,,690375,,690375,Monkey.D.Luffy (P-001),5230,,,P-001,mixed/unknown,3.45,6.57,6.7,7.38,9.69,,0,,,,Low,8.16,EUR,EUR,cardtrader,374656,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""56cefef19f7676bdf345dd2bb76f77987e2fcab9af3c5f4aca7d7561ff959a18\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690375, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690375], ""validated_stored_ids"": [690375]}",,,,
913,one_piece,Monkey.D.Luffy,ST01-001,st01,ST-01: Starter Deck: Straw Hat Crew,en,"Foil Reprint | Fixed text ""... up to 1 rested DON!! card.""",,,,1194,one_piece:ST01-001,318404,318404,,690965,,690965,Monkey.D.Luffy (ST01-001),5237,,,ST01-001,mixed/unknown,5,7.06,7,8.36,10.75,,0,,,,Low,16.24,EUR,EUR,cardtrader,318404,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""23655fe43eca31e76679b1118f67eb938d2e37f3e70e8a5146f51a61dc2648cb\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690965, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690965], ""validated_stored_ids"": [690965]}",,,,
914,one_piece,Monkey.D.Luffy,ST01-001,st01,ST-01: Starter Deck: Straw Hat Crew,en,Super Pre-Release Stamp,,,,1194,one_piece:ST01-001,244871,244871,,690966,,690966,Monkey.D.Luffy (ST01-001),5237,,,ST01-001,mixed/unknown,470,788.83,660,814.99,689.18,,0,,,,Low,1231.02,EUR,EUR,cardtrader,244871,low,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""4cd12fe4c392cb449937126310d049d2ff801ed4ac203f83329733c801e116dc\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690966, ""metadata"": {""allowed_languages"": [""en"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690966], ""validated_stored_ids"": [690966]}",,,,
915,one_piece,Usopp,ST01-002,st01,ST-01: Starter Deck: Straw Hat Crew,en,Super Pre-Release Stamp,,,,1018,one_piece:ST01-002,244874,244874,,690967,,690967,Usopp (ST01-002),5237,,,ST01-002,mixed/unknown,4.5,6.17,4.5,5.1,5.77,,0,,,,Low,12.2,EUR,EUR,cardtrader,244874,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""54165dae8bb13e504d789f1a90fc1f2e72d8c3969a4ef0d6d3b2f454c518614f\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690967, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690967], ""validated_stored_ids"": [690967]}",,,,
916,one_piece,Usopp,ST01-002,st01,ST-01: Starter Deck: Straw Hat Crew,en,Base,,,,1018,one_piece:ST01-002,244873,244873,,690968,,690968,Usopp (ST01-002),5237,,,ST01-002,mixed/unknown,0.02,0.13,0.29,0.2,0.09,,0,,,,Low,0.11,EUR,EUR,cardtrader,244873,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""b1c7bc167b8d7221483a810d56ef66a0030cec72b5105b24befe9a9beb441c2b\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690968, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690968], ""validated_stored_ids"": [690968]}",,,,
917,one_piece,Karoo,ST01-003,st01,ST-01: Starter Deck: Straw Hat Crew,en,Base,,,,1198,one_piece:ST01-003,244875,244875,,690969,,690969,Karoo (ST01-003),5237,,,ST01-003,mixed/unknown,0.02,0.11,0.1,0.08,0.05,,0,,,,Low,0.11,EUR,EUR,cardtrader,244875,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""f5c976d09d87253b6bee3bd8fb33341805fdd610b579e9135b4e3d6ea55eb440\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690969, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690969], ""validated_stored_ids"": [690969]}",,,,
918,one_piece,Karoo,ST01-003,st01,ST-01: Starter Deck: Straw Hat Crew,en,Super Pre-Release Stamp,,,,1198,one_piece:ST01-003,244876,244876,,690970,,690970,Karoo (ST01-003),5237,,,ST01-003,mixed/unknown,4,8.63,3.59,4.9,2.63,,0,,,,Low,10.14,EUR,EUR,cardtrader,244876,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""9c1ba94fcdaa49659ca68f0613cd5389965bfd6666332e511c489003fb969b7e\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690970, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690970], ""validated_stored_ids"": [690970]}",,,,
919,one_piece,Sanji,ST01-004,st01,ST-01: Starter Deck: Straw Hat Crew,en,Super Pre-Release Stamp,,,,1034,one_piece:ST01-004,244878,244878,,690971,,690971,Sanji (ST01-004),5237,,,ST01-004,mixed/unknown,5.5,8.58,7,7.09,8.71,,0,,,,Low,11.83,EUR,EUR,cardtrader,244878,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""3f1430330b8135c217382d1689e940f0e66fc8c4df88c24101716caf2d62cf84\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690971, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690971], ""validated_stored_ids"": [690971]}",,,,
920,one_piece,Sanji,ST01-004,st01,ST-01: Starter Deck: Straw Hat Crew,en,Base,,,,1034,one_piece:ST01-004,244877,244877,,690972,,690972,Sanji (ST01-004),5237,,,ST01-004,mixed/unknown,0.02,0.11,0.21,0.1,0.1,,0,,,,Low,0.16,EUR,EUR,cardtrader,244877,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""90359a5d29d639532773bd7e3c432d1bafa4eb6537c674eceafcbdcb7b71ffc8\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690972, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690972], ""validated_stored_ids"": [690972]}",,,,
921,one_piece,Jinbe,ST01-005,st01,ST-01: Starter Deck: Straw Hat Crew,en,"1st Print Errata Card | ""Your Leader or 1 of your Characters""",,,,688,one_piece:ST01-005,244879,244879,,690973,,690973,Jinbe (ST01-005),5237,,,ST01-005,mixed/unknown,0.02,0.11,0.1,0.11,0.08,,0,,,,Low,0.11,EUR,EUR,cardtrader,244879,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""4b140ae9a291092ddd35a95dc42cfe0643b899e9d2c5511e0ce86046b16b187c\""}""",AMBIGUOUS,Cardmarket product language/version is not provably exact,false,false,false,,,,,,,,NO_COMPARISON,,,,NO_COMPARISON,ambiguous_identity,,"{""external_provenance"": [{""exact_language"": false, ""id"": 690973, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""scryfall_cardmarket_id"": null, ""stored_ids"": [690973], ""validated_stored_ids"": [690973]}",,,,
