local_printing_id,game,card_name,card_number,local_set_code,set_name,language,local_version,rarity,finish,treatment,canonical_id,canonical_identity,blueprint_id,cardtrader_ids,scryfall_id,stored_cardmarket_id,resolved_cardmarket_id,cardmarket_candidates,cardmarket_product_name,cardmarket_expansion_id,cardmarket_expansion,cardmarket_version,cardmarket_number,cardmarket_language_scope,low,trend,avg1,avg7,avg30,low_alt,trend_alt,avg1_alt,avg7_alt,avg30_alt,cardmarket_metric_used,current_price,current_currency,display_currency,current_source,current_source_product_id,current_confidence,current_timestamp,current_provenance,match_status,match_reason,identity_mismatch,currency_mismatch,metric_mismatch,price_difference,absolute_difference,percentage_difference,ratio,low_difference,low_percentage_difference,low_ratio,low_severity,low_vs_trend_difference,low_vs_trend_percentage,low_vs_trend_ratio,price_severity,primary_cause,secondary_tags,evidence,collection_quantity,collection_current_contribution,collection_cardmarket_contribution,collection_difference
1807,one_piece,Mr.2.Bon.Kurei,OP01-084,op-chp,Championships Promo,en,Store Championship Participation Pack Vol. 2,,,,4711,one_piece:OP01-084:mr2bonkurei,315922,315922,,729809,,,,,,,,,,,,,,,,,,,Low,19.79,EUR,EUR,cardtrader,315922,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""9466e298a52c6c8350dba026f2985bc316a54debf62e22f2bef22bd1c854e58c\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 729809, ""metadata"": {""allowed_languages"": [""en"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [729809], ""validated_stored_ids"": [729809]}",,,,
3223,one_piece,Uta,ST11-001,st11,ST-11: Starter Deck Uta,en,Base,,,,2891,one_piece:ST11-001,275347,275347,,754833,,,,,,,,,,,,,,,,,,,Low,2.96,EUR,EUR,cardtrader,275347,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""2a1742012c90b385b6a04dbd536956fc500fc9e6005b836220cd24823ddc361e\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 754833, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [754833], ""validated_stored_ids"": [754833]}",,,,
3224,one_piece,Uta,ST11-002,st11,ST-11: Starter Deck Uta,en,Base,,,,2890,one_piece:ST11-002,275346,275346,,754834,,,,,,,,,,,,,,,,,,,Low,1.09,EUR,EUR,cardtrader,275346,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""18acacfbdbc6149239d8c9f91109f1374695eaa2c96503eae6dc15f0f4bcde0f\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 754834, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [754834], ""validated_stored_ids"": [754834]}",,,,
4538,one_piece,DON!!,DP-04,op07,OP-07: 500 Years into the Future,en,Law & Kid & Luffy | Double Pack Set Vol. 4,,,,3204,one_piece:DP-04,291943,291943,,776345,,,,,,,,,,,,,,,,,,,Low,3.96,EUR,EUR,cardtrader,291943,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""e454418165ccd1037b2ac26d179ccb594bb1bc1e953ec5eee8d4313e5257eff3\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 776345, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [776345], ""validated_stored_ids"": [776345]}",,,,
5112,one_piece,Zoro,P-042,op-wp,Winner Pack,en,Gold Text | Championship 2024 | Event Pack,,,,3335,one_piece:P-042:zoro,339272,339272,,787446,,,,,,,,,,,,,,,,,,,Low,160.64,EUR,EUR,cardtrader,339272,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""9b9c0a1ea6a6357c6fbabf060baf25c0de297bf8f1c89be8e3aaf45ed6fa5878\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 787446, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [787446], ""validated_stored_ids"": [787446]}",,,,
5131,one_piece,Zoro,P-042,op-wp,Winner Pack,en,Championship 2024 | Event Pack Finalist,,,,3335,one_piece:P-042:zoro,295874,295874,,787507,,,,,,,,,,,,,,,,,,,Low,,EUR,EUR,cardmarket,787507,,2026-08-28T15:00:15.994637+00:00,"""{\""reason\"": \""Cardmarket product is not exact-language\"", \""snapshot_fingerprint\"": \""c66ede051b78ceab222cbf8a4ec59b7b1351876fa436b780951c2c31fe30a67d\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,stale_price,"{""external_provenance"": [{""exact_language"": false, ""id"": 787507, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [787507], ""validated_stored_ids"": [787507]}",,,,
5148,one_piece,DON!!,DP-05,op08,OP-08: Two Legends,en,Rayleigh Silhouette | Double Pack Set Vol. 5,,,,4013,one_piece:DP-05,299852,299852,,787545,,,,,,,,,,,,,,,,,,,Low,4.09,EUR,EUR,cardtrader,299852,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""64748f2ba2dd378c074a7f1df4d8cd4bba856e902c0c2f8454bfdc8e3bd8708b\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 787545, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [787545], ""validated_stored_ids"": [787545]}",,,,
5149,one_piece,DON!!,DP-05,op08,OP-08: Two Legends,en,Whitebeard Shattered | Double Pack Set Vol. 5,,,,4013,one_piece:DP-05,299853,299853,,787546,,,,,,,,,,,,,,,,,,,Low,3.81,EUR,EUR,cardtrader,299853,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""56e0295e348c480c4a675838547f6f23c623885437b572ae47525bbb6231da20\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 787546, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [787546], ""validated_stored_ids"": [787546]}",,,,
5415,one_piece,Uta,ST11-001,st16,ST-16: Starter Deck Green Uta,en,Base,,,,2891,one_piece:ST11-001,305519,305519,,794639,,,,,,,,,,,,,,,,,,,Low,2.33,EUR,EUR,cardtrader,305519,high,2026-08-29T12:19:30.162830+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""5d9a62a85664c03ae687a3f73e3b8843c2d5780b08d75eb8357448e7eae43b87\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 794639, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [794639], ""validated_stored_ids"": [794639]}",,,,
5701,one_piece,DON!!,PRB-ACE-G,prb01,PRB-01: The Best - Premium Booster,en,Ace | Gold Foil,,,,4018,one_piece:PRB-ACE-G,306507,306507,,799452,,,,,,,,,,,,,,,,,,,Low,299.64,EUR,EUR,cardtrader,306507,low,2026-08-28T15:00:15.994637+00:00,"""{\""cardmarket_exact_candidates\"": [], \""snapshot_fingerprint\"": \""be253bce3e1becea6e9f8402b219e604e8e6d9d81c3ce01b57fb5347a3c260c6\""}""",MISMATCH,stored Cardmarket product conflicts with local printing,true,false,false,,,,,,,,CRITICAL,,,,CRITICAL,wrong_cardmarket_id,,"{""external_provenance"": [{""exact_language"": false, ""id"": 799452, ""metadata"": {""allowed_languages"": [""en"", ""jp"", ""zh-CN"", ""kr"", ""fr""]}, ""scope"": ""mixed""}], ""mismatch_reasons"": [""wrong_cardmarket_id""], ""scryfall_cardmarket_id"": null, ""stored_ids"": [799452], ""validated_stored_ids"": [799452]}",,,,
