collection_item_id,game,card_name,card_number,local_printing_id,resolved_printing_id,selected_cardmarket_product_id,cardmarket_url,match_status,manual_review,provenance_gap,base_low,base_trend,selected_metric,selected_metric_low,selected_metric_trend,cardmarket_low_available,selected_metric_available,cardtrader_fallback
33,Magic,Frodo Baggins,812,12260,12260,737031,https://www.cardmarket.com/en/Magic/Products?idProduct=737031,EXACT,NO,false,0.1,,Low,0.1,,YES,YES,NO
34,Magic,"Frodo, Sauron's Bane",304,12872,12872,701765,https://www.cardmarket.com/en/Magic/Products?idProduct=701765&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,0.08,0.49,Foil Low,0.2,0.8,YES,YES,NO
35,Magic,Samwise Gamgee,327,150,150,716026,https://www.cardmarket.com/en/Magic/Products?idProduct=716026,EXACT,NO,false,0.35,1.49,Low,0.35,1.49,YES,YES,NO
36,Magic,Samwise the Stouthearted,798,12261,12261,736847,https://www.cardmarket.com/en/Magic/Products?idProduct=736847,EXACT,NO,false,0.02,,Low,0.02,,YES,YES,NO
37,Magic,"Merry, Esquire of Rohan",325,185,185,716061,https://www.cardmarket.com/en/Magic/Products?idProduct=716061,EXACT,NO,false,0.1,1.01,Low,0.1,1.01,YES,YES,NO
38,Magic,Meriadoc Brandybuck,806,12262,12262,737025,https://www.cardmarket.com/en/Magic/Products?idProduct=737025,EXACT,NO,false,0.08,,Low,0.08,,YES,YES,NO
39,Magic,Peregrin Took,315,194,194,716070,https://www.cardmarket.com/en/Magic/Products?idProduct=716070,EXACT,NO,false,0.02,0.22,Low,0.02,0.22,YES,YES,NO
40,Magic,"Pippin, Guard of the Citadel",818,12263,12263,737037,https://www.cardmarket.com/en/Magic/Products?idProduct=737037,EXACT,NO,false,5.5,,Low,5.5,,YES,YES,NO
41,Magic,"Aragorn, Company Leader",316,12896,12896,717763,https://www.cardmarket.com/en/Magic/Products?idProduct=717763&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,0.19,0.95,Foil Low,0.26,1.22,YES,YES,NO
42,Magic,"Aragorn, the Uniter",317,12898,12898,716022,https://www.cardmarket.com/en/Magic/Products?idProduct=716022&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,2.75,13.44,Foil Low,4.45,15.12,YES,YES,NO
43,Magic,"Legolas, Counter of Kills",816,12264,12264,737035,https://www.cardmarket.com/en/Magic/Products?idProduct=737035,EXACT,NO,false,0.09,,Low,0.09,,YES,YES,NO
44,Magic,"Legolas, Master Archer",313,175,175,716051,https://www.cardmarket.com/en/Magic/Products?idProduct=716051,EXACT,NO,false,0.15,0.77,Low,0.15,0.77,YES,YES,NO
45,Magic,"Gimli, Counter of Kills",804,12265,12265,737023,https://www.cardmarket.com/en/Magic/Products?idProduct=737023,EXACT,NO,false,0.1,0.35,Low,0.1,0.35,YES,YES,NO
46,Magic,"Gimli, Mournful Avenger",815,13804,13804,737034,https://www.cardmarket.com/en/Magic/Products?idProduct=737034&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,2.5,,Foil Low,2.5,2.82,YES,YES,NO
47,Magic,"Boromir, Warden of the Tower",302,12868,12868,716042,https://www.cardmarket.com/en/Magic/Products?idProduct=716042&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,EXACT,YES,false,3.39,6.19,Foil Low,3.99,6.97,YES,YES,NO
48,Magic,Gandalf the Grey,814,12267,12267,737033,https://www.cardmarket.com/en/Magic/Products?idProduct=737033,EXACT,NO,false,6.94,,Low,6.94,,YES,YES,NO
49,Magic,Gandalf the White,305,147,147,716023,https://www.cardmarket.com/en/Magic/Products?idProduct=716023,EXACT,NO,false,4,19.45,Low,4,19.45,YES,YES,NO
50,Magic,"Gandalf, Friend of the Shire",800,12268,12268,736849,https://www.cardmarket.com/en/Magic/Products?idProduct=736849,EXACT,NO,false,0.04,,Low,0.04,,YES,YES,NO
51,Magic,"Elrond, Lord of Rivendell",307,412,412,717750,https://www.cardmarket.com/en/Magic/Products?idProduct=717750,EXACT,NO,false,0.02,0.1,Low,0.02,0.1,YES,YES,NO
52,Magic,"Elrond, Master of Healing",810,12269,12269,737029,https://www.cardmarket.com/en/Magic/Products?idProduct=737029,EXACT,NO,false,2.75,,Low,2.75,,YES,YES,NO
53,Magic,"Faramir, Field Commander",795,12270,12270,736844,https://www.cardmarket.com/en/Magic/Products?idProduct=736844,EXACT,NO,false,0.04,,Low,0.04,,YES,YES,NO
54,Magic,"Faramir, Prince of Ithilien",319,389,389,717727,https://www.cardmarket.com/en/Magic/Products?idProduct=717727,EXACT,NO,false,0.1,0.52,Low,0.1,0.52,YES,YES,NO
55,Magic,Galadriel of Lothlórien,321,415,415,717753,https://www.cardmarket.com/en/Magic/Products?idProduct=717753,EXACT,NO,false,0.2,0.8,Low,0.2,0.8,YES,YES,NO
56,Magic,"Gollum, Patient Plotter",801,12271,12271,736850,https://www.cardmarket.com/en/Magic/Products?idProduct=736850,EXACT,NO,false,0.15,,Low,0.15,,YES,YES,NO
57,Magic,Saruman of Many Colors,328,201,201,716077,https://www.cardmarket.com/en/Magic/Products?idProduct=716077,EXACT,NO,false,1,3.09,Low,1,3.09,YES,YES,NO
58,Magic,"Sauron, the Dark Lord",329,196,196,716072,https://www.cardmarket.com/en/Magic/Products?idProduct=716072,EXACT,NO,false,7.99,18.26,Low,7.99,18.26,YES,YES,NO
